"ple0011","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","66 and older","inadequately","53","0.830372850936149","0.736190955668624","0.924554746203675","2"
"No","2011","35-65 y.","higher vocational","868","0.913450145346637","0.895551526556566","0.931348764136708","2"
"No","2011","35-65 y.","higher education","2619","0.910281624650496","0.899804416621327","0.920758832679666","2"
"No","2011","35-65 y.","middle vocational","5363","0.902358104003816","0.894807666276786","0.909908541730846","2"
"No","2011","66 and older","in school","","","","","2"
"No","2011","66 and older","general elemantary","683","0.817450627571956","0.791280472266524","0.843620782877387","2"
"No","2011","35-65 y.","vocational + Abi","637","0.933736329131367","0.915189958217084","0.952282700045649","2"
"No","2011","66 and older","middle vocational","2335","0.855318070211749","0.841979759368586","0.868656381054913","2"
"No","2011","66 and older","vocational + Abi","112","0.92340381065876","0.877331232078601","0.96947638923892","2"
"No","2011","66 and older","higher vocational","341","0.889398678481008","0.857946929015866","0.92085042794615","2"
"No","2011","35-65 y.","general elemantary","659","0.833514559677752","0.807388897981758","0.859640221373745","2"
"No","2011","66 and older","higher education","993","0.892277881623273","0.873914885697686","0.91064087754886","2"
"No","2011","35-65 y.","in school","","","","","2"
"No","2011","35-65 y.","inadequately","104","0.860128263820473","0.797545652635605","0.922710875005342","2"
"No","2011","16-34 y.","higher education","628","0.957819187505139","0.942331192940368","0.97330718206991","2"
"No","2011","16-34 y.","higher vocational","121","0.978721695711012","0.953321599372091","1.00412179204993","2"
"No","2011","16-34 y.","vocational + Abi","376","0.966332133408259","0.948430741644725","0.984233525171793","2"
"No","2011","16-34 y.","general elemantary","555","0.975938048107851","0.963357857678646","0.988518238537057","2"
"No","2011","16-34 y.","middle vocational","1879","0.966226461055249","0.958185889242364","0.974267032868135","2"
"No","2011","16-34 y.","in school","309","0.986060272241706","0.973071897837515","0.999048646645896","2"
"No","2011","16-34 y.","inadequately","52","0.98293229980193","0.948386081170553","1.01747851843331","2"
"Yes","2011","16-34 y.","in school","4","","","","1"
"Yes","2011","16-34 y.","inadequately","2","","","","1"
"Yes","2011","16-34 y.","general elemantary","15","","","","1"
"Yes","2011","16-34 y.","middle vocational","60","0.0337735389447505","0.025732967131865","0.041814110757636","1"
"Yes","2011","16-34 y.","vocational + Abi","14","","","","1"
"Yes","2011","16-34 y.","higher vocational","3","","","","1"
"Yes","2011","16-34 y.","higher education","19","","","","1"
"Yes","2011","35-65 y.","in school","","","","","1"
"Yes","2011","35-65 y.","inadequately","14","","","","1"
"Yes","2011","35-65 y.","general elemantary","122","0.166485440322248","0.140359778626255","0.192611102018242","1"
"Yes","2011","35-65 y.","middle vocational","574","0.0976418959961837","0.0900914582691536","0.105192333723214","1"
"Yes","2011","35-65 y.","vocational + Abi","54","0.0662636708686332","0.0477172999543509","0.0848100417829156","1"
"Yes","2011","35-65 y.","higher vocational","80","0.0865498546533634","0.0686512358632924","0.104448473443434","1"
"Yes","2011","35-65 y.","higher education","239","0.0897183753495037","0.0792411673203345","0.100195583378673","1"
"Yes","2011","66 and older","in school","","","","","1"
"Yes","2011","66 and older","inadequately","8","","","","1"
