"ple0011","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Full Time","Rural Area","2605","0.939687726361439","0.930811011368021","0.948564441354857","2"
"No","2011","Full Time","Urban Area","4731","0.935304285812585","0.928517788888403","0.942090782736767","2"
"No","2011","Part Time","Urban Area","2998","0.925499044689091","0.91645187485955","0.934546214518631","2"
"No","2011","Part Time","Rural Area","1532","0.909669662797512","0.895913137875916","0.923426187719109","2"
"No","2011","Not Working","Urban Area","4639","0.859494398864307","0.850150104155351","0.868838693573263","2"
"No","2011","Not Working","Rural Area","2479","0.873246155982","0.86099509463801","0.885497217325991","2"
"Yes","2011","Full Time","Urban Area","316","0.0646957141874153","0.0579092172632334","0.0714822111115971","1"
"Yes","2011","Full Time","Rural Area","158","0.0603122736385607","0.0514355586451429","0.0691889886319786","1"
"Yes","2011","Part Time","Urban Area","238","0.0745009553109092","0.0654537854813688","0.0835481251404495","1"
"Yes","2011","Part Time","Rural Area","136","0.0903303372024877","0.0765738122808913","0.104086862124084","1"
"Yes","2011","Not Working","Urban Area","674","0.140505601135693","0.131161306426737","0.149849895844649","1"
"Yes","2011","Not Working","Rural Area","354","0.126753844018","0.114502782674009","0.13900490536199","1"
"No","2012","Full Time","Urban Area","","","","","2"
"No","2012","Full Time","Rural Area","","","","","2"
"No","2012","Part Time","Urban Area","","","","","2"
"No","2012","Part Time","Rural Area","","","","","2"
"No","2012","Not Working","Urban Area","","","","","2"
"No","2012","Not Working","Rural Area","","","","","2"
"Yes","2012","Full Time","Urban Area","","","","","1"
"Yes","2012","Full Time","Rural Area","","","","","1"
"Yes","2012","Part Time","Urban Area","","","","","1"
"Yes","2012","Part Time","Rural Area","","","","","1"
"Yes","2012","Not Working","Urban Area","","","","","1"
"Yes","2012","Not Working","Rural Area","","","","","1"
"No","2013","Full Time","Urban Area","4234","0.922793709354638","0.915034597160387","0.930552821548889","2"
"No","2013","Full Time","Rural Area","2304","0.945201326890744","0.936191351225067","0.954211302556421","2"
"No","2013","Part Time","Urban Area","2750","0.908306570979148","0.897983044354833","0.918630097603463","2"
"No","2013","Part Time","Rural Area","1472","0.919993159907754","0.906682870277948","0.933303449537561","2"
"No","2013","Not Working","Urban Area","4138","0.859489940049993","0.849593693487165","0.869386186612821","2"
"No","2013","Not Working","Rural Area","2320","0.866665285090874","0.853695710993152","0.879634859188597","2"
