"ple0011","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2011","1-pers.-HH","direct migration background","205","0.83355000584037","0.787191442122694","0.879908569558045","2"
"No","2011","1-pers.-HH","no migration background","2810","0.86231129037304","0.850439258997222","0.874183321748858","2"
"No","2011","(Married) couple without C. ","no migration background","6638","0.903803329418161","0.897068785489824","0.910537873346498","2"
"No","2011","(Married) couple without C. ","direct migration background","568","0.893110746925419","0.869321523405702","0.916899970445136","2"
"No","2011","Single parent ","indirect migration background","76","0.896237917343165","0.831024126700452","0.961451707985878","2"
"No","2011","Couple + C. LE 16 ","no migration background","2420","0.952990972082607","0.94476618685519","0.961215757310024","2"
"No","2011","Couple + C. GT 16 ","no migration background","2558","0.943194803543144","0.93448480811778","0.951904798968509","2"
"No","2011","Couple + C. GT 16 ","direct migration background","291","0.913792451024256","0.882895552132191","0.944689349916321","2"
"No","2011","1-pers.-HH","indirect migration background","80","0.896296405603361","0.833309602192293","0.959283209014428","2"
"No","2011","Couple + C. LE and GT 16","direct migration background","197","0.939143041494702","0.906809041203337","0.971477041786066","2"
"No","2011","Couple + C. LE and GT 16","indirect migration background","99","0.998078781499026","0.98949618129676","1.00666138170129","2"
"No","2011","(Married) couple without C. ","indirect migration background","120","0.930212419472418","0.886910972577164","0.973513866367672","2"
"No","2011","Single parent ","no migration background","873","0.921776822488382","0.904773023778972","0.938780621197793","2"
"No","2011","Single parent ","direct migration background","113","0.884378138399838","0.829827466595377","0.938928810204299","2"
"No","2011","Couple + C. LE 16 ","direct migration background","360","0.95252000389831","0.93108149474614","0.973958513050481","2"
"No","2011","Couple + C. LE 16 ","indirect migration background","183","0.955857820217812","0.927027177659612","0.984688462776013","2"
"No","2011","Couple + C. GT 16 ","indirect migration background","167","0.996728347851608","0.988169368041721","1.0052873276615","2"
"No","2011","Couple + C. LE and GT 16","no migration background","867","0.937892866356476","0.922331079422243","0.953454653290709","2"
"Yes","2011","1-pers.-HH","no migration background","426","0.13768870962696","0.125816678251142","0.149560741002778","1"
"Yes","2011","1-pers.-HH","direct migration background","43","0.16644999415963","0.120091430441955","0.212808557877306","1"
"Yes","2011","1-pers.-HH","indirect migration background","10","","","","1"
"Yes","2011","(Married) couple without C. ","no migration background","726","0.0961966705818387","0.089462126653502","0.102931214510175","1"
"Yes","2011","(Married) couple without C. ","direct migration background","80","0.106889253074581","0.0831000295548638","0.130678476594298","1"
"Yes","2011","(Married) couple without C. ","indirect migration background","13","","","","1"
"Yes","2011","Single parent ","no migration background","85","0.0782231775116176","0.0612193788022067","0.0952269762210285","1"
"Yes","2011","Single parent ","direct migration background","19","","","","1"
"Yes","2011","Single parent ","indirect migration background","8","","","","1"
"Yes","2011","Couple + C. LE 16 ","no migration background","124","0.0470090279173933","0.0387842426899765","0.0552338131448101","1"
"Yes","2011","Couple + C. LE 16 ","direct migration background","18","","","","1"
"Yes","2011","Couple + C. LE 16 ","indirect migration background","12","","","","1"
"Yes","2011","Couple + C. GT 16 ","no migration background","155","0.0568051964568556","0.0480952010314911","0.0655151918822202","1"
"Yes","2011","Couple + C. GT 16 ","direct migration background","26","","","","1"
"Yes","2011","Couple + C. GT 16 ","indirect migration background","4","","","","1"
"Yes","2011","Couple + C. LE and GT 16","no migration background","57","0.0621071336435239","0.046545346709291","0.0776689205777568","1"
"Yes","2011","Couple + C. LE and GT 16","direct migration background","13","","","","1"
"Yes","2011","Couple + C. LE and GT 16","indirect migration background","1","","","","1"
"No","2012","1-pers.-HH","direct migration background","","","","","2"
"No","2012","1-pers.-HH","no migration background","","","","","2"
"No","2012","(Married) couple without C. ","no migration background","","","","","2"
"No","2012","(Married) couple without C. ","direct migration background","","","","","2"
"No","2012","1-pers.-HH","indirect migration background","","","","","2"
"No","2012","(Married) couple without C. ","indirect migration background","","","","","2"
"No","2012","Single parent ","no migration background","","","","","2"
"No","2012","Single parent ","direct migration background","","","","","2"
"No","2012","Single parent ","indirect migration background","","","","","2"
"No","2012","Couple + C. LE 16 ","no migration background","","","","","2"
"No","2012","Couple + C. GT 16 ","no migration background","","","","","2"
"No","2012","Couple + C. GT 16 ","direct migration background","","","","","2"
"No","2012","Couple + C. LE and GT 16","direct migration background","","","","","2"
"No","2012","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"No","2012","Couple + C. LE 16 ","direct migration background","","","","","2"
"No","2012","Couple + C. LE 16 ","indirect migration background","","","","","2"
"No","2012","Couple + C. GT 16 ","indirect migration background","","","","","2"
"No","2012","Couple + C. LE and GT 16","no migration background","","","","","2"
"Yes","2012","1-pers.-HH","no migration background","","","","","1"
"Yes","2012","1-pers.-HH","direct migration background","","","","","1"
"Yes","2012","1-pers.-HH","indirect migration background","","","","","1"
"Yes","2012","(Married) couple without C. ","no migration background","","","","","1"
