"ple0011","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","indirect migration background","inadequately","14","","","","2"
"No","2011","direct migration background","higher vocational","87","0.903517678797917","0.843831144373744","0.96320421322209","2"
"No","2011","direct migration background","higher education","336","0.91166624229806","0.882789883732473","0.940542600863646","2"
"No","2011","direct migration background","middle vocational","689","0.905617808593217","0.884994566196952","0.926241050989482","2"
"No","2011","indirect migration background","in school","57","0.989212116826842","0.962626488724944","1.01579774492874","2"
"No","2011","indirect migration background","general elemantary","118","0.892887363426987","0.840130396602652","0.945644330251321","2"
"No","2011","direct migration background","vocational + Abi","196","0.947046949957458","0.916830870887975","0.977263029026942","2"
"No","2011","indirect migration background","middle vocational","311","0.934961837502519","0.908711837028323","0.961211837976716","2"
"No","2011","indirect migration background","vocational + Abi","43","0.970868508096102","0.922269126223995","1.01946788996821","2"
"No","2011","indirect migration background","higher vocational","34","0.905467384259403","0.809896834595905","1.0010379339229","2"
"No","2011","direct migration background","general elemantary","366","0.86710237664824","0.83459852141654","0.899606231879939","2"
"No","2011","indirect migration background","higher education","105","0.968117620165654","0.935135826525765","1.00109941380554","2"
"No","2011","direct migration background","in school","12","","","","2"
"No","2011","direct migration background","inadequately","84","0.82275806818643","0.747152398334053","0.898363738038807","2"
"No","2011","no migration background","higher education","3799","0.913521217707106","0.904938722189538","0.922103713224675","2"
"No","2011","no migration background","higher vocational","1209","0.914211907852572","0.899127056319103","0.929296759386041","2"
"No","2011","no migration background","vocational + Abi","886","0.940935878396449","0.925960717198951","0.955911039593946","2"
"No","2011","no migration background","general elemantary","1413","0.859368889393742","0.842528417057122","0.876209361730362","2"
"No","2011","no migration background","middle vocational","8577","0.90040154719055","0.894359619465961","0.90644347491514","2"
"No","2011","no migration background","in school","240","0.99298146242792","0.982463435143782","1.00349948971206","2"
"No","2011","no migration background","inadequately","111","0.920442624206567","0.872025827399867","0.968859421013268","2"
"Yes","2011","no migration background","in school","2","","","","1"
"Yes","2011","no migration background","inadequately","9","","","","1"
"Yes","2011","no migration background","general elemantary","224","0.140631110606258","0.123790638269638","0.157471582942878","1"
"Yes","2011","no migration background","middle vocational","860","0.0995984528094499","0.0935565250848602","0.10564038053404","1"
"Yes","2011","no migration background","vocational + Abi","66","0.0590641216035514","0.044088960406054","0.0740392828010488","1"
"Yes","2011","no migration background","higher vocational","115","0.0857880921474279","0.0707032406139591","0.100872943680897","1"
"Yes","2011","no migration background","higher education","321","0.0864787822928938","0.0778962867753254","0.0950612778104623","1"
"Yes","2011","direct migration background","in school","1","","","","1"
"Yes","2011","direct migration background","inadequately","14","","","","1"
"Yes","2011","direct migration background","general elemantary","53","0.13289762335176","0.100393768120061","0.16540147858346","1"
"Yes","2011","direct migration background","middle vocational","83","0.0943821914067826","0.0737589490105177","0.115005433803047","1"
"Yes","2011","direct migration background","vocational + Abi","15","","","","1"
"Yes","2011","direct migration background","higher vocational","7","","","","1"
"Yes","2011","direct migration background","higher education","35","0.0883337577019402","0.0594573991363536","0.117210116267527","1"
"Yes","2011","indirect migration background","in school","1","","","","1"
"Yes","2011","indirect migration background","inadequately","1","","","","1"
"Yes","2011","indirect migration background","general elemantary","14","","","","1"
"Yes","2011","indirect migration background","middle vocational","28","","","","1"
"Yes","2011","indirect migration background","vocational + Abi","3","","","","1"
"Yes","2011","indirect migration background","higher vocational","2","","","","1"
"Yes","2011","indirect migration background","higher education","4","","","","1"
"No","2012","direct migration background","higher vocational","","","","","2"
"No","2012","direct migration background","middle vocational","","","","","2"
"No","2012","direct migration background","vocational + Abi","","","","","2"
"No","2012","direct migration background","higher education","","","","","2"
"No","2012","indirect migration background","in school","","","","","2"
"No","2012","indirect migration background","inadequately","","","","","2"
"No","2012","indirect migration background","general elemantary","","","","","2"
"No","2012","indirect migration background","middle vocational","","","","","2"
"No","2012","indirect migration background","vocational + Abi","","","","","2"
"No","2012","indirect migration background","higher vocational","","","","","2"
"No","2012","indirect migration background","higher education","","","","","2"
"No","2012","direct migration background","in school","","","","","2"
"No","2012","direct migration background","inadequately","","","","","2"
"No","2012","direct migration background","general elemantary","","","","","2"
"No","2012","no migration background","higher vocational","","","","","2"
"No","2012","no migration background","higher education","","","","","2"
"No","2012","no migration background","general elemantary","","","","","2"
"No","2012","no migration background","middle vocational","","","","","2"
"No","2012","no migration background","vocational + Abi","","","","","2"
"No","2012","no migration background","in school","","","","","2"
"No","2012","no migration background","inadequately","","","","","2"
"Yes","2012","no migration background","higher education","","","","","1"
"Yes","2012","direct migration background","in school","","","","","1"
"Yes","2012","direct migration background","inadequately","","","","","1"
"Yes","2012","direct migration background","general elemantary","","","","","1"
"Yes","2012","direct migration background","middle vocational","","","","","1"
"Yes","2012","direct migration background","vocational + Abi","","","","","1"
"Yes","2012","direct migration background","higher vocational","","","","","1"
"Yes","2012","no migration background","in school","","","","","1"
"Yes","2012","no migration background","inadequately","","","","","1"
"Yes","2012","no migration background","general elemantary","","","","","1"
"Yes","2012","no migration background","middle vocational","","","","","1"
"Yes","2012","no migration background","vocational + Abi","","","","","1"
"Yes","2012","no migration background","higher vocational","","","","","1"
"Yes","2012","indirect migration background","higher vocational","","","","","1"
"Yes","2012","indirect migration background","higher education","","","","","1"
"Yes","2012","direct migration background","higher education","","","","","1"
"Yes","2012","indirect migration background","in school","","","","","1"
"Yes","2012","indirect migration background","inadequately","","","","","1"
"Yes","2012","indirect migration background","general elemantary","","","","","1"
"Yes","2012","indirect migration background","middle vocational","","","","","1"
"Yes","2012","indirect migration background","vocational + Abi","","","","","1"
"No","2013","indirect migration background","higher education","109","0.94804002471821","0.907297919153322","0.988782130283099","2"
"No","2013","indirect migration background","higher vocational","30","1","1","1","2"
"No","2013","direct migration background","middle vocational","570","0.881378458035408","0.856249034181356","0.906507881889459","2"
"No","2013","indirect migration background","vocational + Abi","34","0.972642509797404","0.920081708375848","1.02520331121896","2"
"No","2013","direct migration background","vocational + Abi","165","0.857621532075288","0.807803429247879","0.907439634902696","2"
"No","2013","direct migration background","higher vocational","62","0.812387443038071","0.722210731268492","0.90256415480765","2"
"No","2013","direct migration background","higher education","320","0.898122015310267","0.866655999375123","0.929588031245412","2"
"No","2013","indirect migration background","in school","52","0.993723488881468","0.972461588197323","1.01498538956561","2"
"No","2013","indirect migration background","inadequately","12","","","","2"
"No","2013","indirect migration background","general elemantary","104","0.925826934200054","0.878343384174607","0.973310484225501","2"
"No","2013","indirect migration background","middle vocational","280","0.887864621695025","0.852568774941074","0.923160468448975","2"
"No","2013","no migration background","higher vocational","1130","0.904663778224629","0.888258196529107","0.921069359920151","2"
"No","2013","no migration background","higher education","3703","0.9218930443303","0.913586599451446","0.930199489209154","2"
"No","2013","direct migration background","in school","11","","","","2"
"No","2013","direct migration background","inadequately","54","0.788257818577396","0.690433118576765","0.886082518578026","2"
"No","2013","direct migration background","general elemantary","301","0.860998465675952","0.824062953436824","0.89793397791508","2"
"No","2013","no migration background","in school","193","0.977942068767112","0.957380369212569","0.998503768321656","2"
"No","2013","no migration background","inadequately","105","0.908023773630569","0.855205333147746","0.960842214113393","2"
"No","2013","no migration background","general elemantary","1224","0.867365800078928","0.849674504006562","0.885057096151294","2"
"No","2013","no migration background","middle vocational","7692","0.89596586720226","0.889481554909737","0.902450179494784","2"
"No","2013","no migration background","vocational + Abi","809","0.903776858887498","0.884259606967608","0.923294110807389","2"
"Yes","2013","no migration background","middle vocational","824","0.10403413279774","0.0975498205052165","0.110518445090263","1"
"Yes","2013","no migration background","vocational + Abi","68","0.0962231411125016","0.0767058891926107","0.115740393032392","1"
"Yes","2013","no migration background","higher vocational","101","0.0953362217753713","0.0789306400798491","0.111741803470893","1"
"Yes","2013","no migration background","higher education","306","0.0781069556696998","0.0698005107908459","0.0864134005485537","1"
"Yes","2013","direct migration background","in school","","","","","1"
"Yes","2013","direct migration background","inadequately","13","","","","1"
"Yes","2013","direct migration background","general elemantary","36","0.139001534324048","0.10206602208492","0.175937046563176","1"
"Yes","2013","no migration background","general elemantary","188","0.132634199921072","0.114942903848706","0.150325495993437","1"
"Yes","2013","indirect migration background","general elemantary","13","","","","1"
"Yes","2013","indirect migration background","middle vocational","27","","","","1"
"Yes","2013","indirect migration background","vocational + Abi","3","","","","1"
"Yes","2013","indirect migration background","higher vocational","","","","","1"
"Yes","2013","indirect migration background","higher education","5","","","","1"
"Yes","2013","direct migration background","middle vocational","66","0.118621541964592","0.0934921181105408","0.143750965818644","1"
"Yes","2013","direct migration background","vocational + Abi","24","","","","1"
"Yes","2013","direct migration background","higher vocational","10","","","","1"
"Yes","2013","no migration background","in school","3","","","","1"
"Yes","2013","no migration background","inadequately","10","","","","1"
"Yes","2013","indirect migration background","inadequately","1","","","","1"
"Yes","2013","direct migration background","higher education","35","0.101877984689732","0.0704119687545878","0.133344000624877","1"
"Yes","2013","indirect migration background","in school","1","","","","1"
"No","2014","indirect migration background","general elemantary","","","","","2"
"No","2014","no migration background","higher vocational","","","","","2"
"No","2014","no migration background","higher education","","","","","2"
"No","2014","indirect migration background","middle vocational","","","","","2"
"No","2014","indirect migration background","vocational + Abi","","","","","2"
"No","2014","indirect migration background","higher vocational","","","","","2"
"No","2014","direct migration background","in school","","","","","2"
"No","2014","indirect migration background","inadequately","","","","","2"
"No","2014","indirect migration background","higher education","","","","","2"
"No","2014","direct migration background","inadequately","","","","","2"
"No","2014","direct migration background","general elemantary","","","","","2"
"No","2014","direct migration background","middle vocational","","","","","2"
"No","2014","direct migration background","vocational + Abi","","","","","2"
"No","2014","direct migration background","higher vocational","","","","","2"
"No","2014","direct migration background","higher education","","","","","2"
"No","2014","indirect migration background","in school","","","","","2"
"No","2014","no migration background","in school","","","","","2"
"No","2014","no migration background","inadequately","","","","","2"
"No","2014","no migration background","general elemantary","","","","","2"
"No","2014","no migration background","middle vocational","","","","","2"
"No","2014","no migration background","vocational + Abi","","","","","2"
"Yes","2014","indirect migration background","general elemantary","","","","","1"
"Yes","2014","indirect migration background","middle vocational","","","","","1"
"Yes","2014","indirect migration background","vocational + Abi","","","","","1"
"Yes","2014","indirect migration background","higher vocational","","","","","1"
"Yes","2014","indirect migration background","higher education","","","","","1"
"Yes","2014","no migration background","in school","","","","","1"
"Yes","2014","no migration background","inadequately","","","","","1"
"Yes","2014","no migration background","general elemantary","","","","","1"
"Yes","2014","no migration background","middle vocational","","","","","1"
"Yes","2014","no migration background","vocational + Abi","","","","","1"
"Yes","2014","no migration background","higher vocational","","","","","1"
"Yes","2014","no migration background","higher education","","","","","1"
"Yes","2014","direct migration background","higher vocational","","","","","1"
"Yes","2014","direct migration background","higher education","","","","","1"
"Yes","2014","indirect migration background","in school","","","","","1"
"Yes","2014","indirect migration background","inadequately","","","","","1"
"Yes","2014","direct migration background","in school","","","","","1"
"Yes","2014","direct migration background","inadequately","","","","","1"
"Yes","2014","direct migration background","general elemantary","","","","","1"
"Yes","2014","direct migration background","vocational + Abi","","","","","1"
"Yes","2014","direct migration background","middle vocational","","","","","1"
"No","2015","direct migration background","higher education","899","0.932810963037977","0.917112872190601","0.948509053885354","2"
"No","2015","direct migration background","higher vocational","89","0.863790681044262","0.795879275177688","0.931702086910835","2"
"No","2015","indirect migration background","in school","95","0.916791843849919","0.862385591269009","0.971198096430828","2"
"No","2015","indirect migration background","inadequately","33","0.949778872146282","0.878435879355026","1.02112186493754","2"
"No","2015","indirect migration background","general elemantary","284","0.941313858097735","0.915065161759857","0.967562554435614","2"
"No","2015","no migration background","higher vocational","1253","0.892611251305264","0.876252526616749","0.90896997599378","2"
"No","2015","no migration background","higher education","4320","0.933184498582932","0.926015955272032","0.940353041893832","2"
"No","2015","direct migration background","in school","34","1","1","1","2"
"No","2015","indirect migration background","middle vocational","626","0.943623338845679","0.926053486609239","0.961193191082119","2"
"No","2015","indirect migration background","vocational + Abi","106","0.937364010319033","0.892687938676346","0.98204008196172","2"
"No","2015","indirect migration background","higher vocational","50","0.908365389320859","0.834115783411925","0.982614995229793","2"
"No","2015","indirect migration background","higher education","245","0.95435003795889","0.928731634632678","0.979968441285102","2"
"No","2015","direct migration background","inadequately","185","0.75010320646893","0.692498352912283","0.807708060025577","2"
"No","2015","direct migration background","general elemantary","699","0.88150083139301","0.8586726274804","0.90432903530562","2"
"No","2015","direct migration background","middle vocational","1382","0.913971730842457","0.899729182036583","0.92821427964833","2"
"No","2015","direct migration background","vocational + Abi","560","0.900404882137708","0.876833220855071","0.923976543420344","2"
"No","2015","no migration background","in school","217","0.990560018617369","0.977752883249764","1.00336715398497","2"
"No","2015","no migration background","inadequately","143","0.88274630986372","0.832739316466276","0.932753303261165","2"
