"ple0011","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No","2011","16-34 y.","4181","0.968771668010625","0.96357714393326","0.973966192087991","2"
"No","2011","35-65 y.","10273","0.901125400262578","0.895637116312341","0.906613684212815","2"
"No","2011","66 and older","4530","0.858768501068673","0.849293740378091","0.868243261759256","2"
"Yes","2011","16-34 y.","126","0.0312283319893746","0.0260338079120092","0.03642285606674","1"
"Yes","2011","35-65 y.","1090","0.098874599737422","0.0933863157871846","0.104362883687659","1"
"Yes","2011","66 and older","660","0.141231498931327","0.131756738240744","0.150706259621909","1"
"No","2012","16-34 y.","","","","","2"
"No","2012","35-65 y.","","","","","2"
"No","2012","66 and older","","","","","2"
"Yes","2012","16-34 y.","","","","","1"
"Yes","2012","35-65 y.","","","","","1"
"Yes","2012","66 and older","","","","","1"
"No","2013","16-34 y.","3600","0.969194387316187","0.963633551855327","0.974755222777046","2"
"No","2013","35-65 y.","9194","0.884478932402179","0.878293803515638","0.890664061288719","2"
"No","2013","66 and older","4424","0.87536157441894","0.866207889407243","0.884515259430638","2"
"Yes","2013","16-34 y.","109","0.0308056126838134","0.0252447772229538","0.0363664481446729","1"
"Yes","2013","35-65 y.","1066","0.115521067597821","0.109335938711281","0.121706196484362","1"
"Yes","2013","66 and older","578","0.12463842558106","0.115484740569362","0.133792110592757","1"
"No","2014","16-34 y.","","","","","2"
"No","2014","35-65 y.","","","","","2"
"No","2014","66 and older","","","","","2"
"Yes","2014","16-34 y.","","","","","1"
"Yes","2014","35-65 y.","","","","","1"
"Yes","2014","66 and older","","","","","1"
"No","2015","16-34 y.","5555","0.96915986922081","0.964699035846892","0.973620702594728","2"
"No","2015","35-65 y.","13039","0.894614537849759","0.889607999774629","0.899621075924888","2"
"No","2015","66 and older","4377","0.874679418629379","0.865457160324805","0.883901676933953","2"
"Yes","2015","16-34 y.","215","0.0308401307791901","0.0263792974052719","0.0353009641531083","1"
"Yes","2015","35-65 y.","1410","0.105385462150241","0.100378924075112","0.110392000225371","1"
"Yes","2015","66 and older","574","0.125320581370621","0.116098323066047","0.134542839675195","1"
"No","2016","16-34 y.","","","","","2"
"No","2016","35-65 y.","","","","","2"
"No","2016","66 and older","","","","","2"
"Yes","2016","16-34 y.","","","","","1"
"Yes","2016","35-65 y.","","","","","1"
"Yes","2016","66 and older","","","","","1"
"No","2017","16-34 y.","5990","0.960978264403165","0.956175492701958","0.965781036104373","2"
"No","2017","35-65 y.","13877","0.889839634324312","0.884901957153462","0.894777311495161","2"
"No","2017","66 and older","4478","0.881097681664909","0.8721555344307","0.890039828899118","2"
"Yes","2017","16-34 y.","255","0.0390217355968348","0.0342189638956274","0.0438245072980421","1"
"Yes","2017","35-65 y.","1568","0.110160365675688","0.105222688504839","0.115098042846538","1"
"Yes","2017","66 and older","555","0.118902318335091","0.109960171100882","0.1278444655693","1"
"No","2018","16-34 y.","","","","","2"
"No","2018","35-65 y.","","","","","2"
"No","2018","66 and older","","","","","2"
"Yes","2018","16-34 y.","","","","","1"
"Yes","2018","35-65 y.","","","","","1"
"Yes","2018","66 and older","","","","","1"
"No","2019","16-34 y.","5209","0.952621466488996","0.946984286532496","0.958258646445496","2"
"No","2019","35-65 y.","13675","0.891648294575444","0.886703254776388","0.8965933343745","2"
"No","2019","66 and older","4661","0.876646724484892","0.8677489742794","0.885544474690384","2"
"Yes","2019","16-34 y.","247","0.0473785335110036","0.0417413535545036","0.0530157134675037","1"
"Yes","2019","35-65 y.","1502","0.108351705424556","0.1034066656255","0.113296745223612","1"
"Yes","2019","66 and older","586","0.123353275515108","0.114455525309616","0.1322510257206","1"
