"ple0011","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Not Working","inadequately","120","0.844862138893427","0.784676549926153","0.905047727860701","2"
"No","2011","Part Time","higher vocational","277","0.899574955202508","0.865843283383898","0.933306627021117","2"
"No","2011","Part Time","higher education","889","0.905865389927982","0.887441092672629","0.924289687183336","2"
"No","2011","Part Time","middle vocational","2416","0.924712277404251","0.914603197677033","0.934821357131469","2"
"No","2011","Not Working","in school","245","0.981758272120128","0.965136256406658","0.998380287833597","2"
"No","2011","Not Working","general elemantary","1049","0.815593370983299","0.794322868455534","0.836863873511064","2"
"No","2011","Part Time","vocational + Abi","352","0.931336711007877","0.905742124399421","0.956931297616332","2"
"No","2011","Not Working","middle vocational","3724","0.862718044337861","0.852387300468111","0.873048788207611","2"
"No","2011","Not Working","vocational + Abi","243","0.915937444748073","0.883082025741636","0.94879286375451","2"
"No","2011","Not Working","higher vocational","421","0.868458411573261","0.838063048170838","0.898853774975683","2"
"No","2011","Part Time","general elemantary","399","0.899650675104698","0.871607771512985","0.927693578696411","2"
"No","2011","Not Working","higher education","1198","0.891231843796214","0.874549146666839","0.907914540925589","2"
"No","2011","Part Time","in school","59","1","1","1","2"
"No","2011","Part Time","inadequately","49","0.984331482793987","0.950247711672344","1.01841525391563","2"
"No","2011","Full Time","higher education","2153","0.930925458780557","0.920555332339237","0.941295585221877","2"
"No","2011","Full Time","higher vocational","632","0.94899655259813","0.932387294799352","0.965605810396908","2"
"No","2011","Full Time","vocational + Abi","530","0.959918858452942","0.943673048048992","0.976164668856892","2"
"No","2011","Full Time","general elemantary","449","0.95223785994587","0.932957560566976","0.971518159324763","2"
"No","2011","Full Time","middle vocational","3437","0.930416950358418","0.922182701963513","0.938651198753323","2"
"No","2011","Full Time","in school","5","","","","2"
"No","2011","Full Time","inadequately","40","0.898333768851929","0.808006040564886","0.988661497138972","2"
"Yes","2011","Full Time","in school","","","","","1"
"Yes","2011","Full Time","inadequately","3","","","","1"
"Yes","2011","Full Time","general elemantary","21","","","","1"
"Yes","2011","Full Time","middle vocational","231","0.0695830496415824","0.0613488012466775","0.0778172980364873","1"
"Yes","2011","Full Time","vocational + Abi","30","0.0400811415470578","0.0238353311431075","0.0563269519510081","1"
"Yes","2011","Full Time","higher vocational","42","0.05100344740187","0.0343941896030919","0.067612705200648","1"
"Yes","2011","Full Time","higher education","144","0.069074541219443","0.0587044147781226","0.0794446676607633","1"
"Yes","2011","Part Time","in school","","","","","1"
"Yes","2011","Part Time","inadequately","2","","","","1"
"Yes","2011","Part Time","general elemantary","42","0.100349324895302","0.0723064213035891","0.128392228487015","1"
"Yes","2011","Part Time","middle vocational","201","0.075287722595749","0.0651786428685315","0.0853968023229665","1"
"Yes","2011","Part Time","vocational + Abi","23","","","","1"
