"ple0011","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2011","1-pers.-HH","Urban Area","328","1","1","1"
"Yes","2011","1-pers.-HH","Rural Area","151","1","1","1"
"Yes","2011","(Married) couple without C. ","Urban Area","508","1","1","1"
"Yes","2011","(Married) couple without C. ","Rural Area","311","1","1","1"
"Yes","2011","Single parent ","Urban Area","82","1","1","1"
"Yes","2011","Single parent ","Rural Area","30","1","1","1"
"Yes","2011","Couple + C. LE 16 ","Urban Area","111","1","1","1"
"Yes","2011","Couple + C. LE 16 ","Rural Area","43","1","1","1"
"Yes","2011","Couple + C. GT 16 ","Urban Area","122","1","1","1"
"Yes","2011","Couple + C. GT 16 ","Rural Area","63","1","1","1"
"Yes","2011","Couple + C. LE and GT 16","Urban Area","46","1","1","1"
"Yes","2011","Couple + C. LE and GT 16","Rural Area","25","","",""
"Yes","2012","1-pers.-HH","Urban Area","","","",""
"Yes","2012","1-pers.-HH","Rural Area","","","",""
"Yes","2012","(Married) couple without C. ","Urban Area","","","",""
"Yes","2012","(Married) couple without C. ","Rural Area","","","",""
"Yes","2012","Single parent ","Urban Area","","","",""
"Yes","2012","Single parent ","Rural Area","","","",""
"Yes","2012","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2012","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2012","Couple + C. GT 16 ","Urban Area","","","",""
"Yes","2012","Couple + C. GT 16 ","Rural Area","","","",""
"Yes","2012","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2012","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes","2013","1-pers.-HH","Urban Area","317","1","1","1"
"Yes","2013","1-pers.-HH","Rural Area","134","1","1","1"
"Yes","2013","(Married) couple without C. ","Urban Area","488","1","1","1"
"Yes","2013","(Married) couple without C. ","Rural Area","283","1","1","1"
"Yes","2013","Single parent ","Urban Area","78","1","1","1"
"Yes","2013","Single parent ","Rural Area","35","1","1","1"
"Yes","2013","Couple + C. LE 16 ","Urban Area","92","1","1","1"
"Yes","2013","Couple + C. LE 16 ","Rural Area","44","1","1","1"
"Yes","2013","Couple + C. GT 16 ","Urban Area","125","1","1","1"
"Yes","2013","Couple + C. GT 16 ","Rural Area","65","1","1","1"
"Yes","2013","Couple + C. LE and GT 16","Urban Area","39","1","1","1"
"Yes","2013","Couple + C. LE and GT 16","Rural Area","17","","",""
"Yes","2014","1-pers.-HH","Urban Area","","","",""
"Yes","2014","1-pers.-HH","Rural Area","","","",""
"Yes","2014","(Married) couple without C. ","Urban Area","","","",""
"Yes","2014","(Married) couple without C. ","Rural Area","","","",""
"Yes","2014","Single parent ","Urban Area","","","",""
"Yes","2014","Single parent ","Rural Area","","","",""
"Yes","2014","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2014","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2014","Couple + C. GT 16 ","Urban Area","","","",""
"Yes","2014","Couple + C. GT 16 ","Rural Area","","","",""
"Yes","2014","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2014","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes","2015","1-pers.-HH","Urban Area","308","1","1","1"
"Yes","2015","1-pers.-HH","Rural Area","146","1","1","1"
"Yes","2015","(Married) couple without C. ","Urban Area","480","1","1","1"
"Yes","2015","(Married) couple without C. ","Rural Area","273","1","1","1"
"Yes","2015","Single parent ","Urban Area","192","1","1","1"
"Yes","2015","Single parent ","Rural Area","96","1","1","1"
"Yes","2015","Couple + C. LE 16 ","Urban Area","202","1","1","1"
"Yes","2015","Couple + C. LE 16 ","Rural Area","103","1","1","1"
"Yes","2015","Couple + C. GT 16 ","Urban Area","129","1","1","1"
"Yes","2015","Couple + C. GT 16 ","Rural Area","60","1","1","1"
"Yes","2015","Couple + C. LE and GT 16","Urban Area","100","1","1","1"
