"ple0011","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Not Employed","lower secondary degree","590","1","1","1"
"Yes","2011","Not Employed","secondary school degree","197","1","1","1"
"Yes","2011","Not Employed","college entrance qualification","124","1","1","1"
"Yes","2011","Not Employed","Other degree","74","1","1","1"
"Yes","2011","Not Employed","no degree/no degree yet","28","","",""
"Yes","2011","Employed","lower secondary degree","246","1","1","1"
"Yes","2011","Employed","secondary school degree","294","1","1","1"
"Yes","2011","Employed","college entrance qualification","242","1","1","1"
"Yes","2011","Employed","Other degree","45","1","1","1"
"Yes","2011","Employed","no degree/no degree yet","10","","",""
"Yes","2012","Not Employed","lower secondary degree","","","",""
"Yes","2012","Not Employed","secondary school degree","","","",""
"Yes","2012","Not Employed","college entrance qualification","","","",""
"Yes","2012","Not Employed","Other degree","","","",""
"Yes","2012","Not Employed","no degree/no degree yet","","","",""
"Yes","2012","Employed","lower secondary degree","","","",""
"Yes","2012","Employed","secondary school degree","","","",""
"Yes","2012","Employed","college entrance qualification","","","",""
"Yes","2012","Employed","Other degree","","","",""
"Yes","2012","Employed","no degree/no degree yet","","","",""
"Yes","2013","Not Employed","lower secondary degree","459","1","1","1"
"Yes","2013","Not Employed","secondary school degree","231","1","1","1"
"Yes","2013","Not Employed","college entrance qualification","134","1","1","1"
"Yes","2013","Not Employed","Other degree","59","1","1","1"
"Yes","2013","Not Employed","no degree/no degree yet","20","","",""
"Yes","2013","Employed","lower secondary degree","239","1","1","1"
"Yes","2013","Employed","secondary school degree","280","1","1","1"
"Yes","2013","Employed","college entrance qualification","236","1","1","1"
"Yes","2013","Employed","Other degree","50","1","1","1"
"Yes","2013","Employed","no degree/no degree yet","17","","",""
"Yes","2014","Not Employed","lower secondary degree","","","",""
"Yes","2014","Not Employed","secondary school degree","","","",""
"Yes","2014","Not Employed","college entrance qualification","","","",""
"Yes","2014","Not Employed","Other degree","","","",""
"Yes","2014","Not Employed","no degree/no degree yet","","","",""
"Yes","2014","Employed","lower secondary degree","","","",""
"Yes","2014","Employed","secondary school degree","","","",""
"Yes","2014","Employed","college entrance qualification","","","",""
"Yes","2014","Employed","Other degree","","","",""
"Yes","2014","Employed","no degree/no degree yet","","","",""
"Yes","2015","Not Employed","lower secondary degree","449","1","1","1"
"Yes","2015","Not Employed","secondary school degree","273","1","1","1"
"Yes","2015","Not Employed","college entrance qualification","138","1","1","1"
"Yes","2015","Not Employed","Other degree","104","1","1","1"
"Yes","2015","Not Employed","no degree/no degree yet","51","1","1","1"
"Yes","2015","Employed","lower secondary degree","277","1","1","1"
"Yes","2015","Employed","secondary school degree","372","1","1","1"
"Yes","2015","Employed","college entrance qualification","318","1","1","1"
"Yes","2015","Employed","Other degree","135","1","1","1"
"Yes","2015","Employed","no degree/no degree yet","22","","",""
"Yes","2016","Not Employed","lower secondary degree","","","",""
"Yes","2016","Not Employed","secondary school degree","","","",""
"Yes","2016","Not Employed","college entrance qualification","","","",""
"Yes","2016","Not Employed","Other degree","","","",""
"Yes","2016","Not Employed","no degree/no degree yet","","","",""
"Yes","2016","Employed","lower secondary degree","","","",""
"Yes","2016","Employed","secondary school degree","","","",""
"Yes","2016","Employed","college entrance qualification","","","",""
"Yes","2016","Employed","Other degree","","","",""
"Yes","2016","Employed","no degree/no degree yet","","","",""
"Yes","2017","Not Employed","lower secondary degree","397","1","1","1"
"Yes","2017","Not Employed","secondary school degree","253","1","1","1"
"Yes","2017","Not Employed","college entrance qualification","165","1","1","1"
"Yes","2017","Not Employed","Other degree","139","1","1","1"
"Yes","2017","Not Employed","no degree/no degree yet","61","1","1","1"
"Yes","2017","Employed","lower secondary degree","296","1","1","1"
"Yes","2017","Employed","secondary school degree","456","1","1","1"
"Yes","2017","Employed","college entrance qualification","367","1","1","1"
"Yes","2017","Employed","Other degree","148","1","1","1"
"Yes","2017","Employed","no degree/no degree yet","26","","",""
"Yes","2018","Not Employed","lower secondary degree","","","",""
"Yes","2018","Not Employed","secondary school degree","","","",""
"Yes","2018","Not Employed","college entrance qualification","","","",""
"Yes","2018","Not Employed","Other degree","","","",""
"Yes","2018","Not Employed","no degree/no degree yet","","","",""
"Yes","2018","Employed","lower secondary degree","","","",""
"Yes","2018","Employed","secondary school degree","","","",""
"Yes","2018","Employed","college entrance qualification","","","",""
"Yes","2018","Employed","Other degree","","","",""
"Yes","2018","Employed","no degree/no degree yet","","","",""
"Yes","2019","Not Employed","lower secondary degree","365","1","1","1"
"Yes","2019","Not Employed","secondary school degree","292","1","1","1"
"Yes","2019","Not Employed","college entrance qualification","177","1","1","1"
"Yes","2019","Not Employed","Other degree","122","1","1","1"
"Yes","2019","Not Employed","no degree/no degree yet","49","1","1","1"
"Yes","2019","Employed","lower secondary degree","248","1","1","1"
"Yes","2019","Employed","secondary school degree","419","1","1","1"
"Yes","2019","Employed","college entrance qualification","430","1","1","1"
"Yes","2019","Employed","Other degree","129","1","1","1"
"Yes","2019","Employed","no degree/no degree yet","26","","",""
