"ple0011","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","16-34 y.","Rural Area","1354","0.975519624154962","0.967395664898048","0.983643583411875","2"
"No","2011","16-34 y.","Urban Area","2827","0.965944723592605","0.959362869986013","0.972526577199196","2"
"No","2011","35-65 y.","Urban Area","6575","0.901070264475261","0.894212769361866","0.907927759588657","2"
"No","2011","35-65 y.","Rural Area","3698","0.901237169880977","0.8920837980573","0.910390541704653","2"
"No","2011","66 and older","Urban Area","2966","0.854897053455935","0.843053136777685","0.866740970134186","2"
"No","2011","66 and older","Rural Area","1564","0.867378782863324","0.851679896414029","0.883077669312619","2"
"Yes","2011","16-34 y.","Urban Area","90","0.0340552764073953","0.0274734228008036","0.0406371300139871","1"
"Yes","2011","16-34 y.","Rural Area","36","0.0244803758450384","0.0163564165881248","0.032604335101952","1"
"Yes","2011","35-65 y.","Urban Area","707","0.0989297355247388","0.0920722404113431","0.105787230638134","1"
"Yes","2011","35-65 y.","Rural Area","383","0.0987628301190234","0.0896094582953466","0.1079162019427","1"
"Yes","2011","66 and older","Urban Area","431","0.145102946544065","0.133259029865814","0.156946863222315","1"
"Yes","2011","66 and older","Rural Area","229","0.132621217136676","0.116922330687381","0.148320103585971","1"
"No","2012","16-34 y.","Urban Area","","","","","2"
"No","2012","16-34 y.","Rural Area","","","","","2"
"No","2012","35-65 y.","Urban Area","","","","","2"
"No","2012","35-65 y.","Rural Area","","","","","2"
"No","2012","66 and older","Urban Area","","","","","2"
"No","2012","66 and older","Rural Area","","","","","2"
"Yes","2012","16-34 y.","Urban Area","","","","","1"
"Yes","2012","16-34 y.","Rural Area","","","","","1"
"Yes","2012","35-65 y.","Urban Area","","","","","1"
"Yes","2012","35-65 y.","Rural Area","","","","","1"
"Yes","2012","66 and older","Urban Area","","","","","1"
"Yes","2012","66 and older","Rural Area","","","","","1"
"No","2013","16-34 y.","Urban Area","2488","0.966147442027222","0.959150033749377","0.973144850305066","2"
