"ple0011","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Mecklenburg-Western Pomerania","Urban Area","41","0.869287570568381","0.771876267386849","0.966698873749913","2"
"No","2011","Hamburg","Urban Area","295","0.909830107087964","0.878199775624724","0.941460438551203","2"
"No","2011","Lower Saxony","Urban Area","849","0.895692614608445","0.87618387235361","0.91520135686328","2"
"No","2011","Lower Saxony","Rural Area","910","0.925142701567686","0.908641246261602","0.94164415687377","2"
"No","2011","Bremen","Urban Area","121","0.937774049797883","0.895761300314534","0.979786799281232","2"
"No","2011","Hamburg","Rural Area","","","","","2"
"No","2011","Brandenburg","Rural Area","747","0.915437285318096","0.896393866379904","0.934480704256289","2"
"No","2011","North Rhine-Westphalia","Urban Area","3633","0.901849022599504","0.892649668019235","0.911048377179773","2"
"No","2011","Mecklenburg-Western Pomerania","Rural Area","424","0.877562246005222","0.848021996219687","0.907102495790757","2"
"No","2011","Saxony","Urban Area","670","0.913007126138467","0.892521001608484","0.93349325066845","2"
"No","2011","Saxony","Rural Area","634","0.924330651185563","0.904496600679368","0.944164701691758","2"
"No","2011","Schleswig-Holstein","Urban Area","191","0.921687324577055","0.884999469750602","0.958375179403508","2"
"No","2011","Schleswig-Holstein","Rural Area","407","0.915509029281287","0.889726186801745","0.94129187176083","2"
"No","2011","Brandenburg","Urban Area","62","0.881922973102357","0.805781446818717","0.958064499385996","2"
"No","2011","Bremen","Rural Area","","","","","2"
"No","2011","Saxony-Anhalt","Urban Area","260","0.890688323393553","0.854651375289771","0.926725271497334","2"
"No","2011","North Rhine-Westphalia","Rural Area","123","0.91685526339447","0.870621890325845","0.963088636463096","2"
"No","2011","Hesse","Urban Area","1050","0.890597228282365","0.872665323135349","0.908529133429381","2"
"No","2011","Saxony-Anhalt","Rural Area","527","0.912264945576106","0.889280519323978","0.935249371828235","2"
"No","2011","Hesse","Rural Area","229","0.868423762734211","0.826771134414167","0.910076391054255","2"
"No","2011","Rhineland-Palatinate,Saarland","Urban Area","798","0.902040989872626","0.882445447482845","0.921636532262407","2"
"No","2011","Rhineland-Palatinate,Saarland","Rural Area","295","0.926193193063205","0.897898162319581","0.954488223806829","2"
"No","2011","Baden-Württemberg","Urban Area","2080","0.913396591631685","0.901777891874433","0.925015291388936","2"
"No","2011","Baden-Württemberg","Rural Area","230","0.937989309333987","0.907973194435735","0.968005424232239","2"
