"ple0011","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","1-pers.-HH","243","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","406","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","39","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","39","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","62","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE and GT 16","20","","",""
"Yes","2011","secondary school degree","1-pers.-HH","105","1","1","1"
"Yes","2011","secondary school degree","(Married) couple without C. ","197","1","1","1"
"Yes","2011","secondary school degree","Single parent ","35","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE 16 ","63","1","1","1"
"Yes","2011","secondary school degree","Couple + C. GT 16 ","54","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE and GT 16","28","","",""
"Yes","2011","college entrance qualification","1-pers.-HH","89","1","1","1"
"Yes","2011","college entrance qualification","(Married) couple without C. ","144","1","1","1"
"Yes","2011","college entrance qualification","Single parent ","20","","",""
"Yes","2011","college entrance qualification","Couple + C. LE 16 ","43","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. GT 16 ","49","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. LE and GT 16","14","","",""
"Yes","2011","Other degree","1-pers.-HH","27","","",""
"Yes","2011","Other degree","(Married) couple without C. ","50","1","1","1"
"Yes","2011","Other degree","Single parent ","10","","",""
"Yes","2011","Other degree","Couple + C. LE 16 ","7","","",""
"Yes","2011","Other degree","Couple + C. GT 16 ","12","","",""
"Yes","2011","Other degree","Couple + C. LE and GT 16","6","","",""
"Yes","2011","no degree/no degree yet","1-pers.-HH","11","","",""
"Yes","2011","no degree/no degree yet","(Married) couple without C. ","13","","",""
"Yes","2011","no degree/no degree yet","Single parent ","5","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Yes","2011","no degree/no degree yet","Couple + C. GT 16 ","2","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"Yes","2012","lower secondary degree","1-pers.-HH","","","",""
"Yes","2012","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2012","lower secondary degree","Single parent ","","","",""
"Yes","2012","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2012","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2012","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","secondary school degree","1-pers.-HH","","","",""
"Yes","2012","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2012","secondary school degree","Single parent ","","","",""
"Yes","2012","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2012","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2012","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","college entrance qualification","1-pers.-HH","","","",""
"Yes","2012","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2012","college entrance qualification","Single parent ","","","",""
"Yes","2012","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2012","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2012","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2012","Other degree","1-pers.-HH","","","",""
"Yes","2012","Other degree","(Married) couple without C. ","","","",""
"Yes","2012","Other degree","Single parent ","","","",""
"Yes","2012","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2012","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2012","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2012","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2012","no degree/no degree yet","Single parent ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2013","lower secondary degree","1-pers.-HH","204","1","1","1"
"Yes","2013","lower secondary degree","(Married) couple without C. ","322","1","1","1"
"Yes","2013","lower secondary degree","Single parent ","46","1","1","1"
"Yes","2013","lower secondary degree","Couple + C. LE 16 ","34","1","1","1"
"Yes","2013","lower secondary degree","Couple + C. GT 16 ","60","1","1","1"
"Yes","2013","lower secondary degree","Couple + C. LE and GT 16","16","","",""
"Yes","2013","secondary school degree","1-pers.-HH","132","1","1","1"
"Yes","2013","secondary school degree","(Married) couple without C. ","211","1","1","1"
"Yes","2013","secondary school degree","Single parent ","32","1","1","1"
"Yes","2013","secondary school degree","Couple + C. LE 16 ","45","1","1","1"
"Yes","2013","secondary school degree","Couple + C. GT 16 ","62","1","1","1"
"Yes","2013","secondary school degree","Couple + C. LE and GT 16","17","","",""
"Yes","2013","college entrance qualification","1-pers.-HH","73","1","1","1"
"Yes","2013","college entrance qualification","(Married) couple without C. ","181","1","1","1"
"Yes","2013","college entrance qualification","Single parent ","16","","",""
"Yes","2013","college entrance qualification","Couple + C. LE 16 ","43","1","1","1"
"Yes","2013","college entrance qualification","Couple + C. GT 16 ","42","1","1","1"
"Yes","2013","college entrance qualification","Couple + C. LE and GT 16","11","","",""
"Yes","2013","Other degree","1-pers.-HH","31","1","1","1"
"Yes","2013","Other degree","(Married) couple without C. ","33","1","1","1"
"Yes","2013","Other degree","Single parent ","7","","",""
"Yes","2013","Other degree","Couple + C. LE 16 ","9","","",""
"Yes","2013","Other degree","Couple + C. GT 16 ","22","","",""
"Yes","2013","Other degree","Couple + C. LE and GT 16","3","","",""
"Yes","2013","no degree/no degree yet","1-pers.-HH","9","","",""
