"ple0011","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Schleswig-Holstein","Male","16","","",""
"Yes","2011","Schleswig-Holstein","Female","39","1","1","1"
"Yes","2011","Hamburg","Male","6","","",""
"Yes","2011","Hamburg","Female","14","","",""
"Yes","2011","Lower Saxony","Male","57","1","1","1"
"Yes","2011","Lower Saxony","Female","104","1","1","1"
"Yes","2011","Bremen","Male","3","","",""
"Yes","2011","Bremen","Female","3","","",""
"Yes","2011","North Rhine-Westphalia","Male","155","1","1","1"
"Yes","2011","North Rhine-Westphalia","Female","244","1","1","1"
"Yes","2011","Hesse","Male","41","1","1","1"
"Yes","2011","Hesse","Female","97","1","1","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Male","39","1","1","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Female","80","1","1","1"
"Yes","2011","Baden-Württemberg","Male","70","1","1","1"
"Yes","2011","Baden-Württemberg","Female","119","1","1","1"
"Yes","2011","Bavaria","Male","109","1","1","1"
"Yes","2011","Bavaria","Female","202","1","1","1"
"Yes","2011","Berlin","Male","23","","",""
"Yes","2011","Berlin","Female","53","1","1","1"
"Yes","2011","Brandenburg","Male","24","","",""
"Yes","2011","Brandenburg","Female","56","1","1","1"
"Yes","2011","Mecklenburg-Western Pomerania","Male","12","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Female","42","1","1","1"
"Yes","2011","Saxony","Male","38","1","1","1"
"Yes","2011","Saxony","Female","68","1","1","1"
"Yes","2011","Saxony-Anhalt","Male","23","","",""
"Yes","2011","Saxony-Anhalt","Female","60","1","1","1"
"Yes","2011","Thuringia","Male","34","1","1","1"
"Yes","2011","Thuringia","Female","45","1","1","1"
"Yes","2012","Schleswig-Holstein","Male","","","",""
"Yes","2012","Schleswig-Holstein","Female","","","",""
"Yes","2012","Hamburg","Male","","","",""
"Yes","2012","Hamburg","Female","","","",""
"Yes","2012","Lower Saxony","Male","","","",""
"Yes","2012","Lower Saxony","Female","","","",""
"Yes","2012","Bremen","Male","","","",""
"Yes","2012","Bremen","Female","","","",""
"Yes","2012","North Rhine-Westphalia","Male","","","",""
"Yes","2012","North Rhine-Westphalia","Female","","","",""
"Yes","2012","Hesse","Male","","","",""
"Yes","2012","Hesse","Female","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Male","","","",""
