"ple0011","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2011","(Married) couple without C. ","7326","0.903209453121837","0.89678829661014","0.909630609633534","2"
"No","2011","1-pers.-HH","3095","0.861052062915137","0.849712101564386","0.872392024265889","2"
"No","2011","Single parent ","1062","0.914403941273102","0.8984006256281","0.930407256918105","2"
"No","2011","Couple + C. LE 16 ","2963","0.953051612972649","0.945625727647933","0.960477498297366","2"
"No","2011","Couple + C. GT 16 ","3016","0.942214150362057","0.934130810915252","0.950297489808862","2"
"No","2011","Couple + C. LE and GT 16","1163","0.943259714572832","0.930351923935821","0.956167505209843","2"
"Yes","2011","1-pers.-HH","479","0.138947937084863","0.127607975734111","0.150287898435614","1"
"Yes","2011","(Married) couple without C. ","819","0.0967905468781625","0.0903693903664654","0.10321170338986","1"
"Yes","2011","Single parent ","112","0.0855960587268977","0.0695927430818953","0.1015993743719","1"
"Yes","2011","Couple + C. LE 16 ","154","0.0469483870273506","0.0395225017026341","0.0543742723520672","1"
"Yes","2011","Couple + C. GT 16 ","185","0.0577858496379434","0.0497025101911382","0.0658691890847486","1"
"Yes","2011","Couple + C. LE and GT 16","71","0.0567402854271683","0.0438324947901574","0.0696480760641792","1"
"No","2012","1-pers.-HH","","","","","2"
"No","2012","(Married) couple without C. ","","","","","2"
"No","2012","Single parent ","","","","","2"
"No","2012","Couple + C. LE 16 ","","","","","2"
"No","2012","Couple + C. GT 16 ","","","","","2"
"No","2012","Couple + C. LE and GT 16","","","","","2"
"Yes","2012","1-pers.-HH","","","","","1"
"Yes","2012","(Married) couple without C. ","","","","","1"
"Yes","2012","Single parent ","","","","","1"
"Yes","2012","Couple + C. LE 16 ","","","","","1"
"Yes","2012","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","","","","","1"
"No","2013","1-pers.-HH","3022","0.866407381454955","0.85509255225776","0.877722210652149","2"
"No","2013","(Married) couple without C. ","6884","0.898275582038463","0.891503957072669","0.905047207004256","2"
"No","2013","Single parent ","1003","0.90410796101085","0.886832986427865","0.921382935593835","2"
"No","2013","Couple + C. LE 16 ","2637","0.942592092805128","0.933934026451622","0.951250159158635","2"
"No","2013","Couple + C. GT 16 ","2444","0.926477321522203","0.916510234217902","0.936444408826504","2"
"No","2013","Couple + C. LE and GT 16","886","0.941805118176853","0.926854967903387","0.956755268450319","2"
"Yes","2013","1-pers.-HH","451","0.133592618545045","0.122277789347851","0.14490744774224","1"
"Yes","2013","(Married) couple without C. ","771","0.101724417961537","0.0949527929957438","0.108496042927331","1"
"Yes","2013","Single parent ","113","0.0958920389891499","0.0786170644061651","0.113167013572135","1"
