"ple0011","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","16-34 y.","lower secondary degree","24","","",""
"Yes","2011","16-34 y.","secondary school degree","39","1","1","1"
"Yes","2011","16-34 y.","college entrance qualification","44","1","1","1"
"Yes","2011","16-34 y.","Other degree","2","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","6","","",""
"Yes","2011","35-65 y.","lower secondary degree","388","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","347","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","241","1","1","1"
"Yes","2011","35-65 y.","Other degree","82","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","20","","",""
"Yes","2011","66 and older","lower secondary degree","424","1","1","1"
"Yes","2011","66 and older","secondary school degree","105","1","1","1"
"Yes","2011","66 and older","college entrance qualification","81","1","1","1"
"Yes","2011","66 and older","Other degree","35","1","1","1"
"Yes","2011","66 and older","no degree/no degree yet","12","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","14","","",""
"Yes","2013","16-34 y.","secondary school degree","36","1","1","1"
"Yes","2013","16-34 y.","college entrance qualification","37","1","1","1"
"Yes","2013","16-34 y.","Other degree","1","","",""
"Yes","2013","16-34 y.","no degree/no degree yet","6","","",""
"Yes","2013","35-65 y.","lower secondary degree","357","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","355","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","244","1","1","1"
"Yes","2013","35-65 y.","Other degree","79","1","1","1"
"Yes","2013","35-65 y.","no degree/no degree yet","22","","",""
"Yes","2013","66 and older","lower secondary degree","327","1","1","1"
"Yes","2013","66 and older","secondary school degree","120","1","1","1"
"Yes","2013","66 and older","college entrance qualification","89","1","1","1"
"Yes","2013","66 and older","Other degree","29","","",""
"Yes","2013","66 and older","no degree/no degree yet","9","","",""
"Yes","2014","16-34 y.","lower secondary degree","","","",""
"Yes","2014","16-34 y.","secondary school degree","","","",""
"Yes","2014","16-34 y.","college entrance qualification","","","",""
"Yes","2014","16-34 y.","Other degree","","","",""
"Yes","2014","16-34 y.","no degree/no degree yet","","","",""
"Yes","2014","35-65 y.","lower secondary degree","","","",""
"Yes","2014","35-65 y.","secondary school degree","","","",""
"Yes","2014","35-65 y.","college entrance qualification","","","",""
"Yes","2014","35-65 y.","Other degree","","","",""
"Yes","2014","35-65 y.","no degree/no degree yet","","","",""
"Yes","2014","66 and older","lower secondary degree","","","",""
"Yes","2014","66 and older","secondary school degree","","","",""
