"ple0011","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Not Employed","Rural Area","2479","0.873246155982","0.86099509463801","0.885497217325991","2"
"No","2011","Employed","Rural Area","4137","0.929189902837423","0.921637292962596","0.936742512712251","2"
"No","2011","Not Employed","Urban Area","4639","0.859494398864307","0.850150104155351","0.868838693573263","2"
"No","2011","Employed","Urban Area","7729","0.931759489615386","0.926329146068422","0.93718983316235","2"
"Yes","2011","Not Employed","Urban Area","674","0.140505601135693","0.131161306426737","0.149849895844649","1"
"Yes","2011","Not Employed","Rural Area","354","0.126753844018","0.114502782674009","0.13900490536199","1"
"Yes","2011","Employed","Urban Area","554","0.0682405103846135","0.0628101668376495","0.0736708539315775","1"
"Yes","2011","Employed","Rural Area","294","0.0708100971625766","0.0632574872877494","0.0783627070374039","1"
"No","2012","Not Employed","Rural Area","","","","","2"
"No","2012","Employed","Rural Area","","","","","2"
"No","2012","Not Employed","Urban Area","","","","","2"
"No","2012","Employed","Urban Area","","","","","2"
"Yes","2012","Not Employed","Urban Area","","","","","1"
"Yes","2012","Not Employed","Rural Area","","","","","1"
"Yes","2012","Employed","Urban Area","","","","","1"
"Yes","2012","Employed","Rural Area","","","","","1"
"No","2013","Not Employed","Rural Area","2320","0.866665285090874","0.853695710993152","0.879634859188597","2"
"No","2013","Employed","Rural Area","3776","0.935898401676572","0.928352167627922","0.943444635725222","2"
"No","2013","Not Employed","Urban Area","4138","0.859489940049993","0.849593693487165","0.869386186612821","2"
"No","2013","Employed","Urban Area","6984","0.917567857841343","0.9113634614835","0.923772254199186","2"
"Yes","2013","Not Employed","Rural Area","319","0.133334714909125","0.120365140811403","0.146304289006848","1"
"Yes","2013","Employed","Urban Area","564","0.0824321421586574","0.0762277458008144","0.0886365385165004","1"
"Yes","2013","Employed","Rural Area","271","0.0641015983234279","0.0565553642747784","0.0716478323720775","1"
"Yes","2013","Not Employed","Urban Area","599","0.140510059950007","0.130613813387179","0.150406306512835","1"
"No","2014","Not Employed","Rural Area","","","","","2"
"No","2014","Employed","Rural Area","","","","","2"
"No","2014","Not Employed","Urban Area","","","","","2"
"No","2014","Employed","Urban Area","","","","","2"
"Yes","2014","Not Employed","Rural Area","","","","","1"
"Yes","2014","Employed","Urban Area","","","","","1"
"Yes","2014","Employed","Rural Area","","","","","1"
"Yes","2014","Not Employed","Urban Area","","","","","1"
"No","2015","Not Employed","Urban Area","4799","0.864706282164822","0.855675083115789","0.873737481213854","2"
"No","2015","Not Employed","Rural Area","2665","0.871089268995318","0.859092049986703","0.883086488003934","2"
"No","2015","Employed","Rural Area","5323","0.927721309398856","0.921023536756254","0.934419082041458","2"
"No","2015","Employed","Urban Area","10184","0.930426467278331","0.925654692432582","0.93519824212408","2"
"Yes","2015","Not Employed","Rural Area","332","0.128910731004682","0.116913511996066","0.140907950013297","1"
"Yes","2015","Not Employed","Urban Area","711","0.135293717835179","0.126262518786146","0.144324916884211","1"
"Yes","2015","Employed","Urban Area","737","0.0695735327216692","0.0648017578759202","0.0743453075674183","1"
"Yes","2015","Employed","Rural Area","419","0.072278690601144","0.0655809179585419","0.078976463243746","1"
"No","2016","Employed","Rural Area","","","","","2"
"No","2016","Not Employed","Urban Area","","","","","2"
"No","2016","Not Employed","Rural Area","","","","","2"
"No","2016","Employed","Urban Area","","","","","2"
"Yes","2016","Not Employed","Rural Area","","","","","1"
"Yes","2016","Employed","Rural Area","","","","","1"
"Yes","2016","Not Employed","Urban Area","","","","","1"
"Yes","2016","Employed","Urban Area","","","","","1"
"No","2017","Employed","Rural Area","5893","0.920714342449548","0.914069990685953","0.927358694213144","2"
"No","2017","Not Employed","Urban Area","4838","0.865367134019076","0.856374140973623","0.874360127064528","2"
"No","2017","Not Employed","Rural Area","2748","0.865812609611609","0.85381388596314","0.877811333260078","2"
"No","2017","Employed","Urban Area","10866","0.928622527049101","0.923964846162939","0.933280207935263","2"
"Yes","2017","Not Employed","Rural Area","352","0.134187390388391","0.122188666739922","0.14618611403686","1"
"Yes","2017","Employed","Rural Area","459","0.0792856575504516","0.0726413057868558","0.0859300093140474","1"
"Yes","2017","Not Employed","Urban Area","696","0.134632865980924","0.125639872935472","0.143625859026377","1"
"Yes","2017","Employed","Urban Area","871","0.0713774729508989","0.0667197920647372","0.0760351538370606","1"
"No","2018","Not Employed","Urban Area","","","","","2"
"No","2018","Not Employed","Rural Area","","","","","2"
"No","2018","Employed","Urban Area","","","","","2"
"No","2018","Employed","Rural Area","","","","","2"
"Yes","2018","Not Employed","Rural Area","","","","","1"
"Yes","2018","Employed","Rural Area","","","","","1"
"Yes","2018","Not Employed","Urban Area","","","","","1"
"Yes","2018","Employed","Urban Area","","","","","1"
"No","2019","Not Employed","Urban Area","4186","0.862097741677066","0.852336426865216","0.871859056488917","2"
"No","2019","Not Employed","Rural Area","2506","0.861086501355271","0.848415559686305","0.873757443024236","2"
"No","2019","Employed","Urban Area","9889","0.924877455158411","0.91987908149877","0.929875828818052","2"
"No","2019","Employed","Rural Area","5618","0.923566327233883","0.916854166793246","0.930278487674521","2"
"Yes","2019","Not Employed","Rural Area","356","0.138913498644729","0.126242556975764","0.151584440313695","1"
"Yes","2019","Employed","Rural Area","401","0.0764336727661165","0.0697215123254794","0.0831458332067537","1"
"Yes","2019","Not Employed","Urban Area","607","0.137902258322934","0.128140943511083","0.147663573134784","1"
"Yes","2019","Employed","Urban Area","794","0.0751225448415886","0.0701241711819476","0.0801209185012297","1"
