"ple0011","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2011","no migration background","East Germany","4369","0.906089872708569","0.897830795251685","0.914348950165453","2"
"No","2011","no migration background","West Germany","12064","0.903468928807718","0.8984403331687","0.908497524446736","2"
"No","2011","direct migration background","West Germany","1719","0.898339017036492","0.884839133940829","0.911838900132156","2"
"No","2011","direct migration background","East Germany","87","0.919720965587891","0.865080372865764","0.974361558310018","2"
"No","2011","indirect migration background","West Germany","701","0.939414841807302","0.922386425865954","0.956443257748649","2"
"No","2011","indirect migration background","East Germany","44","0.989668390186434","0.960124295821466","1.0192124845514","2"
"Yes","2011","no migration background","West Germany","1185","0.0965310711922818","0.091502475553264","0.1015596668313","1"
"Yes","2011","no migration background","East Germany","423","0.0939101272914313","0.0856510498345474","0.102169204748315","1"
"Yes","2011","direct migration background","West Germany","206","0.101660982963508","0.0881610998678443","0.115160866059171","1"
"Yes","2011","direct migration background","East Germany","8","","","","1"
"Yes","2011","indirect migration background","West Germany","53","0.0605851581926984","0.0435567422513504","0.0776135741340463","1"
"Yes","2011","indirect migration background","East Germany","1","","","","1"
"No","2012","no migration background","West Germany","","","","","2"
"No","2012","no migration background","East Germany","","","","","2"
"No","2012","direct migration background","West Germany","","","","","2"
"No","2012","direct migration background","East Germany","","","","","2"
"No","2012","indirect migration background","West Germany","","","","","2"
"No","2012","indirect migration background","East Germany","","","","","2"
"Yes","2012","no migration background","West Germany","","","","","1"
"Yes","2012","no migration background","East Germany","","","","","1"
"Yes","2012","direct migration background","West Germany","","","","","1"
"Yes","2012","direct migration background","East Germany","","","","","1"
"Yes","2012","indirect migration background","West Germany","","","","","1"
"Yes","2012","indirect migration background","East Germany","","","","","1"
"No","2013","no migration background","West Germany","11069","0.899355388823301","0.894017423856274","0.904693353790328","2"
"No","2013","no migration background","East Germany","3978","0.907682027508597","0.899085676259676","0.916278378757517","2"
"No","2013","direct migration background","West Germany","1432","0.871437044760811","0.855112624756102","0.887761464765519","2"
"No","2013","direct migration background","East Germany","75","0.843721967899003","0.7646442318963","0.922799703901706","2"
"No","2013","indirect migration background","West Germany","620","0.920469560865755","0.899997656841897","0.940941464889612","2"
"No","2013","indirect migration background","East Germany","44","0.998889756719718","0.989159827285453","1.00861968615398","2"
"Yes","2013","no migration background","West Germany","1134","0.100644611176699","0.0953066462096716","0.105982576143726","1"
"Yes","2013","no migration background","East Germany","378","0.0923179724914032","0.0837216212424829","0.100914323740324","1"
"Yes","2013","direct migration background","West Germany","183","0.128562955239189","0.112238535234481","0.144887375243898","1"
"Yes","2013","direct migration background","East Germany","6","","","","1"
"Yes","2013","indirect migration background","West Germany","51","0.0795304391342454","0.0590585351103879","0.100002343158103","1"
"Yes","2013","indirect migration background","East Germany","1","","","","1"
"No","2014","no migration background","West Germany","","","","","2"
"No","2014","no migration background","East Germany","","","","","2"
"No","2014","direct migration background","West Germany","","","","","2"
"No","2014","direct migration background","East Germany","","","","","2"
"No","2014","indirect migration background","West Germany","","","","","2"
"No","2014","indirect migration background","East Germany","","","","","2"
"Yes","2014","no migration background","West Germany","","","","","1"
"Yes","2014","no migration background","East Germany","","","","","1"
"Yes","2014","direct migration background","West Germany","","","","","1"
"Yes","2014","direct migration background","East Germany","","","","","1"
"Yes","2014","indirect migration background","West Germany","","","","","1"
"Yes","2014","indirect migration background","East Germany","","","","","1"
"No","2015","no migration background","West Germany","13023","0.905596963481018","0.900808550981714","0.910385375980323","2"
"No","2015","no migration background","East Germany","4460","0.904369240506785","0.896129146299316","0.912609334714254","2"
"No","2015","direct migration background","West Germany","3675","0.898262612087885","0.888924627365193","0.907600596810576","2"
"No","2015","direct migration background","East Germany","275","0.892011683737526","0.856594767905993","0.927428599569059","2"
"No","2015","indirect migration background","West Germany","1438","0.943835353975369","0.932298643089961","0.955372064860778","2"
"No","2015","indirect migration background","East Germany","100","0.963529353948755","0.927327260760999","0.999731447136511","2"
"Yes","2015","no migration background","West Germany","1300","0.0944030365189817","0.0896146240196772","0.0991914490182862","1"
"Yes","2015","no migration background","East Germany","433","0.0956307594932148","0.087390665285746","0.103870853700684","1"
"Yes","2015","direct migration background","West Germany","351","0.101737387912115","0.0923994031894236","0.111075372634807","1"
"Yes","2015","direct migration background","East Germany","20","","","","1"
"Yes","2015","indirect migration background","West Germany","92","0.0561646460246306","0.0446279351392218","0.0677013569100394","1"
"Yes","2015","indirect migration background","East Germany","3","","","","1"
"No","2016","no migration background","West Germany","","","","","2"
"No","2016","no migration background","East Germany","","","","","2"
"No","2016","direct migration background","West Germany","","","","","2"
"No","2016","direct migration background","East Germany","","","","","2"
"No","2016","indirect migration background","West Germany","","","","","2"
"No","2016","indirect migration background","East Germany","","","","","2"
"Yes","2016","no migration background","West Germany","","","","","1"
"Yes","2016","no migration background","East Germany","","","","","1"
"Yes","2016","direct migration background","West Germany","","","","","1"
"Yes","2016","direct migration background","East Germany","","","","","1"
"Yes","2016","indirect migration background","West Germany","","","","","1"
"Yes","2016","indirect migration background","East Germany","","","","","1"
"No","2017","no migration background","West Germany","13798","0.904314591991929","0.899634525127174","0.908994658856685","2"
"No","2017","no migration background","East Germany","4727","0.911374167370376","0.903622707631661","0.919125627109091","2"
"No","2017","direct migration background","West Germany","3892","0.888625916686146","0.879221845080137","0.898029988292155","2"
"No","2017","direct migration background","East Germany","345","0.925425061436961","0.898620914606543","0.952229208267379","2"
"No","2017","indirect migration background","West Germany","1482","0.921666820720255","0.908533791144702","0.934799850295808","2"
"No","2017","indirect migration background","East Germany","101","0.955605648921825","0.916579166165914","0.994632131677737","2"
"Yes","2017","no migration background","West Germany","1378","0.0956854080080707","0.0910053411433152","0.100365474872826","1"
"Yes","2017","no migration background","East Germany","437","0.0886258326296242","0.0808743728909093","0.096377292368339","1"
"Yes","2017","direct migration background","West Germany","407","0.111374083313854","0.101970011707845","0.120778154919863","1"
"Yes","2017","direct migration background","East Germany","24","","","","1"
"Yes","2017","indirect migration background","West Germany","126","0.0783331792797453","0.0652001497041925","0.0914662088552981","1"
"Yes","2017","indirect migration background","East Germany","6","","","","1"
"No","2018","no migration background","West Germany","","","","","2"
"No","2018","no migration background","East Germany","","","","","2"
"No","2018","direct migration background","West Germany","","","","","2"
"No","2018","direct migration background","East Germany","","","","","2"
"No","2018","indirect migration background","West Germany","","","","","2"
"No","2018","indirect migration background","East Germany","","","","","2"
"Yes","2018","no migration background","West Germany","","","","","1"
"Yes","2018","no migration background","East Germany","","","","","1"
"Yes","2018","direct migration background","West Germany","","","","","1"
"Yes","2018","direct migration background","East Germany","","","","","1"
"Yes","2018","indirect migration background","West Germany","","","","","1"
"Yes","2018","indirect migration background","East Germany","","","","","1"
"No","2019","no migration background","West Germany","13692","0.899553072480137","0.894755575111558","0.904350569848717","2"
"No","2019","no migration background","East Germany","4725","0.908885896038189","0.901033308012334","0.916738484064043","2"
"No","2019","direct migration background","West Germany","3210","0.889225458537937","0.878922919982838","0.899527997093036","2"
"No","2019","direct migration background","East Germany","273","0.934998481131209","0.906673553978175","0.963323408284244","2"
"No","2019","indirect migration background","West Germany","1449","0.932166837546248","0.919736306664195","0.944597368428301","2"
"No","2019","indirect migration background","East Germany","126","0.969893002874753","0.94085157909557","0.998934426653935","2"
"Yes","2019","no migration background","West Germany","1389","0.100446927519863","0.095649430151283","0.105244424888442","1"
"Yes","2019","no migration background","East Germany","434","0.0911141039618114","0.0832615159359574","0.0989666919876654","1"
"Yes","2019","direct migration background","West Germany","355","0.110774541462063","0.100472002906964","0.121077080017162","1"
"Yes","2019","direct migration background","East Germany","18","","","","1"
"Yes","2019","indirect migration background","East Germany","7","","","","1"
"Yes","2019","indirect migration background","West Germany","123","0.0678331624537517","0.0554026315716989","0.0802636933358046","1"
