"ple0011","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","1-pers.-HH","inadequately","40","0.853643384521077","0.752591694669558","0.954695074372595","2"
"No","2011","(Married) couple without C. ","vocational + Abi","345","0.944309327495785","0.921129908845807","0.967488746145762","2"
"No","2011","1-pers.-HH","vocational + Abi","183","0.9203697704797","0.883128865273307","0.957610675686093","2"
"No","2011","1-pers.-HH","general elemantary","397","0.807143601623727","0.772491797577697","0.841795405669758","2"
"No","2011","Single parent ","higher education","156","0.936396368983607","0.9003416120287","0.972451125938514","2"
"No","2011","Couple + C. LE 16 ","in school","","","","","2"
"No","2011","Couple + C. LE 16 ","inadequately","28","","","","2"
"No","2011","(Married) couple without C. ","middle vocational","3852","0.904583204060418","0.895792867406058","0.913373540714778","2"
"No","2011","Couple + C. LE 16 ","middle vocational","1424","0.943464749530317","0.931819779951794","0.955109719108841","2"
"No","2011","(Married) couple without C. ","higher vocational","574","0.907611667484634","0.885035607447689","0.930187727521578","2"
"No","2011","1-pers.-HH","in school","7","","","","2"
"No","2011","Single parent ","in school","48","0.963263070858397","0.911121156790735","1.01540498492606","2"
"No","2011","1-pers.-HH","middle vocational","1590","0.856786697217345","0.840724429691299","0.872848964743391","2"
"No","2011","(Married) couple without C. ","in school","","","","","2"
"No","2011","(Married) couple without C. ","inadequately","62","0.819847591043272","0.729817918533822","0.909877263552722","2"
"No","2011","(Married) couple without C. ","general elemantary","591","0.845972685075074","0.819364489330637","0.872580880819511","2"
"No","2011","(Married) couple without C. ","higher education","1872","0.917811825458497","0.905875954675251","0.929747696241743","2"
"No","2011","Single parent ","middle vocational","498","0.911193371597822","0.887376441678892","0.935010301516753","2"
"No","2011","Single parent ","vocational + Abi","59","0.931556435816387","0.870638242161452","0.992474629471322","2"
"No","2011","Single parent ","higher vocational","34","0.774636743264318","0.645154952590649","0.904118533937987","2"
"No","2011","Couple + C. LE 16 ","general elemantary","170","0.990469174588755","0.976074070627562","1.00486427854995","2"
"No","2011","Couple + C. LE 16 ","higher education","788","0.953759545686544","0.939376971092377","0.968142120280712","2"
"No","2011","Couple + C. GT 16 ","in school","146","0.988318110679906","0.970948329628532","1.00568789173128","2"
"No","2011","Couple + C. GT 16 ","inadequately","32","0.973366052994454","0.918431324225084","1.02830078176382","2"
"No","2011","Couple + C. GT 16 ","general elemantary","305","0.940541810142004","0.914949701899562","0.966133918384445","2"
"No","2011","Couple + C. GT 16 ","middle vocational","1506","0.937468961559942","0.925597997972121","0.949339925147764","2"
"No","2011","Couple + C. GT 16 ","vocational + Abi","176","0.957637150953206","0.928534519968362","0.98673978193805","2"
"No","2011","Couple + C. GT 16 ","higher vocational","195","0.937807924696396","0.905221903393305","0.970393945999487","2"
"No","2011","Couple + C. GT 16 ","higher education","543","0.928178672382209","0.907202361756513","0.949154983007904","2"
"No","2011","Couple + C. LE and GT 16","in school","103","1","1","1","2"
"No","2011","Couple + C. LE and GT 16","inadequately","10","","","","2"
"No","2011","Couple + C. LE and GT 16","general elemantary","173","0.941907340875832","0.907639535277394","0.97617514647427","2"
"No","2011","Couple + C. LE and GT 16","middle vocational","518","0.934805140577179","0.914376762686634","0.955233518467724","2"
"No","2011","Couple + C. LE and GT 16","vocational + Abi","64","0.954694674055032","0.905263546833009","1.00412580127706","2"
"No","2011","Couple + C. LE and GT 16","higher vocational","72","0.976810818728439","0.942749191038793","1.01087244641809","2"
"No","2011","Couple + C. LE and GT 16","higher education","185","0.921442436533742","0.884061544570037","0.958823328497446","2"
"No","2011","1-pers.-HH","higher vocational","188","0.886267724697479","0.843327652095809","0.92920779729915","2"
"No","2011","1-pers.-HH","higher education","659","0.88058376976717","0.857344937090875","0.903822602443465","2"
"No","2011","Single parent ","inadequately","28","","","","2"
"No","2011","Single parent ","general elemantary","190","0.890551389350483","0.848624474298583","0.932478304402382","2"
"No","2011","Couple + C. LE 16 ","vocational + Abi","280","0.95964326185194","0.937109836308035","0.982176687395845","2"
"No","2011","Couple + C. LE 16 ","higher vocational","254","0.967863905982422","0.946788514875608","0.988939297089235","2"
"Yes","2011","1-pers.-HH","in school","","","","","1"
"Yes","2011","1-pers.-HH","inadequately","7","","","","1"
"Yes","2011","1-pers.-HH","general elemantary","101","0.192856398376272","0.158204594330242","0.227508202422303","1"
"Yes","2011","1-pers.-HH","middle vocational","237","0.143213302782655","0.127151035256609","0.159275570308701","1"
"Yes","2011","1-pers.-HH","vocational + Abi","20","","","","1"
"Yes","2011","1-pers.-HH","higher vocational","22","","","","1"
"Yes","2011","1-pers.-HH","higher education","89","0.11941623023283","0.0961773975565354","0.142655062909125","1"
"Yes","2011","(Married) couple without C. ","in school","","","","","1"
"Yes","2011","(Married) couple without C. ","inadequately","8","","","","1"
"Yes","2011","(Married) couple without C. ","general elemantary","116","0.154027314924926","0.127419119180489","0.180635510669363","1"
"Yes","2011","(Married) couple without C. ","middle vocational","439","0.095416795939582","0.086626459285222","0.104207132593942","1"
"Yes","2011","(Married) couple without C. ","vocational + Abi","31","0.055690672504215","0.0325112538542376","0.0788700911541925","1"
"Yes","2011","(Married) couple without C. ","higher vocational","58","0.0923883325153665","0.0698122724784222","0.114964392552311","1"
"Yes","2011","(Married) couple without C. ","higher education","162","0.0821881745415033","0.0702523037582573","0.0941240453247493","1"
"Yes","2011","Single parent ","in school","2","","","","1"
"Yes","2011","Single parent ","inadequately","2","","","","1"
"Yes","2011","Single parent ","general elemantary","23","","","","1"
"Yes","2011","Single parent ","middle vocational","50","0.0888066284021777","0.0649896984832473","0.112623558321108","1"
"Yes","2011","Single parent ","vocational + Abi","7","","","","1"
"Yes","2011","Single parent ","higher vocational","6","","","","1"
"Yes","2011","Single parent ","higher education","20","","","","1"
"Yes","2011","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2011","Couple + C. LE 16 ","inadequately","2","","","","1"
"Yes","2011","Couple + C. LE 16 ","general elemantary","5","","","","1"
"Yes","2011","Couple + C. LE 16 ","middle vocational","87","0.0565352504696825","0.0448902808911589","0.0681802200482061","1"
"Yes","2011","Couple + C. LE 16 ","vocational + Abi","13","","","","1"
"Yes","2011","Couple + C. LE 16 ","higher vocational","15","","","","1"
"Yes","2011","Couple + C. LE 16 ","higher education","31","0.0462404543134557","0.031857879719288","0.0606230289076233","1"
"Yes","2011","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","2011","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2011","Couple + C. GT 16 ","general elemantary","23","","","","1"
"Yes","2011","Couple + C. GT 16 ","middle vocational","92","0.0625310384400575","0.0506600748522358","0.0744020020278792","1"
"Yes","2011","Couple + C. GT 16 ","vocational + Abi","8","","","","1"
