"ple0011","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2011","in school","Male","161","0.990971139358727","0.976405231381685","1.00553704733577","2"
"No","2011","in school","Female","148","0.981054343862028","0.959309265591929","1.00279942213213","2"
"No","2011","general elemantary","Male","626","0.933766216426235","0.914949419766105","0.952583013086366","2"
"No","2011","general elemantary","Female","1271","0.82686422274713","0.807824272394279","0.845904173099982","2"
"No","2011","vocational + Abi","Male","428","0.945680612388092","0.924855273946807","0.966505950829378","2"
"No","2011","vocational + Abi","Female","697","0.940932257765259","0.924104866908365","0.957759648622152","2"
"No","2011","inadequately","Female","124","0.853928037076867","0.796041956943367","0.911814117210366","2"
"No","2011","middle vocational","Female","5003","0.885457125445578","0.877133129561517","0.893781121329638","2"
"No","2011","higher vocational","Female","496","0.901046681946219","0.876137046096662","0.925956317795776","2"
"No","2011","higher education","Male","2326","0.931164370846978","0.921190119510909","0.941138622183047","2"
"No","2011","higher education","Female","1914","0.894390197078688","0.881322945419098","0.907457448738279","2"
"No","2011","inadequately","Male","85","0.920699113946617","0.864874629771911","0.976523598121324","2"
"No","2011","middle vocational","Male","4574","0.919680021768634","0.912089438639564","0.927270604897704","2"
"No","2011","higher vocational","Male","834","0.920270450632268","0.902593301915493","0.937947599349043","2"
"Yes","2011","in school","Male","1","","","","1"
"Yes","2011","in school","Female","3","","","","1"
"Yes","2011","inadequately","Male","5","","","","1"
"Yes","2011","inadequately","Female","19","","","","1"
"Yes","2011","general elemantary","Male","45","0.0662337835737645","0.0474169869136337","0.0850505802338953","1"
"Yes","2011","general elemantary","Female","246","0.173135777252869","0.154095826900018","0.192175727605721","1"
"Yes","2011","middle vocational","Male","351","0.0803199782313658","0.072729395102296","0.0879105613604355","1"
"Yes","2011","middle vocational","Female","620","0.114542874554422","0.106218878670362","0.122866870438483","1"
"Yes","2011","vocational + Abi","Male","27","","","","1"
"Yes","2011","vocational + Abi","Female","57","0.0590677422347414","0.0422403513778482","0.0758951330916346","1"
"Yes","2011","higher vocational","Male","68","0.0797295493677321","0.0620524006509572","0.0974066980845069","1"
"Yes","2011","higher vocational","Female","56","0.0989533180537808","0.0740436822042235","0.123862953903338","1"
"Yes","2011","higher education","Male","149","0.0688356291530219","0.0588613778169525","0.0788098804890913","1"
"Yes","2011","higher education","Female","211","0.105609802921312","0.0925425512617208","0.118677054580902","1"
"No","2012","higher vocational","Male","","","","","2"
"No","2012","higher vocational","Female","","","","","2"
"No","2012","higher education","Male","","","","","2"
"No","2012","in school","Male","","","","","2"
"No","2012","in school","Female","","","","","2"
"No","2012","general elemantary","Male","","","","","2"
"No","2012","general elemantary","Female","","","","","2"
"No","2012","vocational + Abi","Male","","","","","2"
"No","2012","vocational + Abi","Female","","","","","2"
"No","2012","higher education","Female","","","","","2"
"No","2012","inadequately","Male","","","","","2"
"No","2012","inadequately","Female","","","","","2"
"No","2012","middle vocational","Male","","","","","2"
"No","2012","middle vocational","Female","","","","","2"
"Yes","2012","in school","Male","","","","","1"
"Yes","2012","in school","Female","","","","","1"
"Yes","2012","inadequately","Male","","","","","1"
"Yes","2012","inadequately","Female","","","","","1"
"Yes","2012","general elemantary","Male","","","","","1"
"Yes","2012","general elemantary","Female","","","","","1"
"Yes","2012","middle vocational","Male","","","","","1"
"Yes","2012","middle vocational","Female","","","","","1"
"Yes","2012","vocational + Abi","Male","","","","","1"
"Yes","2012","vocational + Abi","Female","","","","","1"
"Yes","2012","higher vocational","Male","","","","","1"
"Yes","2012","higher vocational","Female","","","","","1"
"Yes","2012","higher education","Male","","","","","1"
"Yes","2012","higher education","Female","","","","","1"
"No","2013","in school","Male","119","0.968669306314288","0.937756320803077","0.999582291825499","2"
"No","2013","in school","Female","137","0.992953179680357","0.978996904234855","1.00690945512586","2"
"No","2013","general elemantary","Male","548","0.938848973321169","0.91943252003389","0.958265426608448","2"
"No","2013","general elemantary","Female","1081","0.833879928043318","0.813498418736973","0.854261437349663","2"
"No","2013","vocational + Abi","Male","389","0.884301762893113","0.853711228626073","0.914892297160154","2"
"No","2013","vocational + Abi","Female","619","0.909669540842069","0.888171609346434","0.931167472337704","2"
"No","2013","higher vocational","Male","774","0.918406344248298","0.89973809026595","0.937074598230645","2"
"No","2013","higher vocational","Female","448","0.868219294432626","0.838776112531589","0.897662476333662","2"
"No","2013","higher education","Male","2210","0.93797585798677","0.928242552965021","0.947709163008518","2"
"No","2013","higher education","Female","1922","0.899083851681347","0.886258684218175","0.911909019144518","2"
"No","2013","inadequately","Male","76","0.915061204411965","0.855793685226889","0.974328723597042","2"
"No","2013","inadequately","Female","95","0.838544732304335","0.769783923654888","0.907305540953782","2"
"No","2013","middle vocational","Male","3980","0.906115589052783","0.897433143189468","0.914798034916099","2"
"No","2013","middle vocational","Female","4562","0.88434480638969","0.8755881780888","0.893101434690579","2"
"Yes","2013","in school","Male","3","","","","1"
"Yes","2013","in school","Female","1","","","","1"
"Yes","2013","inadequately","Male","9","","","","1"
"Yes","2013","inadequately","Female","15","","","","1"
"Yes","2013","general elemantary","Male","37","0.0611510266788309","0.0417345733915519","0.0805674799661099","1"
"Yes","2013","general elemantary","Female","200","0.166120071956682","0.145738562650337","0.186501581263027","1"
"Yes","2013","middle vocational","Male","355","0.0938844109472169","0.0852019650839014","0.102566856810532","1"
"Yes","2013","middle vocational","Female","562","0.11565519361031","0.106898565309421","0.1244118219112","1"
"Yes","2013","vocational + Abi","Male","31","0.115698237106887","0.0851077028398462","0.146288771373927","1"
"Yes","2013","vocational + Abi","Female","64","0.0903304591579311","0.0688325276622957","0.111828390653566","1"
"Yes","2013","higher vocational","Male","52","0.0815936557517023","0.0629254017693548","0.10026190973405","1"
"Yes","2013","higher vocational","Female","59","0.131780705567374","0.102337523666338","0.16122388746841","1"
"Yes","2013","higher education","Male","149","0.0620241420132306","0.0522908369914818","0.0717574470349794","1"
"Yes","2013","higher education","Female","197","0.100916148318654","0.0880909808554823","0.113741315781825","1"
"No","2014","in school","Male","","","","","2"
"No","2014","general elemantary","Male","","","","","2"
"No","2014","in school","Female","","","","","2"
"No","2014","general elemantary","Female","","","","","2"
"No","2014","inadequately","Male","","","","","2"
"No","2014","inadequately","Female","","","","","2"
"No","2014","middle vocational","Male","","","","","2"
"No","2014","middle vocational","Female","","","","","2"
"No","2014","vocational + Abi","Male","","","","","2"
"No","2014","vocational + Abi","Female","","","","","2"
