"year","pgcasmin","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","(0) in school","Female","6.36","7","339","6.27","6.45","5","6","7","7"
"2005","(0) in school","Male","6.19","6","312","6.08","6.3","5","6","7","7"
"2005","(1a) inadequately completed","Female","6.29","7","139","6.08","6.5","5","6","7","7"
"2005","(1a) inadequately completed","Male","6.54","7","106","6.38","6.7","6","6","7","7"
"2005","(1b) general elementary school","Female","6.32","7","1288","6.26","6.38","5","6","7","7"
"2005","(1b) general elementary school","Male","6.42","7","576","6.34","6.5","5","6","7","7"
"2005","(1c) basic vocational qualification","Female","6.51","7","2637","6.48","6.54","5","6","7","7"
"2005","(1c) basic vocational qualification","Male","6.44","7","3089","6.41","6.47","5","6","7","7"
"2005","(2a) intermediate vocational","Female","6.57","7","2741","6.54","6.6","6","6","7","7"
"2005","(2a) intermediate vocational","Male","6.51","7","2064","6.48","6.54","6","6","7","7"
"2005","(2b) intermediate general qualification","Female","6.5","7","354","6.41","6.59","5","6","7","7"
"2005","(2b) intermediate general qualification","Male","6.28","7","226","6.16","6.4","4","6","7","7"
"2005","(2c_gen) general maturity certificate","Female","6.4","7","433","6.32","6.48","5","6","7","7"
"2005","(2c_gen) general maturity certificate","Male","6.27","6","364","6.18","6.36","5","6","7","7"
"2005","(2c_voc) vocational maturity certificate","Female","6.53","7","846","6.47","6.59","5","6","7","7"
"2005","(2c_voc) vocational maturity certificate","Male","6.42","7","670","6.36","6.48","5","6","7","7"
"2005","(3a) lower tertiary education","Female","6.53","7","765","6.47","6.59","6","6","7","7"
"2005","(3a) lower tertiary education","Male","6.39","7","882","6.34","6.44","5","6","7","7"
"2005","(3b) higher tertiary education","Female","6.51","7","1091","6.46","6.56","5","6","7","7"
"2005","(3b) higher tertiary education","Male","6.41","7","1429","6.37","6.45","5","6","7","7"
"2006","(0) in school","Female","","","","","","","","",""
"2006","(0) in school","Male","","","","","","","","",""
"2006","(1a) inadequately completed","Female","","","","","","","","",""
"2006","(1a) inadequately completed","Male","","","","","","","","",""
"2006","(1b) general elementary school","Female","","","","","","","","",""
"2006","(1b) general elementary school","Male","","","","","","","","",""
"2006","(1c) basic vocational qualification","Female","","","","","","","","",""
"2006","(1c) basic vocational qualification","Male","","","","","","","","",""
"2006","(2a) intermediate vocational","Female","","","","","","","","",""
"2006","(2a) intermediate vocational","Male","","","","","","","","",""
"2006","(2b) intermediate general qualification","Female","","","","","","","","",""
"2006","(2b) intermediate general qualification","Male","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Female","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Male","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Female","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Male","","","","","","","","",""
"2006","(3a) lower tertiary education","Female","","","","","","","","",""
"2006","(3a) lower tertiary education","Male","","","","","","","","",""
"2006","(3b) higher tertiary education","Female","","","","","","","","",""
"2006","(3b) higher tertiary education","Male","","","","","","","","",""
"2007","(0) in school","Female","","","","","","","","",""
"2007","(0) in school","Male","","","","","","","","",""
"2007","(1a) inadequately completed","Female","","","","","","","","",""
"2007","(1a) inadequately completed","Male","","","","","","","","",""
"2007","(1b) general elementary school","Female","","","","","","","","",""
"2007","(1b) general elementary school","Male","","","","","","","","",""
"2007","(1c) basic vocational qualification","Female","","","","","","","","",""
"2007","(1c) basic vocational qualification","Male","","","","","","","","",""
"2007","(2a) intermediate vocational","Female","","","","","","","","",""
"2007","(2a) intermediate vocational","Male","","","","","","","","",""
"2007","(2b) intermediate general qualification","Female","","","","","","","","",""
"2007","(2b) intermediate general qualification","Male","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Female","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Male","","","","","","","","",""
