"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","6.37","7","836","5","6","7","7","6.3","6.44","7","7"
"2005","16-34 y.","higher education","6.45","7","522","5","6","7","7","6.39","6.51","7","7"
"2005","16-34 y.","higher vocational","6.63","7","206","6","6","7","7","6.54","6.72","7","7"
"2005","16-34 y.","in school","6.28","7","647","5","6","7","7","6.21","6.35","6","7"
"2005","16-34 y.","inadequately","6.34","7","59","5","6","7","7","6.06","6.62","7","7"
"2005","16-34 y.","middle vocational","6.47","7","2338","5","6","7","7","6.44","6.5","7","7"
"2005","16-34 y.","vocational + Abi","6.47","7","438","5","6","7","7","6.4","6.54","7","7"
"2005","35-65 y.","general elemantary","6.38","7","825","5","6","7","7","6.31","6.45","7","7"
"2005","35-65 y.","higher education","6.44","7","2981","5","6","7","7","6.41","6.47","7","7"
"2005","35-65 y.","higher vocational","6.53","7","1098","6","6","7","7","6.48","6.58","7","7"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","6.25","7","127","5","6","7","7","6.04","6.46","7","7"
"2005","35-65 y.","middle vocational","6.51","7","5965","5","6","7","7","6.49","6.53","7","7"
"2005","35-65 y.","vocational + Abi","6.47","7","594","5","6","7","7","6.4","6.54","7","7"
"2005","66 and older","general elemantary","6.35","7","746","5","6","7","7","6.28","6.42","7","7"
"2005","66 and older","higher education","6.49","7","664","5","6","7","7","6.43","6.55","7","7"
"2005","66 and older","higher vocational","6.45","7","255","5","6","7","7","6.34","6.56","7","7"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","6.58","7","50","6","6","7","7","6.3","6.86","7","7"
"2005","66 and older","middle vocational","6.47","7","1969","5","6","7","7","6.43","6.51","7","7"
"2005","66 and older","vocational + Abi","6.3","7","102","4","6","7","7","6.08","6.52","6","7"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","","","",""
