"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","6.4","7","2370","5","6","7","7","6.36","6.44","7","7"
"2005","indirect migration background","6.41","7","829","5","6","7","7","6.35","6.47","7","7"
"2005","no migration background","6.47","7","17524","5","6","7","7","6.46","6.48","7","7"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","",""
"2010","direct migration background","6.38","7","1466","5","6","7","7","6.33","6.43","7","7"
"2010","indirect migration background","6.33","7","658","5","6","7","7","6.25","6.41","7","7"
"2010","no migration background","6.4","7","14567","5","6","7","7","6.39","6.41","7","7"
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","","","","","","","","","","",""
"2012","indirect migration background","","","","","","","","","","",""
"2012","no migration background","","","","","","","","","","",""
"2013","direct migration background","","","","","","","","","","",""
"2013","indirect migration background","","","","","","","","","","",""
"2013","no migration background","","","","","","","","","","",""
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","6.35","7","5798","5","6","7","7","6.32","6.38","7","7"
"2015","indirect migration background","6.43","7","1685","5","6","7","7","6.39","6.47","7","7"
"2015","no migration background","6.4","7","19280","5","6","7","7","6.39","6.41","7","7"
"2016","direct migration background","6.61","7","4368","6","7","7","7","6.59","6.63","7","7"
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","6.8","7","2878","6","7","7","7","6.78","6.82","7","7"
"2017","indirect migration background","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","",""
"2018","direct migration background","6.81","7","423","6","7","7","7","6.75","6.87","7","7"
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","6.77","7","279","6","7","7","7","6.68","6.86","7","7"
"2019","indirect migration background","","","","","","","","","","",""
"2019","no migration background","","","","","","","","","","",""
