"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","6.42","7","5322","5","6","7","7","7","6.4","6.44","1","7","7","7"
"2005","35-65 y.","6.48","7","11608","5","6","7","7","7","6.46","6.5","1","7","7","7"
"2005","66 and older","6.44","7","3793","5","6","7","7","7","6.41","6.47","1","7","7","7"
"2006","16-34 y.","","","","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","","","","",""
"2009","16-34 y.","","","","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","","","","",""
"2010","16-34 y.","6.36","7","3584","5","6","7","7","7","6.33","6.39","1","7","7","7"
"2010","35-65 y.","6.41","7","9067","5","6","7","7","7","6.39","6.43","1","7","7","7"
"2010","66 and older","6.4","7","4040","5","6","7","7","7","6.37","6.43","1","7","7","7"
"2011","16-34 y.","","","","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","","","","",""
"2012","16-34 y.","","","","","","","","","","","","","",""
"2012","35-65 y.","","","","","","","","","","","","","",""
"2012","66 and older","","","","","","","","","","","","","",""
"2013","16-34 y.","","","","","","","","","","","","","",""
"2013","35-65 y.","","","","","","","","","","","","","",""
"2013","66 and older","","","","","","","","","","","","","",""
"2014","16-34 y.","","","","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","","","","",""
"2015","16-34 y.","6.42","7","6653","5","6","7","7","7","6.4","6.44","1","7","7","7"
"2015","35-65 y.","6.39","7","15161","5","6","7","7","7","6.37","6.41","1","7","7","7"
"2015","66 and older","6.37","7","4949","5","6","7","7","7","6.34","6.4","1","7","7","7"
"2016","16-34 y.","6.52","7","2518","5","7","7","7","7","6.49","6.55","1","7","7","7"
"2016","35-65 y.","6.67","7","1853","6","7","7","7","7","6.64","6.7","1","7","7","7"
"2016","66 and older","","","","","","","","","","","","","",""
"2017","16-34 y.","6.8","7","1869","6","7","7","7","7","6.77","6.83","1","7","7","7"
"2017","35-65 y.","6.81","7","972","6","7","7","7","7","6.77","6.85","1","7","7","7"
"2017","66 and older","6.86","7","37","7","7","7","7","7","6.62","7.1","4","7","7","7"
"2018","16-34 y.","6.82","7","256","7","7","7","7","7","6.73","6.91","1","7","7","7"
"2018","35-65 y.","6.79","7","163","6","7","7","7","7","6.72","6.86","5","7","7","7"
"2018","66 and older","","","","","","","","","","","","","",""
"2019","16-34 y.","6.8","7","147","6","7","7","7","7","6.67","6.93","1","7","7","7"
"2019","35-65 y.","6.72","7","126","6","7","7","7","7","6.6","6.84","4","7","7","7"
"2019","66 and older","","","","","","","","","","","","","",""
