"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","Female","6.5","7","2473","6.47","6.53","5","6","7","7"
"2005","college entrance qualification","Male","6.39","7","2719","6.36","6.42","5","6","7","7"
"2005","lower secondary degree","Female","6.46","7","3634","6.43","6.49","5","6","7","7"
"2005","lower secondary degree","Male","6.45","7","3461","6.42","6.48","5","6","7","7"
"2005","no degree/no degree yet","Female","6.33","7","479","6.24","6.42","5","6","7","7"
"2005","no degree/no degree yet","Male","6.33","7","419","6.24","6.42","5","6","7","7"
"2005","Other degree","Female","6.43","7","590","6.35","6.51","5","6","7","7"
"2005","Other degree","Male","6.33","7","536","6.25","6.41","5","6","7","7"
"2005","secondary school degree","Female","6.56","7","3451","6.53","6.59","6","6","7","7"
"2005","secondary school degree","Male","6.49","7","2575","6.46","6.52","5","6","7","7"
"2006","college entrance qualification","Female","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","",""
"2009","college entrance qualification","Female","","","","","","","","",""
