"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","East Germany","75.35","75","3321","57","65","85","95","114","74.84","75.86","42","180","74","75"
"2002","Employed","West Germany","75.81","75","11405","58","65","85","95","120","75.53","76.09","34","175","75","75"
"2002","Not Employed","East Germany","73.99","73","2102","56","65","83","92","110","73.37","74.61","36","150","72","74"
"2002","Not Employed","West Germany","72.64","71","6131","55","62","80","90","114","72.28","73","35","180","70","71"
"2003","Employed","East Germany","","","","","","","","","","","","","",""
"2003","Employed","West Germany","","","","","","","","","","","","","",""
"2003","Not Employed","East Germany","","","","","","","","","","","","","",""
"2003","Not Employed","West Germany","","","","","","","","","","","","","",""
"2004","Employed","East Germany","75.48","75","3065","56","65","85","95","115","74.94","76.02","37","184","74","75"
"2004","Employed","West Germany","76.39","75","10310","58","65","85","95","120","76.09","76.69","38","210","75","75"
"2004","Not Employed","East Germany","74.81","74","2154","57","65","85","93","118","74.18","75.44","38","185","72","74"
"2004","Not Employed","West Germany","73.55","72","5966","56","64","82","91","120","73.17","73.93","32","200","71","72"
"2005","Employed","East Germany","","","","","","","","","","","","","",""
"2005","Employed","West Germany","","","","","","","","","","","","","",""
"2005","Not Employed","East Germany","","","","","","","","","","","","","",""
"2005","Not Employed","West Germany","","","","","","","","","","","","","",""
"2006","Employed","East Germany","76.55","75","3045","58","65","85","98","120","76","77.1","37","180","75","76"
"2006","Employed","West Germany","77.21","76","10320","58","65","87","98","125","76.9","77.52","38","200","75","76"
"2006","Not Employed","East Germany","75.69","74","2224","58","65","85","95","120","75.05","76.33","38","200","74","75"
"2006","Not Employed","West Germany","74.17","73","6283","57","64","82","93","119","73.8","74.54","33","200","72","73"
"2007","Employed","East Germany","","","","","","","","","","","","","",""
"2007","Employed","West Germany","","","","","","","","","","","","","",""
"2007","Not Employed","East Germany","","","","","","","","","","","","","",""
"2007","Not Employed","West Germany","","","","","","","","","","","","","",""
"2008","Employed","East Germany","76.82","76","2786","57","65","85","98","120","76.25","77.39","36","180","75","76"
"2008","Employed","West Germany","78.11","77","9027","58","66","88","100","128","77.77","78.45","38","190","76","77"
"2008","Not Employed","East Germany","76.31","75","1981","58","65","85","95","124","75.65","76.97","38","183","75","76"
"2008","Not Employed","West Germany","74.73","73","5431","57","64","83","94","122","74.32","75.14","35","230","73","74"
"2009","Employed","East Germany","","","","","","","","","","","","","",""
"2009","Employed","West Germany","","","","","","","","","","","","","",""
"2009","Not Employed","East Germany","","","","","","","","","","","","","",""
"2009","Not Employed","West Germany","","","","","","","","","","","","","",""
"2010","Employed","East Germany","78.02","76","2448","58","65","89","100","120","77.39","78.65","37","160","75","78"
"2010","Employed","West Germany","78.58","77","7816","58","65","89","100","132","78.2","78.96","40","197","76","77"
"2010","Not Employed","East Germany","76.86","75","1669","59","65","86","97","125","76.15","77.57","43","150","75","77"
"2010","Not Employed","West Germany","75.58","74","4644","58","65","84","95","125","75.12","76.04","35","250","73","75"
"2011","Employed","East Germany","","","","","","","","","","","","","",""
"2011","Employed","West Germany","","","","","","","","","","","","","",""
"2011","Not Employed","East Germany","","","","","","","","","","","","","",""
"2011","Not Employed","West Germany","","","","","","","","","","","","","",""
"2012","Employed","East Germany","78.86","78","2772","59","66","90","100","128","78.25","79.47","42","225","75","78"
"2012","Employed","West Germany","78.24","77","9571","58","65","89","100","130","77.9","78.58","39","210","76","77"
"2012","Not Employed","East Germany","77.72","76","2054","59","66","88","98","125","77.01","78.43","37","170","75","78"
"2012","Not Employed","West Germany","75.88","75","5926","57","65","85","96","130","75.47","76.29","30","190","75","75"
"2013","Employed","East Germany","","","","","","","","","","","","","",""
"2013","Employed","West Germany","","","","","","","","","","","","","",""
"2013","Not Employed","East Germany","","","","","","","","","","","","","",""
"2013","Not Employed","West Germany","","","","","","","","","","","","","",""
"2014","Employed","East Germany","78.55","77","3425","58","65","89","100","130","78","79.1","36","170","75","78"
"2014","Employed","West Germany","78.61","78","14151","58","65","89","100","130","78.33","78.89","39","225","76","77"
"2014","Not Employed","East Germany","78.1","76","2129","58","67","87","99","130","77.39","78.81","35","200","75","77"
"2014","Not Employed","West Germany","76.1","75","7137","56","64","85","98","129","75.71","76.49","30","180","74","75"
"2015","Employed","East Germany","","","","","","","","","","","","","",""
"2015","Employed","West Germany","","","","","","","","","","","","","",""
"2015","Not Employed","East Germany","","","","","","","","","","","","","",""
"2015","Not Employed","West Germany","","","","","","","","","","","","","",""
"2016","Employed","East Germany","78.89","78","3126","58","65","89","102","130","78.29","79.49","39","184","76","78"
"2016","Employed","West Germany","79.31","78","12777","58","67","90","100","130","79","79.62","38","215","76","77"
"2016","Not Employed","East Germany","77.63","75","1890","58","66","88","100","125","76.86","78.4","37","200","75","78"
"2016","Not Employed","West Germany","76.8","75","6121","57","65","86","100","140","76.36","77.24","30","230","74","75"
"2017","Employed","East Germany","","","","","","","","","","","","","",""
"2017","Employed","West Germany","","","","","","","","","","","","","",""
"2017","Not Employed","East Germany","","","","","","","","","","","","","",""
"2017","Not Employed","West Germany","","","","","","","","","","","","","",""
"2018","Employed","East Germany","79.92","78","3535","58","66","90","105","135","79.35","80.49","35","200","77","78"
"2018","Employed","West Germany","79.79","78","14149","59","67","90","104","132","79.49","80.09","38","182","77","78"
"2018","Not Employed","East Germany","78.44","76","2436","58","66","88","100","130","77.71","79.17","36","230","75","78"
"2018","Not Employed","West Germany","76.59","75","8896","57","65","85","98","130","76.24","76.94","30","195","74","75"
