"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","direct migration background","Rural Area","73.58","73","481","55","64","82","90","110","72.32","74.84","40","135","70","75"
"2002","direct migration background","Urban Area","73.27","73","2326","56","63","82","90","110","72.7","73.84","39","175","72","74"
"2002","indirect migration background","Rural Area","67.68","67","97","52","60","78","80","96","64.86","70.5","39","115","63","69"
"2002","indirect migration background","Urban Area","70.22","70","680","53","60","80","88","106","69.11","71.33","36","172","68","70"
"2002","no migration background","Rural Area","75.15","75","7018","57","65","84","95","115","74.8","75.5","34","180","74","75"
"2002","no migration background","Urban Area","74.85","74","12357","57","64","84","94","120","74.58","75.12","35","180","73","74"
"2003","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2003","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2003","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2003","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2003","no migration background","Rural Area","","","","","","","","","","","","","",""
"2003","no migration background","Urban Area","","","","","","","","","","","","","",""
"2004","direct migration background","Rural Area","73.85","73","441","55","63","84","92","110","72.47","75.23","38","140","72","75"
"2004","direct migration background","Urban Area","74.06","74","2084","56","64","82","92","111","73.44","74.68","32","163","73","75"
"2004","indirect migration background","Rural Area","72.46","71.63","114","56","64","80","90","101","69.78","75.14","38","110","66","73"
"2004","indirect migration background","Urban Area","70.99","70","680","54","60","80","90","105","69.97","72.01","39","120","68","71"
"2004","no migration background","Rural Area","75.83","75","6564","58","65","85","95","119","75.46","76.2","37","200","74","75"
"2004","no migration background","Urban Area","75.45","74","11612","57","65","85","95","120","75.17","75.73","32","210","73","75"
"2005","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2005","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2005","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2005","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2005","no migration background","Rural Area","","","","","","","","","","","","","",""
"2005","no migration background","Urban Area","","","","","","","","","","","","","",""
"2006","direct migration background","Rural Area","74.07","72","428","56","63","83","95","119","72.57","75.57","35","140","72","75"
"2006","direct migration background","Urban Area","74.71","75","1954","57","65","84","93","112","74.06","75.36","42","155","73","75"
"2006","indirect migration background","Rural Area","73.44","75","119","53","63","80","92","104","70.56","76.32","41","115","65","74"
"2006","indirect migration background","Urban Area","72.85","70","698","54","61","82","91","115","71.66","74.04","37","200","70","72"
"2006","no migration background","Rural Area","77.17","76","6812","59","65","85","98","120","76.8","77.54","37","200","75","76"
"2006","no migration background","Urban Area","76.02","75","11861","57","65","85","96","125","75.73","76.31","33","200","74","75"
"2007","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2007","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2007","no migration background","Rural Area","","","","","","","","","","","","","",""
"2007","no migration background","Urban Area","","","","","","","","","","","","","",""
"2008","direct migration background","Rural Area","73.89","73","348","55","64","84","93","120","72.2","75.58","35","140","72","76"
"2008","direct migration background","Urban Area","75.46","75","1555","57","65","84","95","123","74.71","76.21","40","180","74","75"
"2008","indirect migration background","Rural Area","73.78","75","113","54","62","84","95","105","70.81","76.75","45","117","69","78"
"2008","indirect migration background","Urban Area","73.58","72","654","54","63","84","95","110","72.41","74.75","38","158","70","74"
"2008","no migration background","Rural Area","77.82","76","6057","59","66","87","98","125","77.42","78.22","35","185","75","77"
"2008","no migration background","Urban Area","76.88","75","10498","58","65","85","98","126","76.57","77.19","36","230","75","75"
"2009","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2009","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2009","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2009","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2009","no migration background","Rural Area","","","","","","","","","","","","","",""
"2009","no migration background","Urban Area","","","","","","","","","","","","","",""
"2010","direct migration background","Rural Area","73.46","73","277","54","62","84","91","120","71.54","75.38","35","137","71","77"
"2010","direct migration background","Urban Area","76.11","75","1189","56","65","85","94","125","75.22","77","40","175","74","75"
"2010","indirect migration background","Rural Area","76.09","80","101","52","65","85","102","104","72.7","79.48","45","115","70","80"
"2010","indirect migration background","Urban Area","75.14","72","553","55","62","86","97","120","73.84","76.44","39","125","70","75"
"2010","no migration background","Rural Area","78.48","77","5231","59","67","89","100","125","78.04","78.92","37","179","77","78"
"2010","no migration background","Urban Area","77.49","75","9226","58","65","86","100","133","77.15","77.83","36","250","75","75"
"2011","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2011","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2011","no migration background","Rural Area","","","","","","","","","","","","","",""
"2011","no migration background","Urban Area","","","","","","","","","","","","","",""
"2012","direct migration background","Rural Area","76.63","75","465","55","65","88","97","130","75.1","78.16","35","156","75","79"
"2012","direct migration background","Urban Area","75.07","74","1466","56","65","85","95","115","74.3","75.84","39","150","73","75"
"2012","indirect migration background","Rural Area","74.55","70","146","53","63","86","100","120","71.71","77.39","40","135","69","79"
"2012","indirect migration background","Urban Area","75.45","74","644","54","61","87","98","130","74.17","76.73","30","142","71","75"
"2012","no migration background","Rural Area","79.07","78","6581","59","67","90","100","130","78.67","79.47","40","170","77","78"
"2012","no migration background","Urban Area","77.39","75","11021","58","65","87","100","130","77.08","77.7","30","225","75","75"
"2013","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2013","direct migration background","Urban Area","","","","","","","","","","","","","",""
