"plh0219","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","199","0.0176838378029488","0.0154880318799975","0.0198796437259","1"
"1 Strongly disagree","2005","Rural Area","89","0.0165539813372292","0.0135317728493876","0.0195761898250709","1"
"2 on scale 1-7 ","2005","Rural Area","247","0.0376630202636682","0.0331536168795211","0.0421724236478153","2"
"2 on scale 1-7 ","2005","Urban Area","556","0.0427355618270675","0.0393658658643742","0.0461052577897607","2"
"3 on scale 1-7 ","2005","Urban Area","1189","0.0840460361745706","0.0794235514243052","0.088668520924836","3"
"3 on scale 1-7 ","2005","Rural Area","567","0.0892146148759055","0.0824627466740002","0.0959664830778109","3"
"4 on scale 1-7","2005","Rural Area","1338","0.200531501009734","0.191047536776513","0.210015465242955","4"
"4 on scale 1-7","2005","Urban Area","2666","0.193576006558325","0.186993557156256","0.200158455960394","4"
"5 on scale 1-7","2005","Urban Area","3136","0.227059712374064","0.220080232490381","0.234039192257747","5"
"5 on scale 1-7","2005","Rural Area","1659","0.223536165219847","0.213668090222274","0.233404240217419","5"
"6 on scale 1-7","2005","Rural Area","1738","0.248886247319027","0.23864503821127","0.259127456426785","6"
"6 on scale 1-7","2005","Urban Area","3464","0.24045964727561","0.233339703325455","0.247579591225765","6"
"7 Strongly agree","2005","Rural Area","1209","0.183614469974589","0.174443843008264","0.192785096940914","7"
"7 Strongly agree","2005","Urban Area","2630","0.194439197987414","0.187845620425152","0.201032775549676","7"
"1 Strongly disagree","2006","Urban Area","","","","","1"
"1 Strongly disagree","2006","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","","","","","2"
"3 on scale 1-7 ","2006","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","","","","","3"
"4 on scale 1-7","2006","Urban Area","","","","","4"
"4 on scale 1-7","2006","Rural Area","","","","","4"
"5 on scale 1-7","2006","Rural Area","","","","","5"
"5 on scale 1-7","2006","Urban Area","","","","","5"
"6 on scale 1-7","2006","Rural Area","","","","","6"
"6 on scale 1-7","2006","Urban Area","","","","","6"
"7 Strongly agree","2006","Rural Area","","","","","7"
"7 Strongly agree","2006","Urban Area","","","","","7"
"1 Strongly disagree","2007","Urban Area","","","","","1"
"1 Strongly disagree","2007","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","","","","","3"
"4 on scale 1-7","2007","Rural Area","","","","","4"
"4 on scale 1-7","2007","Urban Area","","","","","4"
"5 on scale 1-7","2007","Rural Area","","","","","5"
"5 on scale 1-7","2007","Urban Area","","","","","5"
"6 on scale 1-7","2007","Rural Area","","","","","6"
"6 on scale 1-7","2007","Urban Area","","","","","6"
"7 Strongly agree","2007","Urban Area","","","","","7"
"7 Strongly agree","2007","Rural Area","","","","","7"
"1 Strongly disagree","2008","Urban Area","","","","","1"
"1 Strongly disagree","2008","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","","","","","2"
"3 on scale 1-7 ","2008","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","","","","","3"
"4 on scale 1-7","2008","Urban Area","","","","","4"
"4 on scale 1-7","2008","Rural Area","","","","","4"
"5 on scale 1-7","2008","Rural Area","","","","","5"
"5 on scale 1-7","2008","Urban Area","","","","","5"
"6 on scale 1-7","2008","Rural Area","","","","","6"
"6 on scale 1-7","2008","Urban Area","","","","","6"
"7 Strongly agree","2008","Urban Area","","","","","7"
"7 Strongly agree","2008","Rural Area","","","","","7"
