"plh0219","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","151","0.021666608156082","0.0184454837620898","0.0248877325500743","1"
"1 Strongly disagree","2005","Employed","137","0.0144169889257747","0.0123550947190429","0.0164788831325064","1"
"2 on scale 1-7 ","2005","Employed","460","0.0379447524958106","0.0346398522136587","0.0412496527779624","2"
"2 on scale 1-7 ","2005","Not Employed","343","0.0459275487934474","0.0412963235332046","0.0505587740536902","2"
"3 on scale 1-7 ","2005","Not Employed","708","0.0926971754924848","0.0862809742664486","0.0991133767185211","3"
"3 on scale 1-7 ","2005","Employed","1048","0.0809243409818214","0.0762069952196272","0.0856416867440156","3"
"4 on scale 1-7","2005","Employed","2347","0.187661203152747","0.180907556458808","0.194414849846686","4"
"4 on scale 1-7","2005","Not Employed","1657","0.207767175298909","0.198791162197059","0.216743188400759","4"
"5 on scale 1-7","2005","Not Employed","1808","0.224988421639793","0.215749893760871","0.234226949518716","5"
"5 on scale 1-7","2005","Employed","2987","0.226615214622207","0.219373776302921","0.233856652941493","5"
"6 on scale 1-7","2005","Employed","3436","0.258198531711698","0.250628403761095","0.265768659662301","6"
"6 on scale 1-7","2005","Not Employed","1766","0.22061033960151","0.21143633728564","0.22978434191738","6"
"7 Strongly agree","2005","Employed","2424","0.194238968109942","0.187395853671404","0.201082082548479","7"
"7 Strongly agree","2005","Not Employed","1415","0.186342731017773","0.177727923542135","0.194957538493412","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
