"plh0219","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","West Germany","164","0.0164262071950733","0.0142059292316909","0.0186464851584557","1"
"1 Strongly disagree","2005","no migration background","East Germany","66","0.0204048761989327","0.0164487092674298","0.0243610431304356","1"
"1 Strongly disagree","2005","direct migration background","West Germany","49","0.0196701280847528","0.013946287601558","0.0253939685679476","1"
"1 Strongly disagree","2005","direct migration background","East Germany","2","","","","1"
"1 Strongly disagree","2005","indirect migration background","West Germany","6","","","","1"
"1 Strongly disagree","2005","indirect migration background","East Germany","1","","","","1"
"2 on scale 1-7 ","2005","direct migration background","West Germany","128","0.0555433077887263","0.0461025967725621","0.0649840188048905","2"
"2 on scale 1-7 ","2005","no migration background","West Germany","467","0.0391002717277338","0.0357144495215165","0.042486093933951","2"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","","","2"
"2 on scale 1-7 ","2005","no migration background","East Germany","182","0.0414910412532735","0.0359107152108645","0.0470713672956825","2"
"2 on scale 1-7 ","2005","direct migration background","East Germany","3","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","West Germany","23","","","","2"
"3 on scale 1-7 ","2005","indirect migration background","West Germany","49","0.0648730802572252","0.0477519644047409","0.0819941961097096","3"
"3 on scale 1-7 ","2005","no migration background","West Germany","1060","0.084477959884799","0.0796201408023814","0.0893357789672167","3"
"3 on scale 1-7 ","2005","direct migration background","East Germany","11","","","","3"
"3 on scale 1-7 ","2005","direct migration background","West Germany","235","0.100410090460289","0.0880218742420118","0.112798306678566","3"
"3 on scale 1-7 ","2005","no migration background","East Germany","398","0.0839923897360509","0.076230743775645","0.0917540356964568","3"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","3","","","","3"
"4 on scale 1-7","2005","indirect migration background","East Germany","7","","","","4"
"4 on scale 1-7","2005","no migration background","East Germany","941","0.194704430556175","0.183624172094485","0.205784689017864","4"
"4 on scale 1-7","2005","direct migration background","West Germany","506","0.219674098838165","0.202608354000972","0.236739843675359","4"
"4 on scale 1-7","2005","indirect migration background","West Germany","158","0.189709906216781","0.162455934800696","0.216963877632866","4"
"4 on scale 1-7","2005","no migration background","West Germany","2374","0.191512377822656","0.184638998091534","0.198385757553778","4"
"4 on scale 1-7","2005","direct migration background","East Germany","18","","","","4"
"5 on scale 1-7","2005","indirect migration background","East Germany","8","","","","5"
"5 on scale 1-7","2005","direct migration background","East Germany","26","","","","5"
"5 on scale 1-7","2005","indirect migration background","West Germany","172","0.222840702219886","0.193912808750183","0.251768595689589","5"
"5 on scale 1-7","2005","no migration background","West Germany","2910","0.224778325683943","0.217486682719921","0.232069968647965","5"
"5 on scale 1-7","2005","no migration background","East Germany","1192","0.230629517548412","0.218842348165242","0.242416686931581","5"
"5 on scale 1-7","2005","direct migration background","West Germany","487","0.22634422356067","0.209095522165604","0.243592924955736","5"
"6 on scale 1-7","2005","indirect migration background","East Germany","6","","","","6"
"6 on scale 1-7","2005","direct migration background","West Germany","470","0.198553895513799","0.182111155988499","0.214996635039099","6"
"6 on scale 1-7","2005","indirect migration background","West Germany","209","0.250262386051723","0.220151955400831","0.280372816702614","6"
"6 on scale 1-7","2005","no migration background","West Germany","3255","0.252492587321255","0.244903888899165","0.260081285743346","6"
"6 on scale 1-7","2005","direct migration background","East Germany","21","","","","6"
"6 on scale 1-7","2005","no migration background","East Germany","1241","0.24135291976864","0.229379161312518","0.253326678224761","6"
"7 Strongly agree","2005","indirect migration background","East Germany","10","","","","7"
"7 Strongly agree","2005","indirect migration background","West Germany","178","0.234262534646688","0.204821308457594","0.263703760835782","7"
"7 Strongly agree","2005","direct migration background","West Germany","386","0.179804255753598","0.163975143862817","0.195633367644379","7"
"7 Strongly agree","2005","direct migration background","East Germany","19","","","","7"
"7 Strongly agree","2005","no migration background","West Germany","2360","0.19121227036454","0.184343003605873","0.198081537123207","7"
"7 Strongly agree","2005","no migration background","East Germany","886","0.187424824938517","0.17650464860827","0.198345001268763","7"
"1 Strongly disagree","2006","no migration background","East Germany","","","","","1"
"1 Strongly disagree","2006","direct migration background","West Germany","","","","","1"
