"plh0219","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Urban Area","27","","","","1"
"1 Strongly disagree","2005","16-34 y.","Rural Area","23","","","","1"
"1 Strongly disagree","2005","35-65 y.","Urban Area","113","0.0189168835940592","0.0158903027954872","0.0219434643926313","1"
"1 Strongly disagree","2005","35-65 y.","Rural Area","42","0.0110345734185096","0.00772055177834124","0.014348595058678","1"
"1 Strongly disagree","2005","66 and older","Urban Area","59","0.0246666137848133","0.0185926032867521","0.0307406242828745","1"
"1 Strongly disagree","2005","66 and older","Rural Area","24","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","314","0.0429680280756892","0.0384628650548224","0.0474731910965559","2"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","106","0.0309311755418353","0.0252375731342921","0.0366247779493785","2"
"2 on scale 1-7 ","2005","66 and older","Rural Area","52","0.0457749745557996","0.0342487819468531","0.0573011671647461","2"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","55","0.031527008726348","0.0233796853071324","0.0396743321455636","2"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","140","0.0373441868775254","0.0313292090090366","0.0433591647460142","2"
"2 on scale 1-7 ","2005","66 and older","Urban Area","136","0.0557983383071492","0.0468098379716178","0.0647868386426807","2"
"3 on scale 1-7 ","2005","66 and older","Urban Area","248","0.0948432516865119","0.0833693971317846","0.106317106241239","3"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","257","0.068366514991383","0.0600669395225215","0.0766660904602444","3"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","330","0.0968963887888103","0.0875119221157494","0.106280855461871","3"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","684","0.0870669545693443","0.0808034021475321","0.0933305069911565","3"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","121","0.0695178221427953","0.0576592629727585","0.0813763813128321","3"
"3 on scale 1-7 ","2005","66 and older","Rural Area","116","0.0940301118031556","0.0779334146356783","0.110126808970633","3"
"4 on scale 1-7","2005","66 and older","Rural Area","290","0.230519127222534","0.207291822716223","0.253746431728846","4"
"4 on scale 1-7","2005","16-34 y.","Rural Area","315","0.183332139365549","0.165290672221422","0.201373606509677","4"
"4 on scale 1-7","2005","35-65 y.","Urban Area","1539","0.198609969689271","0.18974663669485","0.207473302683692","4"
"4 on scale 1-7","2005","66 and older","Urban Area","530","0.204790564963873","0.188987549681149","0.220593580246596","4"
"4 on scale 1-7","2005","16-34 y.","Urban Area","597","0.173320292225863","0.160872138084363","0.185768446367363","4"
"4 on scale 1-7","2005","35-65 y.","Rural Area","733","0.196664302772874","0.184054789813634","0.209273815732115","4"
"5 on scale 1-7","2005","66 and older","Rural Area","282","0.210591668034164","0.188105375258013","0.233077960810315","5"
"5 on scale 1-7","2005","35-65 y.","Rural Area","929","0.229457225357096","0.216117826571643","0.242796624142549","5"
"5 on scale 1-7","2005","66 and older","Urban Area","539","0.20806759317893","0.192171496141291","0.22396369021657","5"
"5 on scale 1-7","2005","16-34 y.","Urban Area","827","0.244120544083548","0.229993866021812","0.258247222145284","5"
"5 on scale 1-7","2005","16-34 y.","Rural Area","448","0.222288346620101","0.202901933316299","0.241674759923903","5"
"5 on scale 1-7","2005","35-65 y.","Urban Area","1770","0.226770302432967","0.217467325839206","0.236073279026728","5"
"6 on scale 1-7","2005","66 and older","Rural Area","282","0.224555092958914","0.201541557390863","0.247568628526965","6"
"6 on scale 1-7","2005","35-65 y.","Urban Area","1958","0.23909667015186","0.229620647678218","0.248572692625502","6"
"6 on scale 1-7","2005","66 and older","Urban Area","517","0.213882746292617","0.197825326329029","0.229940166256204","6"
