"plh0219","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","in school","6","","",""
"1 Strongly disagree","2005","Not Employed","inadequately","9","","",""
"1 Strongly disagree","2005","Not Employed","general elemantary","35","0.0302599415880997","0.0211085472072055","0.0394113359689938"
"1 Strongly disagree","2005","Not Employed","middle vocational","78","0.0235649231771577","0.0188200168435628","0.0283098295107527"
"1 Strongly disagree","2005","Not Employed","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Not Employed","higher vocational","8","","",""
"1 Strongly disagree","2005","Not Employed","higher education","12","","",""
"1 Strongly disagree","2005","Employed","in school","","","",""
"1 Strongly disagree","2005","Employed","inadequately","8","","",""
"1 Strongly disagree","2005","Employed","general elemantary","16","","",""
"1 Strongly disagree","2005","Employed","middle vocational","66","0.0152089155658678","0.012190714216977","0.0182271169147585"
"1 Strongly disagree","2005","Employed","vocational + Abi","7","","",""
"1 Strongly disagree","2005","Employed","higher vocational","14","","",""
"1 Strongly disagree","2005","Employed","higher education","25","","",""
"2 on scale 1-7 ","2005","Not Employed","in school","6","","",""
"2 on scale 1-7 ","2005","Not Employed","inadequately","18","","",""
"2 on scale 1-7 ","2005","Not Employed","general elemantary","71","0.0530955643086473","0.0411169175793031","0.0650742110379915"
"2 on scale 1-7 ","2005","Not Employed","middle vocational","163","0.0416391219907807","0.0353904422963858","0.0478878016851755"
"2 on scale 1-7 ","2005","Not Employed","vocational + Abi","6","","",""
"2 on scale 1-7 ","2005","Not Employed","higher vocational","25","","",""
"2 on scale 1-7 ","2005","Not Employed","higher education","45","0.0593269437171738","0.0446705149823357","0.073983372452012"
"2 on scale 1-7 ","2005","Employed","in school","5","","",""
"2 on scale 1-7 ","2005","Employed","inadequately","3","","",""
"2 on scale 1-7 ","2005","Employed","general elemantary","39","0.0459479875140479","0.0333019874811628","0.058593987546933"
"2 on scale 1-7 ","2005","Employed","middle vocational","197","0.0306590273154509","0.0264075046215747","0.0349105500093272"
"2 on scale 1-7 ","2005","Employed","vocational + Abi","31","0.0278955920288437","0.0168186854344521","0.0389724986232353"
"2 on scale 1-7 ","2005","Employed","higher vocational","43","0.0429821169538327","0.0310020744497807","0.0549621594578846"
"2 on scale 1-7 ","2005","Employed","higher education","138","0.0555653116367522","0.0475895013798728","0.0635411218936315"
"3 on scale 1-7 ","2005","Not Employed","in school","40","0.0793003619422552","0.056738815589772","0.101861908294738"
"3 on scale 1-7 ","2005","Not Employed","inadequately","16","","",""
"3 on scale 1-7 ","2005","Not Employed","general elemantary","148","0.10228170916979","0.0860936573341678","0.118469761005412"
"3 on scale 1-7 ","2005","Not Employed","middle vocational","346","0.0893856423152443","0.08046134413025","0.0983099405002386"
"3 on scale 1-7 ","2005","Not Employed","vocational + Abi","24","","",""
"3 on scale 1-7 ","2005","Not Employed","higher vocational","34","0.0800789032119941","0.0550850429426706","0.105072763481318"
"3 on scale 1-7 ","2005","Not Employed","higher education","84","0.0910351610640536","0.0731883368988099","0.108881985229297"
"3 on scale 1-7 ","2005","Employed","in school","7","","",""
"3 on scale 1-7 ","2005","Employed","inadequately","9","","",""
"3 on scale 1-7 ","2005","Employed","general elemantary","87","0.0812514068947702","0.0647489847015472","0.0977538290879932"
"3 on scale 1-7 ","2005","Employed","middle vocational","451","0.0718879685639249","0.0655177352736928","0.0782582018541571"
"3 on scale 1-7 ","2005","Employed","vocational + Abi","76","0.100715391543562","0.0804716516370876","0.120959131450037"
"3 on scale 1-7 ","2005","Employed","higher vocational","85","0.0694598547050003","0.0544426561186305","0.08447705329137"
"3 on scale 1-7 ","2005","Employed","higher education","315","0.0986420858270919","0.0882604274649121","0.109023744189272"
"4 on scale 1-7","2005","Not Employed","in school","100","0.155904433947705","0.12561456917431","0.1861942987211"
"4 on scale 1-7","2005","Not Employed","inadequately","47","0.295448268187602","0.222677529223096","0.368219007152109"
"4 on scale 1-7","2005","Not Employed","general elemantary","308","0.233006270746526","0.210422041568538","0.255590499924514"
"4 on scale 1-7","2005","Not Employed","middle vocational","821","0.204716463060534","0.192094981873605","0.217337944247463"
"4 on scale 1-7","2005","Not Employed","vocational + Abi","51","0.195464768643401","0.149425073480622","0.24150446380618"
