"plh0219","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Full Time","","","","","1"
"1 Strongly disagree","2005","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2005","Not Employed","Not Working","151","0.021666608156082","0.0184454837620898","0.0248877325500743","1"
"1 Strongly disagree","2005","Employed","Full Time","91","0.0147192626016318","0.0120841285213357","0.0173543966819278","1"
"1 Strongly disagree","2005","Employed","Part Time","46","0.0139178391999613","0.0106092160036308","0.0172264623962918","1"
"1 Strongly disagree","2005","Employed","Not Working","","","","","1"
"2 on scale 1-7 ","2005","Not Employed","Not Working","343","0.0459275487934474","0.0412963235332046","0.0505587740536902","2"
"2 on scale 1-7 ","2005","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2005","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2005","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2005","Employed","Full Time","321","0.0440219306522767","0.0395330485166925","0.0485108127878608","2"
"2 on scale 1-7 ","2005","Employed","Part Time","139","0.0279094035627035","0.0232574700323234","0.0325613370930836","2"
"3 on scale 1-7 ","2005","Employed","Part Time","339","0.0685341829800415","0.0613983950830625","0.0756699708770205","3"
"3 on scale 1-7 ","2005","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2005","Employed","Full Time","709","0.0884275377381565","0.0822149997179593","0.0946400757583537","3"
"3 on scale 1-7 ","2005","Not Employed","Not Working","708","0.0926971754924848","0.0862809742664486","0.0991133767185211","3"
"3 on scale 1-7 ","2005","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2005","Employed","Not Working","","","","","3"
"4 on scale 1-7","2005","Employed","Not Working","","","","","4"
"4 on scale 1-7","2005","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2005","Not Employed","Not Working","1657","0.207767175298909","0.198791162197059","0.216743188400759","4"
"4 on scale 1-7","2005","Employed","Part Time","820","0.171803272599539","0.161149894936887","0.182456650262191","4"
"4 on scale 1-7","2005","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2005","Employed","Full Time","1527","0.19726440377956","0.188556967243094","0.205971840316027","4"
"5 on scale 1-7","2005","Employed","Not Working","","","","","5"
"5 on scale 1-7","2005","Employed","Full Time","1883","0.226022746227657","0.216870664970582","0.235174827484731","5"
"5 on scale 1-7","2005","Employed","Part Time","1104","0.22759356788388","0.215752038832816","0.239435096934944","5"
"5 on scale 1-7","2005","Not Employed","Full Time","","","","","5"
"5 on scale 1-7","2005","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2005","Not Employed","Not Working","1808","0.224988421639793","0.215749893760871","0.234226949518716","5"
"6 on scale 1-7","2005","Employed","Not Working","","","","","6"
"6 on scale 1-7","2005","Not Employed","Not Working","1766","0.22061033960151","0.21143633728564","0.22978434191738","6"
"6 on scale 1-7","2005","Employed","Part Time","1327","0.264277095532294","0.251823586134767","0.276730604929822","6"
"6 on scale 1-7","2005","Not Employed","Full Time","","","","","6"
"6 on scale 1-7","2005","Employed","Full Time","2109","0.25451749226609","0.244986080290875","0.264048904241305","6"
"6 on scale 1-7","2005","Not Employed","Part Time","","","","","6"
"7 Strongly agree","2005","Employed","Not Working","","","","","7"
"7 Strongly agree","2005","Employed","Part Time","1041","0.22596463824158","0.214153126305873","0.237776150177288","7"
"7 Strongly agree","2005","Not Employed","Not Working","1415","0.186342731017773","0.177727923542135","0.194957538493412","7"
"7 Strongly agree","2005","Employed","Full Time","1383","0.175026626734628","0.166711828367869","0.183341425101388","7"
"7 Strongly agree","2005","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2005","Not Employed","Part Time","","","","","7"
"1 Strongly disagree","2006","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2006","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2006","Employed","Full Time","","","","","1"
"1 Strongly disagree","2006","Employed","Part Time","","","","","1"
"1 Strongly disagree","2006","Employed","Not Working","","","","","1"
"1 Strongly disagree","2006","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2006","Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2006","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2006","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2006","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2006","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2006","Employed","Not Working","","","","","4"
"4 on scale 1-7","2006","Employed","Part Time","","","","","4"
"4 on scale 1-7","2006","Employed","Full Time","","","","","4"
"4 on scale 1-7","2006","Not Employed","Not Working","","","","","4"
"5 on scale 1-7","2006","Employed","Not Working","","","","","5"
"5 on scale 1-7","2006","Employed","Part Time","","","","","5"
"5 on scale 1-7","2006","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2006","Employed","Full Time","","","","","5"
