"plh0219","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Urban Area","61","0.0152684830864152","0.011993781112064","0.0185431850607665"
"1 Strongly disagree","2005","Full Time","Rural Area","30","0.0134933087621404","0.00908976544389411","0.0178968520803868"
"1 Strongly disagree","2005","Part Time","Urban Area","29","","",""
"1 Strongly disagree","2005","Part Time","Rural Area","17","","",""
"1 Strongly disagree","2005","Not Working","Urban Area","109","0.0239267321835129","0.0197710893056473","0.0280823750613784"
"1 Strongly disagree","2005","Not Working","Rural Area","42","0.0166949601457534","0.011819492352292","0.0215704279392148"
"2 on scale 1-7 ","2005","Full Time","Urban Area","217","0.0447904775128638","0.0392664340824107","0.0503145209433169"
"2 on scale 1-7 ","2005","Full Time","Rural Area","104","0.0423064029167492","0.0346237826314838","0.0499890232020146"
"2 on scale 1-7 ","2005","Part Time","Urban Area","97","0.0284727661182956","0.022762606731781","0.0341829255048103"
"2 on scale 1-7 ","2005","Part Time","Rural Area","42","0.0266805400965094","0.0186761398556489","0.0346849403373699"
"2 on scale 1-7 ","2005","Not Working","Urban Area","242","0.0488034227068285","0.0429445293223162","0.0546623160913408"
"2 on scale 1-7 ","2005","Not Working","Rural Area","101","0.0396014212686362","0.0321804524505846","0.0470223900866879"
"3 on scale 1-7 ","2005","Full Time","Urban Area","477","0.0845215578063128","0.0770926883994779","0.0919504272131478"
"3 on scale 1-7 ","2005","Full Time","Rural Area","232","0.0971463514515743","0.0858427990491644","0.108449903853984"
"3 on scale 1-7 ","2005","Part Time","Urban Area","237","0.0714864028740323","0.0626411191727013","0.0803316865753632"
"3 on scale 1-7 ","2005","Part Time","Rural Area","102","0.0620945019329345","0.0501075186529074","0.0740814852129615"
"3 on scale 1-7 ","2005","Not Working","Urban Area","475","0.090630734656463","0.0828241117559125","0.0984373575570135"
"3 on scale 1-7 ","2005","Not Working","Rural Area","233","0.0972427740287511","0.0859683692655074","0.108517178791995"
"4 on scale 1-7","2005","Full Time","Urban Area","1026","0.192145172192463","0.181623220167381","0.202667124217546"
"4 on scale 1-7","2005","Full Time","Rural Area","501","0.208691402213389","0.19318117189389","0.224201632532887"
"4 on scale 1-7","2005","Part Time","Urban Area","547","0.171499878106655","0.158558393295293","0.184441362918017"
"4 on scale 1-7","2005","Part Time","Rural Area","273","0.1724650673966","0.15370011254725","0.191230022245951"
"4 on scale 1-7","2005","Not Working","Urban Area","1093","0.207259298345391","0.196236854239613","0.218281742451169"
"4 on scale 1-7","2005","Not Working","Rural Area","564","0.208884364185361","0.193415714067355","0.224353014303367"
"5 on scale 1-7","2005","Full Time","Urban Area","1239","0.231170165613606","0.219911266634478","0.242429064592735"
"5 on scale 1-7","2005","Full Time","Rural Area","644","0.214532827816902","0.198865175545677","0.230200480088126"
"5 on scale 1-7","2005","Part Time","Urban Area","725","0.22113487393235","0.206886488353946","0.235383259510754"
"5 on scale 1-7","2005","Part Time","Rural Area","379","0.241681925297023","0.220417601608644","0.262946248985403"
"5 on scale 1-7","2005","Not Working","Urban Area","1172","0.226549554203975","0.215166647715702","0.237932460692249"
"5 on scale 1-7","2005","Not Working","Rural Area","636","0.221554361600444","0.205751571817798","0.237357151383089"
"6 on scale 1-7","2005","Full Time","Urban Area","1428","0.257309343263079","0.245634617849948","0.26898406867621"
"6 on scale 1-7","2005","Full Time","Rural Area","681","0.248285604447127","0.231796569832299","0.264774639061955"
"6 on scale 1-7","2005","Part Time","Urban Area","897","0.265025388657024","0.249872835388094","0.280177941925955"
"6 on scale 1-7","2005","Part Time","Rural Area","430","0.262644842778083","0.240786029283148","0.284503656273018"
"6 on scale 1-7","2005","Not Working","Urban Area","1139","0.211034737159235","0.199938870475817","0.222130603842654"
"6 on scale 1-7","2005","Not Working","Rural Area","627","0.241674017635122","0.225383967714977","0.257964067555267"
"7 Strongly agree","2005","Full Time","Urban Area","938","0.17479480052526","0.164651947105449","0.18493765394507"
"7 Strongly agree","2005","Full Time","Rural Area","445","0.175544102392119","0.16102399386738","0.190064210916858"
"7 Strongly agree","2005","Part Time","Urban Area","727","0.231837387265418","0.217348860394689","0.246325914136147"
"7 Strongly agree","2005","Part Time","Rural Area","314","0.213154403251903","0.192812307304439","0.233496499199367"
"7 Strongly agree","2005","Not Working","Urban Area","965","0.191795520744594","0.181089325189759","0.202501716299429"
"7 Strongly agree","2005","Not Working","Rural Area","450","0.174348101135932","0.159910781591415","0.18878542068045"
"1 Strongly disagree","2006","Full Time","Urban Area","","","",""
"1 Strongly disagree","2006","Full Time","Rural Area","","","",""
"1 Strongly disagree","2006","Part Time","Urban Area","","","",""
"1 Strongly disagree","2006","Part Time","Rural Area","","","",""
"1 Strongly disagree","2006","Not Working","Urban Area","","","",""
