"plh0219","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","104","0.0190973496628442","0.0157963607727975","0.0223983385528908"
"1 Strongly disagree","2005","Urban Area","Female","95","0.0163490958497525","0.0134271902573005","0.0192710014422045"
"1 Strongly disagree","2005","Rural Area","Male","45","0.0175397480902982","0.0130514315128436","0.0220280646677529"
"1 Strongly disagree","2005","Rural Area","Female","44","0.0156318812166032","0.011557642259562","0.0197061201736444"
"2 on scale 1-7 ","2005","Urban Area","Male","293","0.0478716801835416","0.042722576518678","0.0530207838484052"
"2 on scale 1-7 ","2005","Urban Area","Female","263","0.0378856607816848","0.033486705077685","0.0422846164856846"
"2 on scale 1-7 ","2005","Rural Area","Male","134","0.0402233383215667","0.0335053621353486","0.0469413145077847"
"2 on scale 1-7 ","2005","Rural Area","Female","113","0.0352680626505421","0.0292096865023522","0.0413264387987319"
"3 on scale 1-7 ","2005","Urban Area","Male","632","0.0903550013139366","0.0834405674810689","0.0972694351468044"
"3 on scale 1-7 ","2005","Urban Area","Female","557","0.0780886468581571","0.0719065281194787","0.0842707655968354"
"3 on scale 1-7 ","2005","Rural Area","Male","301","0.0983225200736755","0.0881420830054693","0.108502957141882"
"3 on scale 1-7 ","2005","Rural Area","Female","266","0.0806949519278831","0.0717492358505954","0.0896406680051707"
"4 on scale 1-7","2005","Urban Area","Male","1319","0.190403547464215","0.180934280192081","0.199872814736349"
"4 on scale 1-7","2005","Urban Area","Female","1347","0.19657167597423","0.187415105310989","0.205728246637472"
"4 on scale 1-7","2005","Rural Area","Male","675","0.213498409072824","0.199487657397498","0.22750916074815"
"4 on scale 1-7","2005","Rural Area","Female","663","0.188402072367617","0.175558808459481","0.201245336275753"
"5 on scale 1-7","2005","Urban Area","Male","1561","0.236926518366623","0.226671544084007","0.247181492649238"
"5 on scale 1-7","2005","Urban Area","Female","1575","0.217742747815103","0.208233515433391","0.227251980196815"
"5 on scale 1-7","2005","Rural Area","Male","836","0.23070829640584","0.216304020149086","0.245112572662595"
"5 on scale 1-7","2005","Rural Area","Female","823","0.216827252577824","0.203292577915599","0.230361927240049"
"6 on scale 1-7","2005","Urban Area","Male","1620","0.242395905375456","0.232060480014295","0.252731330736616"
"6 on scale 1-7","2005","Urban Area","Female","1844","0.238631289840907","0.22881019243007","0.248452387251744"
