"plh0219","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","(0) in school","6","","",""
"1 Strongly disagree","2005","16-34 y.","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","16-34 y.","(1b) general elementary school","12","","",""
"1 Strongly disagree","2005","16-34 y.","(1c) basic vocational qualification","4","","",""
"1 Strongly disagree","2005","16-34 y.","(2b) intermediate general qualification","4","","",""
"1 Strongly disagree","2005","16-34 y.","(2a) intermediate vocational","9","","",""
"1 Strongly disagree","2005","16-34 y.","(2c_gen) general maturity certificate","4","","",""
"1 Strongly disagree","2005","16-34 y.","(2c_voc) vocational maturity certificate","1","","",""
"1 Strongly disagree","2005","16-34 y.","(3a) lower tertiary education","3","","",""
"1 Strongly disagree","2005","16-34 y.","(3b) higher tertiary education","3","","",""
"1 Strongly disagree","2005","35-65 y.","(0) in school","","","",""
"1 Strongly disagree","2005","35-65 y.","(1a) inadequately completed","8","","",""
"1 Strongly disagree","2005","35-65 y.","(1b) general elementary school","22","","",""
"1 Strongly disagree","2005","35-65 y.","(1c) basic vocational qualification","56","0.0224588600838683","0.0174614620987752","0.0274562580689614"
"1 Strongly disagree","2005","35-65 y.","(2b) intermediate general qualification","1","","",""
"1 Strongly disagree","2005","35-65 y.","(2a) intermediate vocational","34","0.0126364811922622","0.00879269445161705","0.0164802679329073"
"1 Strongly disagree","2005","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"1 Strongly disagree","2005","35-65 y.","(2c_voc) vocational maturity certificate","8","","",""
"1 Strongly disagree","2005","35-65 y.","(3a) lower tertiary education","7","","",""
"1 Strongly disagree","2005","35-65 y.","(3b) higher tertiary education","17","","",""
"1 Strongly disagree","2005","66 and older","(0) in school","","","",""
"1 Strongly disagree","2005","66 and older","(1a) inadequately completed","5","","",""
"1 Strongly disagree","2005","66 and older","(1b) general elementary school","18","","",""
"1 Strongly disagree","2005","66 and older","(1c) basic vocational qualification","43","0.0290614800417189","0.0211321920816072","0.0369907680018306"
"1 Strongly disagree","2005","66 and older","(2b) intermediate general qualification","","","",""
