"plh0219","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Urban Area","109","0.0239267321835129","0.0197710893056473","0.0280823750613784","1"
"1 Strongly disagree","2005","Not Employed","Rural Area","42","0.0166949601457534","0.011819492352292","0.0215704279392148","1"
"1 Strongly disagree","2005","Employed","Urban Area","90","0.0134942551964861","0.0110621079683646","0.0159264024246075","1"
"1 Strongly disagree","2005","Employed","Rural Area","47","0.0164588088233153","0.0126082004146704","0.0203094172319603","1"
"2 on scale 1-7 ","2005","Not Employed","Rural Area","101","0.0396014212686362","0.0321804524505846","0.0470223900866879","2"
"2 on scale 1-7 ","2005","Employed","Urban Area","314","0.0386634435353617","0.0345994445886877","0.0427274424820357","2"
"2 on scale 1-7 ","2005","Employed","Rural Area","146","0.0363544370904432","0.0306898109363271","0.0420190632445594","2"
"2 on scale 1-7 ","2005","Not Employed","Urban Area","242","0.0488034227068285","0.0429445293223162","0.0546623160913408","2"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","233","0.0972427740287511","0.0859683692655074","0.108517178791995","3"
"3 on scale 1-7 ","2005","Employed","Urban Area","714","0.0796270701394533","0.0739204642710409","0.0853336760078657","3"
"3 on scale 1-7 ","2005","Employed","Rural Area","334","0.0837949344524738","0.0754092386297247","0.0921806302752229","3"
"3 on scale 1-7 ","2005","Not Employed","Urban Area","475","0.090630734656463","0.0828241117559125","0.0984373575570135","3"
"4 on scale 1-7","2005","Employed","Rural Area","774","0.194892618151202","0.182904294002275","0.206880942300128","4"
"4 on scale 1-7","2005","Not Employed","Rural Area","564","0.208884364185361","0.193415714067355","0.224353014303367","4"
"4 on scale 1-7","2005","Employed","Urban Area","1573","0.184393201632341","0.176218376653058","0.192568026611624","4"
"4 on scale 1-7","2005","Not Employed","Urban Area","1093","0.207259298345391","0.196236854239613","0.218281742451169","4"
"5 on scale 1-7","2005","Employed","Urban Area","1964","0.227402077576109","0.2185664058049","0.236237749347319","5"
"5 on scale 1-7","2005","Not Employed","Rural Area","636","0.221554361600444","0.205751571817798","0.237357151383089","5"
"5 on scale 1-7","2005","Not Employed","Urban Area","1172","0.226549554203975","0.215166647715702","0.237932460692249","5"
"5 on scale 1-7","2005","Employed","Rural Area","1023","0.224874048796228","0.212238628683667","0.237509468908788","5"
"6 on scale 1-7","2005","Employed","Urban Area","2325","0.260206592218983","0.250957907641871","0.269455276796094","6"
"6 on scale 1-7","2005","Employed","Rural Area","1111","0.253755106952098","0.240585222650203","0.266924991253993","6"
"6 on scale 1-7","2005","Not Employed","Rural Area","627","0.241674017635122","0.225383967714977","0.257964067555267","6"
"6 on scale 1-7","2005","Not Employed","Urban Area","1139","0.211034737159235","0.199938870475817","0.222130603842654","6"
"7 Strongly agree","2005","Employed","Rural Area","759","0.18987004573424","0.178000353712456","0.201739737756025","7"
"7 Strongly agree","2005","Not Employed","Rural Area","450","0.174348101135932","0.159910781591415","0.18878542068045","7"
"7 Strongly agree","2005","Employed","Urban Area","1665","0.196213359701266","0.187841917732293","0.20458480167024","7"
"7 Strongly agree","2005","Not Employed","Urban Area","965","0.191795520744594","0.181089325189759","0.202501716299429","7"
"1 Strongly disagree","2006","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2006","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2006","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2006","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Employed","Urban Area","","","","","3"
"4 on scale 1-7","2006","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2006","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2006","Employed","Rural Area","","","","","4"
"4 on scale 1-7","2006","Not Employed","Urban Area","","","","","4"
"5 on scale 1-7","2006","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2006","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2006","Employed","Rural Area","","","","","5"
"5 on scale 1-7","2006","Not Employed","Urban Area","","","","","5"
"6 on scale 1-7","2006","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2006","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2006","Employed","Rural Area","","","","","6"
"6 on scale 1-7","2006","Not Employed","Urban Area","","","","","6"
"7 Strongly agree","2006","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2006","Employed","Urban Area","","","","","7"
"7 Strongly agree","2006","Employed","Rural Area","","","","","7"
"7 Strongly agree","2006","Not Employed","Urban Area","","","","","7"
"1 Strongly disagree","2007","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2007","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2007","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2007","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Employed","Rural Area","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2007","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2007","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2007","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2007","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2007","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2007","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2007","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2007","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2007","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2007","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2007","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2007","Employed","Rural Area","","","","","6"
"7 Strongly agree","2007","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2007","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2007","Employed","Urban Area","","","","","7"
"7 Strongly agree","2007","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2008","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2008","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2008","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2008","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","Rural Area","","","","","2"
