"plh0219","year","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","230","0.0172843773829104","0.015353211829849","0.0192155429359719","1"
"1 Strongly disagree","2005","direct migration background","51","0.019795856262211","0.0141770312060636","0.0254146813183583","1"
"1 Strongly disagree","2005","indirect migration background","7","","","","1"
"2 on scale 1-7 ","2005","no migration background","649","0.0396159434588623","0.0367256883440364","0.0425061985736882","2"
"2 on scale 1-7 ","2005","indirect migration background","23","","","","2"
"2 on scale 1-7 ","2005","direct migration background","131","0.0548792753738683","0.0456928209470632","0.0640657298006735","2"
"3 on scale 1-7 ","2005","no migration background","1458","0.0843732259083474","0.0802547144856693","0.0884917373310254","3"
"3 on scale 1-7 ","2005","direct migration background","246","0.0999410587729787","0.0878432268698839","0.112038890676073","3"
"3 on scale 1-7 ","2005","indirect migration background","52","0.0644407833490587","0.0477366060422252","0.0811449606558922","3"
"4 on scale 1-7","2005","no migration background","3315","0.192200880558433","0.18636228919889","0.198039471917976","4"
"4 on scale 1-7","2005","indirect migration background","165","0.191821681235561","0.165035457684253","0.218607904786868","4"
"4 on scale 1-7","2005","direct migration background","524","0.21927717160268","0.202587597774518","0.235966745430842","4"
"5 on scale 1-7","2005","no migration background","4102","0.226040385537761","0.219842680897966","0.232238090177556","5"
"5 on scale 1-7","2005","direct migration background","513","0.226759050661152","0.209868654529774","0.243649446792531","5"
"5 on scale 1-7","2005","indirect migration background","180","0.221495813042999","0.193245563936728","0.249746062149269","5"
"6 on scale 1-7","2005","indirect migration background","215","0.249351718681007","0.219918790202123","0.278784647159891","6"
"6 on scale 1-7","2005","direct migration background","491","0.197012921373023","0.180969324854227","0.21305651789182","6"
"6 on scale 1-7","2005","no migration background","4496","0.250089841431412","0.243672851616479","0.256506831246344","6"
"7 Strongly agree","2005","indirect migration background","188","0.235630124593915","0.206758166902368","0.264502082285462","7"
"7 Strongly agree","2005","no migration background","3246","0.190395345722274","0.18457775227609","0.196212939168459","7"
"7 Strongly agree","2005","direct migration background","405","0.182334665954086","0.16675986470942","0.197909467198752","7"
"1 Strongly disagree","2006","no migration background","","","","","1"
"1 Strongly disagree","2006","direct migration background","","","","","1"
"1 Strongly disagree","2006","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","no migration background","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","no migration background","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","","","","","3"
"4 on scale 1-7","2006","indirect migration background","","","","","4"
"4 on scale 1-7","2006","no migration background","","","","","4"
"4 on scale 1-7","2006","direct migration background","","","","","4"
"5 on scale 1-7","2006","indirect migration background","","","","","5"
"5 on scale 1-7","2006","no migration background","","","","","5"
"5 on scale 1-7","2006","direct migration background","","","","","5"
"6 on scale 1-7","2006","indirect migration background","","","","","6"
"6 on scale 1-7","2006","direct migration background","","","","","6"
"6 on scale 1-7","2006","no migration background","","","","","6"
"7 Strongly agree","2006","indirect migration background","","","","","7"
"7 Strongly agree","2006","no migration background","","","","","7"
"7 Strongly agree","2006","direct migration background","","","","","7"
"1 Strongly disagree","2007","direct migration background","","","","","1"
"1 Strongly disagree","2007","indirect migration background","","","","","1"
"1 Strongly disagree","2007","no migration background","","","","","1"
"2 on scale 1-7 ","2007","no migration background","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","","","","","2"
"3 on scale 1-7 ","2007","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","no migration background","","","","","3"
"4 on scale 1-7","2007","indirect migration background","","","","","4"
"4 on scale 1-7","2007","no migration background","","","","","4"
"4 on scale 1-7","2007","direct migration background","","","","","4"
"5 on scale 1-7","2007","indirect migration background","","","","","5"
"5 on scale 1-7","2007","direct migration background","","","","","5"
"5 on scale 1-7","2007","no migration background","","","","","5"
"6 on scale 1-7","2007","indirect migration background","","","","","6"
"6 on scale 1-7","2007","direct migration background","","","","","6"
"6 on scale 1-7","2007","no migration background","","","","","6"
"7 Strongly agree","2007","indirect migration background","","","","","7"
"7 Strongly agree","2007","no migration background","","","","","7"
"7 Strongly agree","2007","direct migration background","","","","","7"
"1 Strongly disagree","2008","direct migration background","","","","","1"
