"plh0219","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Male","75","0.0251862671021368","0.0197196039323223","0.0306529302719514"
"1 Strongly disagree","2005","Not Employed","Female","76","0.0193629045242264","0.0154200704586291","0.0233057385898237"
"1 Strongly disagree","2005","Employed","Male","74","0.0154056153711969","0.0124640416461799","0.0183471890962138"
"1 Strongly disagree","2005","Employed","Female","63","0.0132328074325989","0.0103663954932146","0.0160992193719831"
"2 on scale 1-7 ","2005","Not Employed","Male","143","0.0501143580601297","0.0425024008000711","0.0577263153201883"
"2 on scale 1-7 ","2005","Not Employed","Female","200","0.0431871788140338","0.03737070201886","0.0490036556092076"
"2 on scale 1-7 ","2005","Employed","Male","284","0.0432408548152465","0.0383828271748195","0.0480988824556735"
"2 on scale 1-7 ","2005","Employed","Female","176","0.0316010557621438","0.0272128881606287","0.035989223363659"
"3 on scale 1-7 ","2005","Not Employed","Male","308","0.10077307687091","0.0902707264731821","0.111275427268638"
"3 on scale 1-7 ","2005","Not Employed","Female","400","0.0874112987580812","0.0793298277445266","0.0954927697716358"
"3 on scale 1-7 ","2005","Employed","Male","625","0.088954624784269","0.0821552997133642","0.0957539498551739"
"3 on scale 1-7 ","2005","Employed","Female","423","0.0713056285674","0.0648505197192118","0.0777607374155883"
"4 on scale 1-7","2005","Not Employed","Male","682","0.205183103260222","0.191093981049943","0.219272225470501"
"4 on scale 1-7","2005","Not Employed","Female","975","0.209458514213201","0.197815097756541","0.221101930669862"
"4 on scale 1-7","2005","Employed","Male","1312","0.193869036773067","0.184426937493072","0.203311136053063"
"4 on scale 1-7","2005","Employed","Female","1035","0.180225430298462","0.170583577133045","0.189867283463879"
"5 on scale 1-7","2005","Not Employed","Male","751","0.228979878135179","0.214320649790119","0.24363910648024"
"5 on scale 1-7","2005","Not Employed","Female","1057","0.222375914869749","0.210477261444711","0.234274568294788"
"5 on scale 1-7","2005","Employed","Male","1646","0.237929586729588","0.227759297343507","0.248099876115669"
"5 on scale 1-7","2005","Employed","Female","1341","0.21306280550094","0.202791417999276","0.223334193002604"
"6 on scale 1-7","2005","Not Employed","Male","674","0.216231508169042","0.201868910906779","0.230594105431306"
"6 on scale 1-7","2005","Not Employed","Female","1092","0.2234763928268","0.211556777298282","0.235396008355317"
"6 on scale 1-7","2005","Employed","Male","1739","0.252251559263958","0.241878515199731","0.262624603328185"
