"plh0219","year","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Male","149","0.0186133639664353","0.0159496815128695","0.021277046420001","1"
"1 Strongly disagree","2005","Female","139","0.016124788757149","0.0137489685786623","0.0185006089356356","1"
"2 on scale 1-7 ","2005","Female","376","0.0370670134768705","0.0335034182345728","0.0406306087191683","2"
"2 on scale 1-7 ","2005","Male","427","0.0454951494148991","0.0413881791082363","0.0496021197215619","2"
"3 on scale 1-7 ","2005","Male","933","0.0928307083134361","0.0871114468986988","0.0985499697281733","3"
"3 on scale 1-7 ","2005","Female","823","0.0789037622861022","0.0738186809907761","0.0839888435814284","3"
"4 on scale 1-7","2005","Female","2010","0.194016652766357","0.186557679019535","0.20147562651318","4"
"4 on scale 1-7","2005","Male","1994","0.197579697563268","0.189732365007629","0.205427030118906","4"
"5 on scale 1-7","2005","Male","2397","0.234994361556332","0.226638120029073","0.243350603083591","5"
"5 on scale 1-7","2005","Female","2398","0.217456428956737","0.209675401815805","0.22523745609767","5"
"6 on scale 1-7","2005","Female","2789","0.245580514925204","0.237461563528519","0.253699466321889","6"
"6 on scale 1-7","2005","Male","2413","0.240438106389992","0.232015758447212","0.248860454332773","6"
"7 Strongly agree","2005","Female","2262","0.210850838831579","0.203156633773448","0.21854504388971","7"
"7 Strongly agree","2005","Male","1577","0.170048612795638","0.162644674008421","0.177452551582856","7"
"1 Strongly disagree","2006","Male","","","","","1"
"1 Strongly disagree","2006","Female","","","","","1"
"2 on scale 1-7 ","2006","Male","","","","","2"
"2 on scale 1-7 ","2006","Female","","","","","2"
"3 on scale 1-7 ","2006","Female","","","","","3"
"3 on scale 1-7 ","2006","Male","","","","","3"
"4 on scale 1-7","2006","Male","","","","","4"
"4 on scale 1-7","2006","Female","","","","","4"
"5 on scale 1-7","2006","Female","","","","","5"
"5 on scale 1-7","2006","Male","","","","","5"
"6 on scale 1-7","2006","Female","","","","","6"
"6 on scale 1-7","2006","Male","","","","","6"
"7 Strongly agree","2006","Female","","","","","7"
"7 Strongly agree","2006","Male","","","","","7"
"1 Strongly disagree","2007","Male","","","","","1"
"1 Strongly disagree","2007","Female","","","","","1"
"2 on scale 1-7 ","2007","Female","","","","","2"
"2 on scale 1-7 ","2007","Male","","","","","2"
"3 on scale 1-7 ","2007","Male","","","","","3"
"3 on scale 1-7 ","2007","Female","","","","","3"
"4 on scale 1-7","2007","Female","","","","","4"
"4 on scale 1-7","2007","Male","","","","","4"
"5 on scale 1-7","2007","Female","","","","","5"
"5 on scale 1-7","2007","Male","","","","","5"
"6 on scale 1-7","2007","Female","","","","","6"
"6 on scale 1-7","2007","Male","","","","","6"
"7 Strongly agree","2007","Male","","","","","7"
"7 Strongly agree","2007","Female","","","","","7"
"1 Strongly disagree","2008","Male","","","","","1"
"1 Strongly disagree","2008","Female","","","","","1"
"2 on scale 1-7 ","2008","Male","","","","","2"
"2 on scale 1-7 ","2008","Female","","","","","2"
"3 on scale 1-7 ","2008","Female","","","","","3"
"3 on scale 1-7 ","2008","Male","","","","","3"
"4 on scale 1-7","2008","Male","","","","","4"
