"plh0219","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","219","0.0166292122829983","0.0146254743580116","0.018632950207985"
"1 Strongly disagree","2005","East Germany","69","0.0204163059992109","0.0165124022723813","0.0243202097260404"
"2 on scale 1-7 ","2005","West Germany","618","0.0411509326333244","0.0380384180543176","0.0442634472123313"
"2 on scale 1-7 ","2005","East Germany","185","0.0411680765756463","0.0356835231271145","0.0466526300241781"
"3 on scale 1-7 ","2005","West Germany","1344","0.0860530315389448","0.0816587283954168","0.0904473346824728"
"3 on scale 1-7 ","2005","East Germany","412","0.0839199914443212","0.0762659790594872","0.0915740038291552"
"4 on scale 1-7","2005","West Germany","3038","0.195792445884887","0.189574764435786","0.202010127333989"
"4 on scale 1-7","2005","East Germany","966","0.195533919081285","0.184585418053195","0.206482420109374"
"5 on scale 1-7","2005","West Germany","3569","0.224932643019569","0.218390163159229","0.231475122879909"
"5 on scale 1-7","2005","East Germany","1226","0.23047840014799","0.218852803125689","0.242103997170291"
"6 on scale 1-7","2005","West Germany","3934","0.244036122378009","0.23730598378198","0.250766260974038"
"6 on scale 1-7","2005","East Germany","1268","0.238917415386646","0.227145976874681","0.250688853898611"
"7 Strongly agree","2005","West Germany","2924","0.191405612262267","0.185241236229113","0.19756998829542"
"7 Strongly agree","2005","East Germany","915","0.189565891364901","0.178745855598132","0.20038592713167"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
