"plh0219","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Male","","","",""
"1 Strongly disagree","2005","16-34 y.","Female","","","",""
"1 Strongly disagree","2005","35-65 y.","Male","79","0.0175606963415554","0.0141254469421955","0.0209959457409153"
"1 Strongly disagree","2005","35-65 y.","Female","76","0.015372637700442","0.0122554536547842","0.0184898217460997"
"1 Strongly disagree","2005","66 and older","Male","42","0.0268912216366475","0.0192596557755869","0.0345227874977081"
"1 Strongly disagree","2005","66 and older","Female","41","0.0225912101328709","0.0161461334352109","0.0290362868305309"
"2 on scale 1-7 ","2005","16-34 y.","Male","85","0.0358446376621371","0.0286263532990551","0.0430629220252191"
"2 on scale 1-7 ","2005","16-34 y.","Female","76","0.0262260613358541","0.0202759452608566","0.0321761774108516"
"2 on scale 1-7 ","2005","35-65 y.","Male","255","0.0464864188169309","0.0409801041222635","0.0519927335115983"
"2 on scale 1-7 ","2005","35-65 y.","Female","199","0.0359469649321807","0.0312303124866761","0.0406636173776853"
"2 on scale 1-7 ","2005","66 and older","Male","87","0.0562808745412164","0.0454083726408394","0.0671533764415934"
"2 on scale 1-7 ","2005","66 and older","Female","101","0.050113998424436","0.0406508534516496","0.0595771433972225"
"3 on scale 1-7 ","2005","16-34 y.","Male","203","0.0715628614111087","0.0615543732436541","0.0815713495785633"
"3 on scale 1-7 ","2005","16-34 y.","Female","175","0.0657975610335281","0.056566423440284","0.0750286986267721"
"3 on scale 1-7 ","2005","35-65 y.","Male","565","0.102248029018192","0.0943241069126973","0.110171951123687"
"3 on scale 1-7 ","2005","35-65 y.","Female","449","0.0779778064852213","0.0711840731960092","0.0847715397744335"
"3 on scale 1-7 ","2005","66 and older","Male","165","0.0957096882106806","0.081830643172971","0.10958873324839"
"3 on scale 1-7 ","2005","66 and older","Female","199","0.09378361476421","0.0811391729773897","0.10642805655103"
"4 on scale 1-7","2005","16-34 y.","Male","464","0.17595673124797","0.161171560989136","0.190741901506804"
