"plb0050","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2001","no migration background","Male","2603","0.45345503333959","0.440508485329962","0.466401581349218","2"
"No","2001","indirect migration background","Male","118","0.454753501012797","0.394687240401989","0.514819761623604","2"
"No","2001","no migration background","Female","2520","0.527083430353242","0.512900154100361","0.541266706606122","2"
"No","2001","indirect migration background","Female","111","0.553728716752476","0.484487691448037","0.622969742056914","2"
"No","2001","direct migration background","Male","408","0.475321561912904","0.443139223974581","0.507503899851226","2"
"No","2001","direct migration background","Female","338","0.51681642486275","0.479146133592726","0.554486716132774","2"
"Yes","2001","no migration background","Male","3077","0.54654496666041","0.533598418650782","0.559491514670038","1"
"Yes","2001","no migration background","Female","2240","0.472916569646758","0.458733293393878","0.487099845899639","1"
"Yes","2001","direct migration background","Male","517","0.524678438087096","0.492496100148774","0.556860776025419","1"
"Yes","2001","direct migration background","Female","338","0.48318357513725","0.445513283867226","0.520853866407273","1"
"Yes","2001","indirect migration background","Male","146","0.545246498987203","0.485180238376396","0.605312759598011","1"
"Yes","2001","indirect migration background","Female","87","0.446271283247524","0.377030257943086","0.515512308551963","1"
"No","2002","no migration background","Male","","","","","2"
"No","2002","no migration background","Female","","","","","2"
"No","2002","indirect migration background","Male","","","","","2"
"No","2002","indirect migration background","Female","","","","","2"
"No","2002","direct migration background","Male","","","","","2"
"No","2002","direct migration background","Female","","","","","2"
"Yes","2002","no migration background","Male","","","","","1"
"Yes","2002","no migration background","Female","","","","","1"
"Yes","2002","direct migration background","Male","","","","","1"
"Yes","2002","direct migration background","Female","","","","","1"
"Yes","2002","indirect migration background","Male","","","","","1"
"Yes","2002","indirect migration background","Female","","","","","1"
"No","2003","no migration background","Male","","","","","2"
"No","2003","no migration background","Female","","","","","2"
"No","2003","indirect migration background","Male","","","","","2"
"No","2003","indirect migration background","Female","","","","","2"
"No","2003","direct migration background","Male","","","","","2"
"No","2003","direct migration background","Female","","","","","2"
"Yes","2003","no migration background","Male","","","","","1"
"Yes","2003","no migration background","Female","","","","","1"
"Yes","2003","direct migration background","Male","","","","","1"
"Yes","2003","direct migration background","Female","","","","","1"
"Yes","2003","indirect migration background","Male","","","","","1"
"Yes","2003","indirect migration background","Female","","","","","1"
"No","2004","no migration background","Male","","","","","2"
