"plb0050","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Not Employed","lower secondary degree","16","","",""
"Yes","2001","Not Employed","secondary school degree","17","","",""
"Yes","2001","Not Employed","college entrance qualification","15","","",""
"Yes","2001","Not Employed","Other degree","3","","",""
"Yes","2001","Not Employed","no degree/no degree yet","2","","",""
"Yes","2001","Employed","lower secondary degree","1851","0.485271535982438","0.469511135880536","0.501031936084339"
"Yes","2001","Employed","secondary school degree","2256","0.519384281393","0.504663365218344","0.534105197567656"
"Yes","2001","Employed","college entrance qualification","1760","0.565608892383223","0.548014755910983","0.583203028855463"
"Yes","2001","Employed","Other degree","398","0.518749110220765","0.482528658883863","0.554969561557667"
"Yes","2001","Employed","no degree/no degree yet","70","0.394283531246273","0.320821549488034","0.467745513004512"
"No","2001","Not Employed","lower secondary degree","47","0.754593581352912","0.648331742162361","0.860855420543463"
"No","2001","Not Employed","secondary school degree","58","0.76431880915885","0.668264424337716","0.860373193979983"
"No","2001","Not Employed","college entrance qualification","31","0.633192151172234","0.493922577354534","0.772461724989934"
"No","2001","Not Employed","Other degree","11","","",""
"No","2001","Not Employed","no degree/no degree yet","10","","",""
"No","2001","Employed","lower secondary degree","2012","0.514728464017562","0.498968063915661","0.530488864119464"
"No","2001","Employed","secondary school degree","2169","0.480615718607","0.465894802432344","0.495336634781656"
"No","2001","Employed","college entrance qualification","1289","0.434391107616777","0.416796971144537","0.451985244089017"
"No","2001","Employed","Other degree","333","0.481250889779235","0.445030438442333","0.517471341116137"
"No","2001","Employed","no degree/no degree yet","100","0.605716468753727","0.532254486995488","0.679178450511966"
"Yes","2002","Not Employed","lower secondary degree","","","",""
"Yes","2002","Not Employed","secondary school degree","","","",""
"Yes","2002","Not Employed","college entrance qualification","","","",""
"Yes","2002","Not Employed","Other degree","","","",""
"Yes","2002","Not Employed","no degree/no degree yet","","","",""
"Yes","2002","Employed","lower secondary degree","","","",""
"Yes","2002","Employed","secondary school degree","","","",""
"Yes","2002","Employed","college entrance qualification","","","",""
"Yes","2002","Employed","Other degree","","","",""
"Yes","2002","Employed","no degree/no degree yet","","","",""
"No","2002","Not Employed","lower secondary degree","","","",""
"No","2002","Not Employed","secondary school degree","","","",""
"No","2002","Not Employed","college entrance qualification","","","",""
"No","2002","Not Employed","Other degree","","","",""
"No","2002","Not Employed","no degree/no degree yet","","","",""
"No","2002","Employed","lower secondary degree","","","",""
"No","2002","Employed","secondary school degree","","","",""
"No","2002","Employed","college entrance qualification","","","",""
"No","2002","Employed","Other degree","","","",""
"No","2002","Employed","no degree/no degree yet","","","",""
"Yes","2003","Not Employed","lower secondary degree","","","",""
"Yes","2003","Not Employed","secondary school degree","","","",""
"Yes","2003","Not Employed","college entrance qualification","","","",""
"Yes","2003","Not Employed","Other degree","","","",""
"Yes","2003","Not Employed","no degree/no degree yet","","","",""
"Yes","2003","Employed","lower secondary degree","","","",""
"Yes","2003","Employed","secondary school degree","","","",""
"Yes","2003","Employed","college entrance qualification","","","",""
"Yes","2003","Employed","Other degree","","","",""
"Yes","2003","Employed","no degree/no degree yet","","","",""
"No","2003","Not Employed","lower secondary degree","","","",""
"No","2003","Not Employed","secondary school degree","","","",""
"No","2003","Not Employed","college entrance qualification","","","",""
"No","2003","Not Employed","Other degree","","","",""
"No","2003","Not Employed","no degree/no degree yet","","","",""
"No","2003","Employed","lower secondary degree","","","",""
"No","2003","Employed","secondary school degree","","","",""
"No","2003","Employed","college entrance qualification","","","",""
"No","2003","Employed","Other degree","","","",""
"No","2003","Employed","no degree/no degree yet","","","",""
"Yes","2004","Not Employed","lower secondary degree","","","",""
"Yes","2004","Not Employed","secondary school degree","","","",""
"Yes","2004","Not Employed","college entrance qualification","","","",""
"Yes","2004","Not Employed","Other degree","","","",""
"Yes","2004","Not Employed","no degree/no degree yet","","","",""
"Yes","2004","Employed","lower secondary degree","","","",""
"Yes","2004","Employed","secondary school degree","","","",""
"Yes","2004","Employed","college entrance qualification","","","",""
"Yes","2004","Employed","Other degree","","","",""
"Yes","2004","Employed","no degree/no degree yet","","","",""
"No","2004","Not Employed","lower secondary degree","","","",""
"No","2004","Not Employed","secondary school degree","","","",""
"No","2004","Not Employed","college entrance qualification","","","",""
"No","2004","Not Employed","Other degree","","","",""
"No","2004","Not Employed","no degree/no degree yet","","","",""
"No","2004","Employed","lower secondary degree","","","",""
"No","2004","Employed","secondary school degree","","","",""
"No","2004","Employed","college entrance qualification","","","",""
"No","2004","Employed","Other degree","","","",""
"No","2004","Employed","no degree/no degree yet","","","",""
"Yes","2005","Not Employed","lower secondary degree","","","",""
"Yes","2005","Not Employed","secondary school degree","","","",""
"Yes","2005","Not Employed","college entrance qualification","","","",""
"Yes","2005","Not Employed","Other degree","","","",""
"Yes","2005","Not Employed","no degree/no degree yet","","","",""
"Yes","2005","Employed","lower secondary degree","","","",""
"Yes","2005","Employed","secondary school degree","","","",""
"Yes","2005","Employed","college entrance qualification","","","",""
"Yes","2005","Employed","Other degree","","","",""
"Yes","2005","Employed","no degree/no degree yet","","","",""
"No","2005","Not Employed","lower secondary degree","","","",""
"No","2005","Not Employed","secondary school degree","","","",""
"No","2005","Not Employed","college entrance qualification","","","",""
"No","2005","Not Employed","Other degree","","","",""
"No","2005","Not Employed","no degree/no degree yet","","","",""
"No","2005","Employed","lower secondary degree","","","",""
"No","2005","Employed","secondary school degree","","","",""
"No","2005","Employed","college entrance qualification","","","",""
"No","2005","Employed","Other degree","","","",""
"No","2005","Employed","no degree/no degree yet","","","",""
"Yes","2006","Not Employed","lower secondary degree","11","","",""
"Yes","2006","Not Employed","secondary school degree","17","","",""
"Yes","2006","Not Employed","college entrance qualification","19","","",""
"Yes","2006","Not Employed","Other degree","4","","",""
"Yes","2006","Not Employed","no degree/no degree yet","","","",""
"Yes","2006","Employed","lower secondary degree","1390","0.467866440770173","0.449945656317761","0.485787225222586"
"Yes","2006","Employed","secondary school degree","2132","0.513687094108191","0.498683419059526","0.528690769156857"
"Yes","2006","Employed","college entrance qualification","2195","0.56208924409381","0.546296171106533","0.577882317081086"
"Yes","2006","Employed","Other degree","289","0.473686867818194","0.432839890858308","0.51453384477808"
"Yes","2006","Employed","no degree/no degree yet","38","0.342427071532958","0.251663944496794","0.433190198569123"
"No","2006","Not Employed","lower secondary degree","37","0.655463332793797","0.521026151720283","0.789900513867312"
"No","2006","Not Employed","secondary school degree","51","0.731501566815547","0.626166701843529","0.836836431787565"
"No","2006","Not Employed","college entrance qualification","26","","",""
"No","2006","Not Employed","Other degree","13","","",""
"No","2006","Not Employed","no degree/no degree yet","7","","",""
"No","2006","Employed","lower secondary degree","1588","0.532133559229827","0.514212774777414","0.550054343682239"
"No","2006","Employed","secondary school degree","2131","0.486312905891809","0.471309230843143","0.501316580940474"
"No","2006","Employed","college entrance qualification","1596","0.43791075590619","0.422117682918914","0.453703828893467"
"No","2006","Employed","Other degree","285","0.526313132181806","0.48546615522192","0.567160109141692"
