"plb0050","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2001","no migration background","West Germany","3555","0.469473399266365","0.458216113460402","0.480730685072328","2"
"No","2001","indirect migration background","West Germany","224","0.497032086525504","0.450887349714557","0.543176823336452","2"
"No","2001","no migration background","East Germany","1568","0.550715808521679","0.532580560053551","0.568851056989806","2"
"No","2001","indirect migration background","East Germany","5","","","","2"
"No","2001","direct migration background","West Germany","722","0.486435229028588","0.461688163102035","0.511182294955141","2"
"No","2001","direct migration background","East Germany","24","","","","2"
"Yes","2001","no migration background","West Germany","3995","0.530526600733635","0.519269314927672","0.541783886539598","1"
"Yes","2001","no migration background","East Germany","1322","0.449284191478321","0.431148943010194","0.467419439946449","1"
"Yes","2001","direct migration background","West Germany","845","0.513564770971412","0.488817705044859","0.538311836897965","1"
"Yes","2001","direct migration background","East Germany","10","","","","1"
"Yes","2001","indirect migration background","West Germany","227","0.502967913474496","0.456823176663548","0.549112650285443","1"
"Yes","2001","indirect migration background","East Germany","6","","","","1"
"No","2002","no migration background","West Germany","","","","","2"
"No","2002","no migration background","East Germany","","","","","2"
"No","2002","indirect migration background","West Germany","","","","","2"
"No","2002","indirect migration background","East Germany","","","","","2"
"No","2002","direct migration background","West Germany","","","","","2"
"No","2002","direct migration background","East Germany","","","","","2"
"Yes","2002","no migration background","West Germany","","","","","1"
"Yes","2002","no migration background","East Germany","","","","","1"
"Yes","2002","direct migration background","West Germany","","","","","1"
"Yes","2002","direct migration background","East Germany","","","","","1"
"Yes","2002","indirect migration background","West Germany","","","","","1"
"Yes","2002","indirect migration background","East Germany","","","","","1"
"No","2003","no migration background","West Germany","","","","","2"
"No","2003","no migration background","East Germany","","","","","2"
"No","2003","indirect migration background","West Germany","","","","","2"
"No","2003","indirect migration background","East Germany","","","","","2"
"No","2003","direct migration background","West Germany","","","","","2"
"No","2003","direct migration background","East Germany","","","","","2"
"Yes","2003","no migration background","West Germany","","","","","1"
"Yes","2003","no migration background","East Germany","","","","","1"
"Yes","2003","direct migration background","West Germany","","","","","1"
"Yes","2003","direct migration background","East Germany","","","","","1"
"Yes","2003","indirect migration background","West Germany","","","","","1"
"Yes","2003","indirect migration background","East Germany","","","","","1"
"No","2004","no migration background","West Germany","","","","","2"
"No","2004","no migration background","East Germany","","","","","2"
"No","2004","indirect migration background","West Germany","","","","","2"
"No","2004","indirect migration background","East Germany","","","","","2"
"No","2004","direct migration background","West Germany","","","","","2"
"No","2004","direct migration background","East Germany","","","","","2"
"Yes","2004","no migration background","West Germany","","","","","1"
"Yes","2004","no migration background","East Germany","","","","","1"
"Yes","2004","direct migration background","West Germany","","","","","1"
"Yes","2004","direct migration background","East Germany","","","","","1"
"Yes","2004","indirect migration background","West Germany","","","","","1"
"Yes","2004","indirect migration background","East Germany","","","","","1"
"No","2005","no migration background","West Germany","","","","","2"
"No","2005","no migration background","East Germany","","","","","2"
"No","2005","indirect migration background","West Germany","","","","","2"
"No","2005","indirect migration background","East Germany","","","","","2"
"No","2005","direct migration background","West Germany","","","","","2"
"No","2005","direct migration background","East Germany","","","","","2"
"Yes","2005","no migration background","West Germany","","","","","1"
"Yes","2005","no migration background","East Germany","","","","","1"
"Yes","2005","direct migration background","West Germany","","","","","1"
"Yes","2005","direct migration background","East Germany","","","","","1"
"Yes","2005","indirect migration background","West Germany","","","","","1"
"Yes","2005","indirect migration background","East Germany","","","","","1"
"No","2006","indirect migration background","West Germany","232","0.490180852495801","0.444744039975205","0.535617665016397","2"
"No","2006","no migration background","West Germany","3673","0.479716475137293","0.468588046083468","0.490844904191119","2"
"No","2006","no migration background","East Germany","1427","0.556274981210938","0.537437120288999","0.575112842132877","2"
"No","2006","indirect migration background","East Germany","11","","","","2"
"No","2006","direct migration background","West Germany","580","0.514982642602108","0.486764429830135","0.54320085537408","2"
"No","2006","direct migration background","East Germany","16","","","","2"
"Yes","2006","no migration background","West Germany","4069","0.520283524862707","0.509155095808881","0.531411953916532","1"
"Yes","2006","no migration background","East Germany","1245","0.443725018789062","0.424887157867123","0.462562879711","1"
"Yes","2006","direct migration background","West Germany","625","0.485017357397892","0.456799144625919","0.513235570169865","1"
"Yes","2006","direct migration background","East Germany","10","","","","1"
