"plb0050","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","(Married) couple without C. ","vocational + Abi","86","0.461655089274965","0.392390594224048","0.530919584325881","2"
"No","2001","1-pers.-HH","inadequately","2","","","","2"
"No","2001","1-pers.-HH","in school","1","","","","2"
"No","2001","1-pers.-HH","middle vocational","378","0.499153028066944","0.463487882867955","0.534818173265933","2"
"No","2001","(Married) couple without C. ","higher vocational","120","0.447184875931993","0.388420347468079","0.505949404395907","2"
"No","2001","1-pers.-HH","general elemantary","47","0.47611468592019","0.371767520534956","0.580461851305425","2"
"No","2001","Couple + C. GT 16 ","in school","26","","","","2"
"No","2001","Couple + C. GT 16 ","inadequately","13","","","","2"
"No","2001","(Married) couple without C. ","middle vocational","807","0.490924475582547","0.466766330173915","0.51508262099118","2"
"No","2001","(Married) couple without C. ","higher education","290","0.410639389726388","0.374580203097548","0.446698576355228","2"
"No","2001","1-pers.-HH","vocational + Abi","42","0.398206055563296","0.302736425251083","0.493675685875509","2"
"No","2001","Couple + C. GT 16 ","middle vocational","595","0.481183086148183","0.45307696025199","0.509289212044375","2"
"No","2001","Couple + C. GT 16 ","vocational + Abi","42","0.411749829759253","0.312784281880447","0.51071537763806","2"
"No","2001","Couple + C. GT 16 ","general elemantary","198","0.598146620356272","0.546261996789066","0.650031243923479","2"
"No","2001","1-pers.-HH","higher vocational","66","0.503215225667092","0.41792050517359","0.588509946160594","2"
"No","2001","(Married) couple without C. ","in school","1","","","","2"
"No","2001","(Married) couple without C. ","inadequately","3","","","","2"
"No","2001","(Married) couple without C. ","general elemantary","114","0.544420261934496","0.478760199017741","0.61008032485125","2"
"No","2001","Couple + C. GT 16 ","higher vocational","85","0.471028337791996","0.393924699020073","0.548131976563919","2"
"No","2001","Couple + C. GT 16 ","higher education","159","0.39994059020044","0.35286494374903","0.44701623665185","2"
"No","2001","Couple + C. LE and GT 16","in school","21","","","","2"
"No","2001","Couple + C. LE and GT 16","inadequately","9","","","","2"
"No","2001","Couple + C. LE and GT 16","general elemantary","133","0.552744201163955","0.48944270052845","0.616045701799461","2"
"No","2001","Couple + C. LE and GT 16","middle vocational","314","0.562124606527719","0.521106887879245","0.603142325176194","2"
"No","2001","Couple + C. LE and GT 16","vocational + Abi","16","","","","2"
"No","2001","Couple + C. LE and GT 16","higher vocational","47","0.435937506685961","0.338257378000623","0.5336176353713","2"
"No","2001","Couple + C. LE and GT 16","higher education","74","0.392479920430668","0.322493089693219","0.462466751168117","2"
"No","2001","1-pers.-HH","higher education","141","0.444837636834204","0.391701592247895","0.497973681420513","2"
"No","2001","Single parent ","in school","7","","","","2"
"No","2001","Single parent ","inadequately","1","","","","2"
"No","2001","Single parent ","general elemantary","62","0.574227227736056","0.480538565997692","0.66791588947442","2"
