"plb0050","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2001","16-34 y.","no migration background","1462","0.461974833052636","0.444679572710804","0.479270093394467"
"Yes","2001","16-34 y.","direct migration background","235","0.447498393645012","0.403606214383485","0.491390572906538"
"Yes","2001","16-34 y.","indirect migration background","192","0.489423047238279","0.43948971626347","0.539356378213087"
"Yes","2001","35-65 y.","no migration background","3845","0.543698406077409","0.532166943030974","0.555229869123844"
"Yes","2001","35-65 y.","direct migration background","618","0.53591711074362","0.506432470395666","0.565401751091574"
"Yes","2001","35-65 y.","indirect migration background","41","0.565729268743702","0.454293170145396","0.677165367342007"
"Yes","2001","66 and older","no migration background","10","","",""
"Yes","2001","66 and older","direct migration background","2","","",""
"Yes","2001","66 and older","indirect migration background","","","",""
"No","2001","16-34 y.","no migration background","1730","0.538025166947364","0.520729906605533","0.555320427289196"
"No","2001","16-34 y.","direct migration background","258","0.552501606354988","0.508609427093462","0.596393785616514"
"No","2001","16-34 y.","indirect migration background","193","0.510576952761721","0.460643621786913","0.56051028373653"
"No","2001","35-65 y.","no migration background","3322","0.456301593922591","0.444770130876156","0.467833056969026"
"No","2001","35-65 y.","direct migration background","481","0.46408288925638","0.434598248908426","0.493567529604334"
"No","2001","35-65 y.","indirect migration background","35","0.434270731256299","0.322834632657993","0.545706829854604"
"No","2001","66 and older","no migration background","71","0.875831008957128","0.80401482636262","0.947647191551636"
"No","2001","66 and older","direct migration background","7","","",""
"No","2001","66 and older","indirect migration background","1","","",""
"Yes","2002","16-34 y.","no migration background","","","",""
"Yes","2002","16-34 y.","direct migration background","","","",""
"Yes","2002","16-34 y.","indirect migration background","","","",""
"Yes","2002","35-65 y.","no migration background","","","",""
"Yes","2002","35-65 y.","direct migration background","","","",""
"Yes","2002","35-65 y.","indirect migration background","","","",""
"Yes","2002","66 and older","no migration background","","","",""
"Yes","2002","66 and older","direct migration background","","","",""
"Yes","2002","66 and older","indirect migration background","","","",""
"No","2002","16-34 y.","no migration background","","","",""
"No","2002","16-34 y.","direct migration background","","","",""
"No","2002","16-34 y.","indirect migration background","","","",""
"No","2002","35-65 y.","no migration background","","","",""
"No","2002","35-65 y.","direct migration background","","","",""
"No","2002","35-65 y.","indirect migration background","","","",""
"No","2002","66 and older","no migration background","","","",""
"No","2002","66 and older","direct migration background","","","",""
"No","2002","66 and older","indirect migration background","","","",""
"Yes","2003","16-34 y.","no migration background","","","",""
