"plb0050","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2001","in school","Male","6","","",""
"Yes","2001","in school","Female","7","","",""
"Yes","2001","inadequately","Male","35","0.603674080412024","0.476693249153569","0.730654911670478"
"Yes","2001","inadequately","Female","19","","",""
"Yes","2001","general elemantary","Male","314","0.526639781757449","0.486854438169519","0.566425125345379"
"Yes","2001","general elemantary","Female","263","0.395175344845162","0.35776378337064","0.432586906319685"
"Yes","2001","middle vocational","Male","1923","0.533781881403933","0.517551411462249","0.550012351345617"
"Yes","2001","middle vocational","Female","1329","0.444475569881685","0.426700215165785","0.462250924597586"
"Yes","2001","vocational + Abi","Male","198","0.56400899156526","0.511758326599492","0.616259656531027"
"Yes","2001","vocational + Abi","Female","180","0.516815871883771","0.46490631239968","0.568725431367863"
"Yes","2001","higher vocational","Male","341","0.491833359060608","0.454257778308455","0.529408939812761"
"Yes","2001","higher vocational","Female","238","0.570552857775724","0.524353961794212","0.616751753757235"
"Yes","2001","higher education","Male","911","0.599663491967738","0.574801834279609","0.624525149655867"
"Yes","2001","higher education","Female","626","0.567918765908712","0.538334142087947","0.597503389729476"
"No","2001","in school","Male","26","","",""
"No","2001","in school","Female","33","0.870827588579737","0.766890853918487","0.974764323240988"
"No","2001","inadequately","Male","22","","",""
"No","2001","inadequately","Female","26","","",""
"No","2001","general elemantary","Male","291","0.473360218242551","0.433574874654622","0.513145561830481"
"No","2001","general elemantary","Female","393","0.604824655154838","0.567413093680315","0.64223621662936"
"No","2001","middle vocational","Male","1706","0.466218118596067","0.449987648654383","0.482448588537751"
"No","2001","middle vocational","Female","1673","0.555524430118315","0.537749075402414","0.573299784834215"
"No","2001","vocational + Abi","Male","148","0.43599100843474","0.383740343468973","0.488241673400508"
"No","2001","vocational + Abi","Female","176","0.483184128116229","0.431274568632137","0.53509368760032"
"No","2001","higher vocational","Male","339","0.508166640939392","0.470591060187239","0.545742221691545"
"No","2001","higher vocational","Female","203","0.429447142224276","0.383248246242765","0.475646038205788"
"No","2001","higher education","Male","581","0.400336508032262","0.375474850344133","0.425198165720391"
"No","2001","higher education","Female","451","0.432081234091288","0.402496610270524","0.461665857912053"
"Yes","2002","in school","Male","","","",""
"Yes","2002","in school","Female","","","",""
"Yes","2002","inadequately","Male","","","",""
"Yes","2002","inadequately","Female","","","",""
"Yes","2002","general elemantary","Male","","","",""
"Yes","2002","general elemantary","Female","","","",""
"Yes","2002","middle vocational","Male","","","",""
"Yes","2002","middle vocational","Female","","","",""
"Yes","2002","vocational + Abi","Male","","","",""
"Yes","2002","vocational + Abi","Female","","","",""
"Yes","2002","higher vocational","Male","","","",""
"Yes","2002","higher vocational","Female","","","",""
"Yes","2002","higher education","Male","","","",""
"Yes","2002","higher education","Female","","","",""
"No","2002","in school","Male","","","",""
"No","2002","in school","Female","","","",""
"No","2002","inadequately","Male","","","",""
"No","2002","inadequately","Female","","","",""
"No","2002","general elemantary","Male","","","",""
"No","2002","general elemantary","Female","","","",""
"No","2002","middle vocational","Male","","","",""
"No","2002","middle vocational","Female","","","",""
"No","2002","vocational + Abi","Male","","","",""
"No","2002","vocational + Abi","Female","","","",""
"No","2002","higher vocational","Male","","","",""
"No","2002","higher vocational","Female","","","",""
"No","2002","higher education","Male","","","",""
"No","2002","higher education","Female","","","",""
"Yes","2003","in school","Male","","","",""
"Yes","2003","in school","Female","","","",""
"Yes","2003","inadequately","Male","","","",""
"Yes","2003","inadequately","Female","","","",""
"Yes","2003","general elemantary","Male","","","",""
"Yes","2003","general elemantary","Female","","","",""
"Yes","2003","middle vocational","Male","","","",""
"Yes","2003","middle vocational","Female","","","",""
"Yes","2003","vocational + Abi","Male","","","",""
"Yes","2003","vocational + Abi","Female","","","",""
"Yes","2003","higher vocational","Male","","","",""
"Yes","2003","higher vocational","Female","","","",""
"Yes","2003","higher education","Male","","","",""
"Yes","2003","higher education","Female","","","",""
"No","2003","in school","Male","","","",""
"No","2003","in school","Female","","","",""
"No","2003","inadequately","Male","","","",""
"No","2003","inadequately","Female","","","",""
"No","2003","general elemantary","Male","","","",""
"No","2003","general elemantary","Female","","","",""
"No","2003","middle vocational","Male","","","",""
"No","2003","middle vocational","Female","","","",""
"No","2003","vocational + Abi","Male","","","",""
"No","2003","vocational + Abi","Female","","","",""
"No","2003","higher vocational","Male","","","",""
"No","2003","higher vocational","Female","","","",""
"No","2003","higher education","Male","","","",""
"No","2003","higher education","Female","","","",""
"Yes","2004","in school","Male","","","",""
"Yes","2004","in school","Female","","","",""
"Yes","2004","inadequately","Male","","","",""
"Yes","2004","inadequately","Female","","","",""
"Yes","2004","general elemantary","Male","","","",""
"Yes","2004","general elemantary","Female","","","",""
"Yes","2004","middle vocational","Male","","","",""
"Yes","2004","middle vocational","Female","","","",""
"Yes","2004","vocational + Abi","Male","","","",""
"Yes","2004","vocational + Abi","Female","","","",""
"Yes","2004","higher vocational","Male","","","",""
"Yes","2004","higher vocational","Female","","","",""
"Yes","2004","higher education","Male","","","",""
"Yes","2004","higher education","Female","","","",""
"No","2004","in school","Male","","","",""
"No","2004","in school","Female","","","",""
"No","2004","inadequately","Male","","","",""
"No","2004","inadequately","Female","","","",""
"No","2004","general elemantary","Male","","","",""
"No","2004","general elemantary","Female","","","",""
"No","2004","middle vocational","Male","","","",""
"No","2004","middle vocational","Female","","","",""
"No","2004","vocational + Abi","Male","","","",""
"No","2004","vocational + Abi","Female","","","",""
"No","2004","higher vocational","Male","","","",""
"No","2004","higher vocational","Female","","","",""
"No","2004","higher education","Male","","","",""
"No","2004","higher education","Female","","","",""
"Yes","2005","in school","Male","","","",""
"Yes","2005","in school","Female","","","",""
"Yes","2005","inadequately","Male","","","",""
"Yes","2005","inadequately","Female","","","",""
"Yes","2005","general elemantary","Male","","","",""
"Yes","2005","general elemantary","Female","","","",""
"Yes","2005","middle vocational","Male","","","",""
"Yes","2005","middle vocational","Female","","","",""
"Yes","2005","vocational + Abi","Male","","","",""
"Yes","2005","vocational + Abi","Female","","","",""
"Yes","2005","higher vocational","Male","","","",""
"Yes","2005","higher vocational","Female","","","",""
"Yes","2005","higher education","Male","","","",""
"Yes","2005","higher education","Female","","","",""
"No","2005","in school","Male","","","",""
"No","2005","in school","Female","","","",""
"No","2005","inadequately","Male","","","",""
"No","2005","inadequately","Female","","","",""
"No","2005","general elemantary","Male","","","",""
"No","2005","general elemantary","Female","","","",""
"No","2005","middle vocational","Male","","","",""
"No","2005","middle vocational","Female","","","",""
"No","2005","vocational + Abi","Male","","","",""
"No","2005","vocational + Abi","Female","","","",""
"No","2005","higher vocational","Male","","","",""
"No","2005","higher vocational","Female","","","",""
"No","2005","higher education","Male","","","",""
"No","2005","higher education","Female","","","",""
"Yes","2006","in school","Male","2","","",""
"Yes","2006","in school","Female","2","","",""
"Yes","2006","inadequately","Male","19","","",""
"Yes","2006","inadequately","Female","12","","",""
"Yes","2006","general elemantary","Male","190","0.445143197199586","0.396681598567825","0.493604795831347"
"Yes","2006","general elemantary","Female","207","0.41693591861565","0.373368850049243","0.460502987182058"
"Yes","2006","middle vocational","Male","1564","0.511269338906587","0.493630086527249","0.528908591285924"
"Yes","2006","middle vocational","Female","1277","0.46535961315006","0.446982381095804","0.483736845204316"
"Yes","2006","vocational + Abi","Male","182","0.470637033819632","0.418932764583964","0.5223413030553"
