"plb0050","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","1-pers.-HH","180","0.483654030312869","0.433865373535596","0.533442687090141"
"Yes","2001","lower secondary degree","(Married) couple without C. ","524","0.48774081464222","0.457521392190912","0.517960237093527"
"Yes","2001","lower secondary degree","Single parent ","96","0.457015273773603","0.391779886355194","0.522250661192013"
"Yes","2001","lower secondary degree","Couple + C. LE 16 ","504","0.494614649035366","0.464021849375977","0.525207448694756"
"Yes","2001","lower secondary degree","Couple + C. GT 16 ","339","0.480060919711644","0.443843808243723","0.516278031179565"
"Yes","2001","lower secondary degree","Couple + C. LE and GT 16","149","0.406125038909238","0.35560401207391","0.456646065744566"
"Yes","2001","secondary school degree","1-pers.-HH","271","0.555877889598155","0.512282685457123","0.599473093739187"
"Yes","2001","secondary school degree","(Married) couple without C. ","539","0.541315827686842","0.510796121192655","0.571835534181028"
"Yes","2001","secondary school degree","Single parent ","116","0.480619738398922","0.41792996506058","0.543309511737264"
"Yes","2001","secondary school degree","Couple + C. LE 16 ","652","0.488496805070768","0.461530827770491","0.515462782371045"
"Yes","2001","secondary school degree","Couple + C. GT 16 ","413","0.503038134129636","0.469165626527997","0.536910641731275"
"Yes","2001","secondary school degree","Couple + C. LE and GT 16","235","0.489461999345047","0.444601673056143","0.534322325633952"
"Yes","2001","college entrance qualification","1-pers.-HH","268","0.529057700557851","0.484816283251823","0.57329911786388"
"Yes","2001","college entrance qualification","(Married) couple without C. ","496","0.586862235063397","0.553323363059171","0.620401107067623"
"Yes","2001","college entrance qualification","Single parent ","76","0.588280467815305","0.504640237428436","0.671920698202173"
"Yes","2001","college entrance qualification","Couple + C. LE 16 ","480","0.564144995896855","0.530848795095243","0.597441196698466"
"Yes","2001","college entrance qualification","Couple + C. GT 16 ","303","0.590514336335789","0.547668620194833","0.633360052476746"
"Yes","2001","college entrance qualification","Couple + C. LE and GT 16","104","0.576993145847941","0.506560140775938","0.647426150919945"
"Yes","2001","Other degree","1-pers.-HH","17","","",""
"Yes","2001","Other degree","(Married) couple without C. ","76","0.464669052672057","0.384043542920325","0.545294562423788"
"Yes","2001","Other degree","Single parent ","23","","",""
"Yes","2001","Other degree","Couple + C. LE 16 ","120","0.496801228827634","0.434193757185093","0.559408700470176"
"Yes","2001","Other degree","Couple + C. GT 16 ","97","0.588068363728791","0.510584954074036","0.665551773383546"
"Yes","2001","Other degree","Couple + C. LE and GT 16","51","0.590613927884072","0.490135564828827","0.691092290939317"
"Yes","2001","no degree/no degree yet","1-pers.-HH","4","","",""
"Yes","2001","no degree/no degree yet","(Married) couple without C. ","17","","",""
"Yes","2001","no degree/no degree yet","Single parent ","3","","",""
"Yes","2001","no degree/no degree yet","Couple + C. LE 16 ","13","","",""
"Yes","2001","no degree/no degree yet","Couple + C. GT 16 ","22","","",""
"Yes","2001","no degree/no degree yet","Couple + C. LE and GT 16","10","","",""
"No","2001","lower secondary degree","1-pers.-HH","207","0.516345969687131","0.466557312909859","0.566134626464404"
"No","2001","lower secondary degree","(Married) couple without C. ","527","0.51225918535778","0.482039762906473","0.542478607809088"
"No","2001","lower secondary degree","Single parent ","128","0.542984726226397","0.477749338807987","0.608220113644806"
"No","2001","lower secondary degree","Couple + C. LE 16 ","522","0.505385350964634","0.474792551305244","0.535978150624024"
"No","2001","lower secondary degree","Couple + C. GT 16 ","392","0.519939080288356","0.483721968820435","0.556156191756277"
"No","2001","lower secondary degree","Couple + C. LE and GT 16","214","0.593874961090762","0.543353934255434","0.64439598792609"
"No","2001","secondary school degree","1-pers.-HH","228","0.444122110401845","0.400526906260813","0.487717314542876"
"No","2001","secondary school degree","(Married) couple without C. ","485","0.458684172313158","0.428164465818972","0.489203878807345"
"No","2001","secondary school degree","Single parent ","128","0.519380261601078","0.456690488262737","0.58207003493942"
"No","2001","secondary school degree","Couple + C. LE 16 ","668","0.511503194929232","0.484537217628955","0.538469172229509"
"No","2001","secondary school degree","Couple + C. GT 16 ","424","0.496961865870364","0.463089358268725","0.530834373472003"
"No","2001","secondary school degree","Couple + C. LE and GT 16","242","0.510538000654953","0.465677674366048","0.555398326943857"
"No","2001","college entrance qualification","1-pers.-HH","221","0.470942299442149","0.426700882136121","0.515183716748177"
"No","2001","college entrance qualification","(Married) couple without C. ","332","0.413137764936603","0.379598892932377","0.446676636940829"
"No","2001","college entrance qualification","Single parent ","57","0.411719532184695","0.328079301797827","0.495359762571564"
"No","2001","college entrance qualification","Couple + C. LE 16 ","372","0.435855004103145","0.402558803301534","0.469151204904757"
"No","2001","college entrance qualification","Couple + C. GT 16 ","203","0.409485663664211","0.366639947523254","0.452331379805167"
"No","2001","college entrance qualification","Couple + C. LE and GT 16","85","0.423006854152059","0.352573849080055","0.493439859224062"
"No","2001","Other degree","1-pers.-HH","17","","",""
"No","2001","Other degree","(Married) couple without C. ","71","0.535330947327943","0.454705437576212","0.615956457079675"
"No","2001","Other degree","Single parent ","18","","",""
"No","2001","Other degree","Couple + C. LE 16 ","125","0.503198771172366","0.440591299529824","0.565806242814907"
"No","2001","Other degree","Couple + C. GT 16 ","58","0.411931636271209","0.334448226616454","0.489415045925964"
"No","2001","Other degree","Couple + C. LE and GT 16","41","0.409386072115928","0.308907709060683","0.509864435171173"
"No","2001","no degree/no degree yet","1-pers.-HH","4","","",""
"No","2001","no degree/no degree yet","(Married) couple without C. ","5","","",""
"No","2001","no degree/no degree yet","Single parent ","7","","",""
"No","2001","no degree/no degree yet","Couple + C. LE 16 ","16","","",""
"No","2001","no degree/no degree yet","Couple + C. GT 16 ","39","0.661112073740154","0.542330584507234","0.779893562973075"
"No","2001","no degree/no degree yet","Couple + C. LE and GT 16","31","0.71485970542599","0.57666357950666","0.853055831345321"
"Yes","2002","lower secondary degree","1-pers.-HH","","","",""
"Yes","2002","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2002","lower secondary degree","Single parent ","","","",""
"Yes","2002","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2002","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2002","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2002","secondary school degree","1-pers.-HH","","","",""
"Yes","2002","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2002","secondary school degree","Single parent ","","","",""
"Yes","2002","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2002","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2002","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2002","college entrance qualification","1-pers.-HH","","","",""
"Yes","2002","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2002","college entrance qualification","Single parent ","","","",""
"Yes","2002","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2002","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2002","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2002","Other degree","1-pers.-HH","","","",""
"Yes","2002","Other degree","(Married) couple without C. ","","","",""
"Yes","2002","Other degree","Single parent ","","","",""
"Yes","2002","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2002","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2002","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2002","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2002","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2002","no degree/no degree yet","Single parent ","","","",""
"Yes","2002","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2002","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2002","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"No","2002","lower secondary degree","1-pers.-HH","","","",""
"No","2002","lower secondary degree","(Married) couple without C. ","","","",""
"No","2002","lower secondary degree","Single parent ","","","",""
"No","2002","lower secondary degree","Couple + C. LE 16 ","","","",""
"No","2002","lower secondary degree","Couple + C. GT 16 ","","","",""
"No","2002","lower secondary degree","Couple + C. LE and GT 16","","","",""
"No","2002","secondary school degree","1-pers.-HH","","","",""
"No","2002","secondary school degree","(Married) couple without C. ","","","",""
"No","2002","secondary school degree","Single parent ","","","",""
"No","2002","secondary school degree","Couple + C. LE 16 ","","","",""
"No","2002","secondary school degree","Couple + C. GT 16 ","","","",""
"No","2002","secondary school degree","Couple + C. LE and GT 16","","","",""
"No","2002","college entrance qualification","1-pers.-HH","","","",""
"No","2002","college entrance qualification","(Married) couple without C. ","","","",""
"No","2002","college entrance qualification","Single parent ","","","",""
"No","2002","college entrance qualification","Couple + C. LE 16 ","","","",""
"No","2002","college entrance qualification","Couple + C. GT 16 ","","","",""
"No","2002","college entrance qualification","Couple + C. LE and GT 16","","","",""
"No","2002","Other degree","1-pers.-HH","","","",""
"No","2002","Other degree","(Married) couple without C. ","","","",""
"No","2002","Other degree","Single parent ","","","",""
"No","2002","Other degree","Couple + C. LE 16 ","","","",""
"No","2002","Other degree","Couple + C. GT 16 ","","","",""
"No","2002","Other degree","Couple + C. LE and GT 16","","","",""
"No","2002","no degree/no degree yet","1-pers.-HH","","","",""
"No","2002","no degree/no degree yet","(Married) couple without C. ","","","",""
"No","2002","no degree/no degree yet","Single parent ","","","",""
"No","2002","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"No","2002","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"No","2002","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2003","lower secondary degree","1-pers.-HH","","","",""
"Yes","2003","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2003","lower secondary degree","Single parent ","","","",""
"Yes","2003","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2003","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2003","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2003","secondary school degree","1-pers.-HH","","","",""
"Yes","2003","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2003","secondary school degree","Single parent ","","","",""
"Yes","2003","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2003","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2003","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2003","college entrance qualification","1-pers.-HH","","","",""
"Yes","2003","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2003","college entrance qualification","Single parent ","","","",""
"Yes","2003","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2003","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2003","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2003","Other degree","1-pers.-HH","","","",""
"Yes","2003","Other degree","(Married) couple without C. ","","","",""
"Yes","2003","Other degree","Single parent ","","","",""
"Yes","2003","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2003","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2003","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2003","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2003","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2003","no degree/no degree yet","Single parent ","","","",""
