"plb0050","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2001","in school","Rural Area","14","","","","2"
"No","2001","higher vocational","Urban Area","319","0.428817970659881","0.393063286995373","0.464572654324389","2"
"No","2001","inadequately","Rural Area","14","","","","2"
"No","2001","inadequately","Urban Area","34","0.422172652736046","0.315270793230833","0.529074512241259","2"
"No","2001","higher vocational","Rural Area","223","0.586545440949407","0.537354803492103","0.635736078406711","2"
"No","2001","in school","Urban Area","45","0.855427467227157","0.761631168442301","0.949223766012014","2"
"No","2001","general elemantary","Urban Area","441","0.499737822836334","0.466665037068346","0.532810608604322","2"
"No","2001","general elemantary","Rural Area","243","0.64562187104363","0.597717926434144","0.693525815653116","2"
"No","2001","higher education","Urban Area","710","0.403344019806972","0.380637124568216","0.426050915045729","2"
"No","2001","higher education","Rural Area","322","0.441209876925055","0.406274598891964","0.476145154958147","2"
"No","2001","middle vocational","Urban Area","2068","0.494715019588724","0.47957457412368","0.509855465053769","2"
"No","2001","middle vocational","Rural Area","1311","0.526868561224849","0.507066185015604","0.546670937434094","2"
"No","2001","vocational + Abi","Urban Area","257","0.458502745792198","0.417048339530739","0.499957152053657","2"
"No","2001","vocational + Abi","Rural Area","67","0.457716397768743","0.377178387586884","0.538254407950602","2"
"Yes","2001","in school","Urban Area","9","","","","1"
"Yes","2001","in school","Rural Area","4","","","","1"
"Yes","2001","inadequately","Urban Area","48","0.577827347263954","0.470925487758741","0.684729206769167","1"
"Yes","2001","inadequately","Rural Area","6","","","","1"
"Yes","2001","general elemantary","Urban Area","437","0.500262177163666","0.467189391395678","0.533334962931654","1"
"Yes","2001","general elemantary","Rural Area","140","0.35437812895637","0.306474184346884","0.402282073565856","1"
"Yes","2001","middle vocational","Urban Area","2121","0.505284980411276","0.490144534946231","0.52042542587632","1"
"Yes","2001","middle vocational","Rural Area","1131","0.473131438775151","0.453329062565906","0.492933814984396","1"
"Yes","2001","vocational + Abi","Urban Area","298","0.541497254207802","0.500042847946343","0.582951660469261","1"
"Yes","2001","vocational + Abi","Rural Area","80","0.542283602231257","0.461745592049398","0.622821612413116","1"
"Yes","2001","higher vocational","Urban Area","417","0.571182029340119","0.535427345675611","0.606936713004627","1"
"Yes","2001","higher vocational","Rural Area","162","0.413454559050593","0.364263921593289","0.462645196507897","1"
"Yes","2001","higher education","Urban Area","1083","0.596655980193028","0.573949084954271","0.619362875431784","1"
"Yes","2001","higher education","Rural Area","454","0.558790123074945","0.523854845041853","0.593725401108037","1"
"No","2002","higher vocational","Urban Area","","","","","2"
"No","2002","in school","Rural Area","","","","","2"
"No","2002","higher education","Rural Area","","","","","2"
"No","2002","higher vocational","Rural Area","","","","","2"
"No","2002","higher education","Urban Area","","","","","2"
"No","2002","inadequately","Urban Area","","","","","2"
"No","2002","inadequately","Rural Area","","","","","2"
"No","2002","middle vocational","Rural Area","","","","","2"
"No","2002","vocational + Abi","Urban Area","","","","","2"
"No","2002","vocational + Abi","Rural Area","","","","","2"
"No","2002","in school","Urban Area","","","","","2"
"No","2002","general elemantary","Urban Area","","","","","2"
"No","2002","general elemantary","Rural Area","","","","","2"
"No","2002","middle vocational","Urban Area","","","","","2"
"Yes","2002","in school","Urban Area","","","","","1"
"Yes","2002","in school","Rural Area","","","","","1"
"Yes","2002","inadequately","Urban Area","","","","","1"
"Yes","2002","inadequately","Rural Area","","","","","1"
"Yes","2002","general elemantary","Urban Area","","","","","1"
"Yes","2002","general elemantary","Rural Area","","","","","1"
"Yes","2002","middle vocational","Urban Area","","","","","1"
"Yes","2002","middle vocational","Rural Area","","","","","1"
"Yes","2002","vocational + Abi","Urban Area","","","","","1"
"Yes","2002","vocational + Abi","Rural Area","","","","","1"
"Yes","2002","higher vocational","Urban Area","","","","","1"
"Yes","2002","higher vocational","Rural Area","","","","","1"
"Yes","2002","higher education","Urban Area","","","","","1"
"Yes","2002","higher education","Rural Area","","","","","1"
"No","2003","in school","Rural Area","","","","","2"
"No","2003","higher vocational","Urban Area","","","","","2"
"No","2003","higher vocational","Rural Area","","","","","2"
"No","2003","higher education","Urban Area","","","","","2"
"No","2003","higher education","Rural Area","","","","","2"
"No","2003","inadequately","Urban Area","","","","","2"
"No","2003","inadequately","Rural Area","","","","","2"
"No","2003","middle vocational","Rural Area","","","","","2"
"No","2003","vocational + Abi","Urban Area","","","","","2"
"No","2003","vocational + Abi","Rural Area","","","","","2"
