"plb0050","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Not Employed","no migration background","40","0.238416022633735","0.174549002383023","0.302283042884447"
"Yes","2001","Not Employed","direct migration background","11","","",""
"Yes","2001","Not Employed","indirect migration background","4","","",""
"Yes","2001","Employed","no migration background","5277","0.518594464635251","0.508930540935957","0.528258388334546"
"Yes","2001","Employed","direct migration background","844","0.509146073569822","0.484425568900324","0.533866578239319"
"Yes","2001","Employed","indirect migration background","229","0.509779018821911","0.463539655402753","0.55601838224107"
"No","2001","Not Employed","no migration background","131","0.761583977366265","0.697716957115553","0.825450997616977"
"No","2001","Not Employed","direct migration background","19","","",""
"No","2001","Not Employed","indirect migration background","9","","",""
"No","2001","Employed","no migration background","4992","0.481405535364749","0.471741611665454","0.491069459064043"
"No","2001","Employed","direct migration background","727","0.490853926430178","0.466133421760681","0.515574431099676"
"No","2001","Employed","indirect migration background","220","0.490220981178089","0.443981617758931","0.536460344597247"
"Yes","2002","Not Employed","no migration background","","","",""
"Yes","2002","Not Employed","direct migration background","","","",""
"Yes","2002","Not Employed","indirect migration background","","","",""
"Yes","2002","Employed","no migration background","","","",""
"Yes","2002","Employed","direct migration background","","","",""
"Yes","2002","Employed","indirect migration background","","","",""
"No","2002","Not Employed","no migration background","","","",""
"No","2002","Not Employed","direct migration background","","","",""
"No","2002","Not Employed","indirect migration background","","","",""
"No","2002","Employed","no migration background","","","",""
"No","2002","Employed","direct migration background","","","",""
"No","2002","Employed","indirect migration background","","","",""
"Yes","2003","Not Employed","no migration background","","","",""
"Yes","2003","Not Employed","direct migration background","","","",""
"Yes","2003","Not Employed","indirect migration background","","","",""
"Yes","2003","Employed","no migration background","","","",""
"Yes","2003","Employed","direct migration background","","","",""
"Yes","2003","Employed","indirect migration background","","","",""
"No","2003","Not Employed","no migration background","","","",""
"No","2003","Not Employed","direct migration background","","","",""
"No","2003","Not Employed","indirect migration background","","","",""
"No","2003","Employed","no migration background","","","",""
"No","2003","Employed","direct migration background","","","",""
"No","2003","Employed","indirect migration background","","","",""
"Yes","2004","Not Employed","no migration background","","","",""
"Yes","2004","Not Employed","direct migration background","","","",""
"Yes","2004","Not Employed","indirect migration background","","","",""
"Yes","2004","Employed","no migration background","","","",""
"Yes","2004","Employed","direct migration background","","","",""
"Yes","2004","Employed","indirect migration background","","","",""
"No","2004","Not Employed","no migration background","","","",""
"No","2004","Not Employed","direct migration background","","","",""
"No","2004","Not Employed","indirect migration background","","","",""
"No","2004","Employed","no migration background","","","",""
"No","2004","Employed","direct migration background","","","",""
"No","2004","Employed","indirect migration background","","","",""
"Yes","2005","Not Employed","no migration background","","","",""
"Yes","2005","Not Employed","direct migration background","","","",""
"Yes","2005","Not Employed","indirect migration background","","","",""
"Yes","2005","Employed","no migration background","","","",""
"Yes","2005","Employed","direct migration background","","","",""
"Yes","2005","Employed","indirect migration background","","","",""
"No","2005","Not Employed","no migration background","","","",""
"No","2005","Not Employed","direct migration background","","","",""
"No","2005","Not Employed","indirect migration background","","","",""
"No","2005","Employed","no migration background","","","",""
"No","2005","Employed","direct migration background","","","",""
"No","2005","Employed","indirect migration background","","","",""
"Yes","2006","Not Employed","no migration background","41","0.280813888402537","0.208412453918136","0.353215322886939"
"Yes","2006","Not Employed","direct migration background","11","","",""
"Yes","2006","Not Employed","indirect migration background","4","","",""
"Yes","2006","Employed","no migration background","5273","0.508654661057083","0.498984083871661","0.518325238242505"
"Yes","2006","Employed","direct migration background","624","0.487757187062781","0.459393176087799","0.516121198037763"
"Yes","2006","Employed","indirect migration background","236","0.513260115134814","0.468216343635694","0.558303886633934"
"No","2006","Not Employed","no migration background","107","0.719186111597463","0.646784677113061","0.791587546081864"
"No","2006","Not Employed","direct migration background","27","","",""
"No","2006","Not Employed","indirect migration background","6","","",""
"No","2006","Employed","no migration background","4993","0.491345338942917","0.481674761757495","0.501015916128339"
"No","2006","Employed","direct migration background","569","0.512242812937219","0.483878801962237","0.540606823912201"
"No","2006","Employed","indirect migration background","237","0.486739884865186","0.441696113366065","0.531783656364306"
"Yes","2007","Not Employed","no migration background","","","",""
"Yes","2007","Not Employed","direct migration background","","","",""
"Yes","2007","Not Employed","indirect migration background","","","",""
"Yes","2007","Employed","no migration background","","","",""
"Yes","2007","Employed","direct migration background","","","",""
"Yes","2007","Employed","indirect migration background","","","",""
"No","2007","Not Employed","no migration background","","","",""
"No","2007","Not Employed","direct migration background","","","",""
"No","2007","Not Employed","indirect migration background","","","",""
"No","2007","Employed","no migration background","","","",""
"No","2007","Employed","direct migration background","","","",""
"No","2007","Employed","indirect migration background","","","",""
"Yes","2008","Not Employed","no migration background","","","",""
"Yes","2008","Not Employed","direct migration background","","","",""
"Yes","2008","Not Employed","indirect migration background","","","",""
"Yes","2008","Employed","no migration background","","","",""
"Yes","2008","Employed","direct migration background","","","",""
"Yes","2008","Employed","indirect migration background","","","",""
"No","2008","Not Employed","no migration background","","","",""
"No","2008","Not Employed","direct migration background","","","",""
"No","2008","Not Employed","indirect migration background","","","",""
"No","2008","Employed","no migration background","","","",""
"No","2008","Employed","direct migration background","","","",""
"No","2008","Employed","indirect migration background","","","",""
"Yes","2009","Not Employed","no migration background","","","",""
"Yes","2009","Not Employed","direct migration background","","","",""
"Yes","2009","Not Employed","indirect migration background","","","",""
"Yes","2009","Employed","no migration background","","","",""
"Yes","2009","Employed","direct migration background","","","",""
"Yes","2009","Employed","indirect migration background","","","",""
"No","2009","Not Employed","no migration background","","","",""
"No","2009","Not Employed","direct migration background","","","",""
"No","2009","Not Employed","indirect migration background","","","",""
"No","2009","Employed","no migration background","","","",""
"No","2009","Employed","direct migration background","","","",""
"No","2009","Employed","indirect migration background","","","",""
"Yes","2010","Not Employed","no migration background","","","",""
"Yes","2010","Not Employed","direct migration background","","","",""
"Yes","2010","Not Employed","indirect migration background","","","",""
"Yes","2010","Employed","no migration background","","","",""
"Yes","2010","Employed","direct migration background","","","",""
"Yes","2010","Employed","indirect migration background","","","",""
"No","2010","Not Employed","no migration background","","","",""
"No","2010","Not Employed","direct migration background","","","",""
"No","2010","Not Employed","indirect migration background","","","",""
"No","2010","Employed","no migration background","","","",""
"No","2010","Employed","direct migration background","","","",""
"No","2010","Employed","indirect migration background","","","",""
"Yes","2011","Not Employed","no migration background","54","0.452188163918231","0.365966101452874","0.538410226383588"
"Yes","2011","Not Employed","direct migration background","6","","",""
"Yes","2011","Not Employed","indirect migration background","6","","",""
"Yes","2011","Employed","no migration background","5099","0.542438567318151","0.532418864106434","0.552458270529867"
"Yes","2011","Employed","direct migration background","502","0.514775654381824","0.483404819681859","0.546146489081789"
"Yes","2011","Employed","indirect migration background","273","0.541692737574375","0.497799221858021","0.585586253290728"
"No","2011","Not Employed","no migration background","74","0.547811836081769","0.461589773616412","0.634033898547126"
"No","2011","Not Employed","direct migration background","11","","",""
"No","2011","Not Employed","indirect migration background","6","","",""
"No","2011","Employed","no migration background","4398","0.457561432681849","0.447541729470133","0.467581135893566"
"No","2011","Employed","direct migration background","473","0.485224345618176","0.453853510918211","0.516595180318141"
"No","2011","Employed","indirect migration background","222","0.458307262425625","0.414413746709272","0.502200778141979"
"Yes","2012","Not Employed","no migration background","","","",""
"Yes","2012","Not Employed","direct migration background","","","",""
"Yes","2012","Not Employed","indirect migration background","","","",""
"Yes","2012","Employed","no migration background","","","",""
"Yes","2012","Employed","direct migration background","","","",""
"Yes","2012","Employed","indirect migration background","","","",""
"No","2012","Not Employed","no migration background","","","",""
"No","2012","Not Employed","direct migration background","","","",""
"No","2012","Not Employed","indirect migration background","","","",""
"No","2012","Employed","no migration background","","","",""
"No","2012","Employed","direct migration background","","","",""
"No","2012","Employed","indirect migration background","","","",""
"Yes","2013","Not Employed","no migration background","","","",""
"Yes","2013","Not Employed","direct migration background","","","",""
"Yes","2013","Not Employed","indirect migration background","","","",""
"Yes","2013","Employed","no migration background","","","",""
"Yes","2013","Employed","direct migration background","","","",""
"Yes","2013","Employed","indirect migration background","","","",""
"No","2013","Not Employed","no migration background","","","",""
"No","2013","Not Employed","direct migration background","","","",""
"No","2013","Not Employed","indirect migration background","","","",""
"No","2013","Employed","no migration background","","","",""
"No","2013","Employed","direct migration background","","","",""
"No","2013","Employed","indirect migration background","","","",""
"Yes","2014","Not Employed","no migration background","","","",""
"Yes","2014","Not Employed","direct migration background","","","",""
"Yes","2014","Not Employed","indirect migration background","","","",""
"Yes","2014","Employed","no migration background","","","",""
"Yes","2014","Employed","direct migration background","","","",""
"Yes","2014","Employed","indirect migration background","","","",""
"No","2014","Not Employed","no migration background","","","",""
"No","2014","Not Employed","direct migration background","","","",""
"No","2014","Not Employed","indirect migration background","","","",""
"No","2014","Employed","no migration background","","","",""
"No","2014","Employed","direct migration background","","","",""
"No","2014","Employed","indirect migration background","","","",""
"Yes","2015","Not Employed","no migration background","","","",""
"Yes","2015","Not Employed","direct migration background","","","",""
"Yes","2015","Not Employed","indirect migration background","","","",""
"Yes","2015","Employed","no migration background","","","",""
"Yes","2015","Employed","direct migration background","","","",""
"Yes","2015","Employed","indirect migration background","","","",""
"No","2015","Not Employed","no migration background","","","",""
"No","2015","Not Employed","direct migration background","","","",""
"No","2015","Not Employed","indirect migration background","","","",""
"No","2015","Employed","no migration background","","","",""
"No","2015","Employed","direct migration background","","","",""
"No","2015","Employed","indirect migration background","","","",""
"Yes","2016","Not Employed","no migration background","77","0.365621784580661","0.299207336367322","0.432036232794"
"Yes","2016","Not Employed","direct migration background","21","","",""
"Yes","2016","Not Employed","indirect migration background","15","","",""
