"plb0050","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Part Time","Couple + C. GT 16 ","376","0.577724776378829","0.540380697528558","0.615068855229099","2"
"No","2001","Full Time","(Married) couple without C. ","992","0.429648299213695","0.409461381161648","0.449835217265743","2"
"No","2001","Full Time","1-pers.-HH","472","0.439034932742585","0.409243805531155","0.468826059954015","2"
"No","2001","Not Working","Single parent ","17","","","","2"
"No","2001","Not Working","(Married) couple without C. ","24","","","","2"
"No","2001","Full Time","Couple + C. LE 16 ","1055","0.45230187296537","0.432187140841045","0.472416605089695","2"
"No","2001","Full Time","Couple + C. GT 16 ","724","0.442784292125004","0.418415195737306","0.467153388512702","2"
"No","2001","Part Time","(Married) couple without C. ","409","0.573050268116346","0.53738786503188","0.608712671200813","2"
"No","2001","Part Time","Single parent ","145","0.593644196025615","0.532268435857583","0.655019956193647","2"
"No","2001","Part Time","Couple + C. LE 16 ","604","0.56936590262181","0.539472336957017","0.599259468286603","2"
"No","2001","Part Time","Couple + C. LE and GT 16","250","0.624267940236127","0.57644628295068","0.672089597521574","2"
"No","2001","Not Working","1-pers.-HH","15","","","","2"
"No","2001","Not Working","Couple + C. GT 16 ","28","","","","2"
"No","2001","Not Working","Couple + C. LE and GT 16","20","","","","2"
"No","2001","Full Time","Single parent ","182","0.431826774126249","0.382917057641","0.480736490611497","2"
"No","2001","Not Working","Couple + C. LE 16 ","49","0.654520282596912","0.546900950658364","0.76213961453546","2"
"No","2001","Full Time","Couple + C. LE and GT 16","352","0.469577818824583","0.433978700596627","0.505176937052539","2"
"No","2001","Part Time","1-pers.-HH","191","0.594899293660707","0.542172762407966","0.647625824913448","2"
"Yes","2001","Full Time","1-pers.-HH","594","0.560965067257415","0.531173940045985","0.590756194468845","1"
"Yes","2001","Full Time","(Married) couple without C. ","1318","0.570351700786305","0.550164782734257","0.590538618838352","1"
"Yes","2001","Full Time","Single parent ","212","0.568173225873751","0.519263509388503","0.617082942359","1"
"Yes","2001","Full Time","Couple + C. LE 16 ","1297","0.54769812703463","0.527583394910305","0.567812859158955","1"
"Yes","2001","Full Time","Couple + C. GT 16 ","872","0.557215707874996","0.532846611487298","0.581584804262694","1"
"Yes","2001","Full Time","Couple + C. LE and GT 16","403","0.530422181175417","0.494823062947462","0.566021299403373","1"
"Yes","2001","Part Time","1-pers.-HH","142","0.405100706339293","0.352374175086552","0.457827237592033","1"
"Yes","2001","Part Time","(Married) couple without C. ","330","0.426949731883654","0.391287328799187","0.46261213496812","1"
"Yes","2001","Part Time","Single parent ","101","0.406355803974385","0.344980043806353","0.467731564142417","1"
"Yes","2001","Part Time","Couple + C. LE 16 ","450","0.43063409737819","0.400740531713397","0.460527663042983","1"
"Yes","2001","Part Time","Couple + C. GT 16 ","296","0.422275223621171","0.384931144770901","0.459619302471442","1"
"Yes","2001","Part Time","Couple + C. LE and GT 16","144","0.375732059763873","0.327910402478426","0.42355371704932","1"
"Yes","2001","Not Working","1-pers.-HH","5","","","","1"
"Yes","2001","Not Working","(Married) couple without C. ","5","","","","1"
"Yes","2001","Not Working","Single parent ","3","","","","1"
"Yes","2001","Not Working","Couple + C. LE 16 ","26","","","","1"
"Yes","2001","Not Working","Couple + C. GT 16 ","9","","","","1"
"Yes","2001","Not Working","Couple + C. LE and GT 16","6","","","","1"
"No","2002","Part Time","Couple + C. GT 16 ","","","","","2"
"No","2002","Full Time","1-pers.-HH","","","","","2"
"No","2002","Not Working","Single parent ","","","","","2"
"No","2002","Not Working","(Married) couple without C. ","","","","","2"
"No","2002","Not Working","1-pers.-HH","","","","","2"
"No","2002","Full Time","(Married) couple without C. ","","","","","2"
"No","2002","Part Time","Couple + C. LE and GT 16","","","","","2"
"No","2002","Full Time","Single parent ","","","","","2"
"No","2002","Full Time","Couple + C. LE 16 ","","","","","2"
"No","2002","Full Time","Couple + C. GT 16 ","","","","","2"
"No","2002","Part Time","(Married) couple without C. ","","","","","2"
"No","2002","Part Time","Single parent ","","","","","2"
"No","2002","Part Time","Couple + C. LE 16 ","","","","","2"
"No","2002","Not Working","Couple + C. GT 16 ","","","","","2"
"No","2002","Not Working","Couple + C. LE and GT 16","","","","","2"
"No","2002","Not Working","Couple + C. LE 16 ","","","","","2"
"No","2002","Full Time","Couple + C. LE and GT 16","","","","","2"
"No","2002","Part Time","1-pers.-HH","","","","","2"
