"plb0050","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","1867","0.481227090618394","0.465597895185018","0.496856286051771"
"Yes","2001","secondary school degree","2273","0.515076875437107","0.50047480941265","0.529678941461564"
"Yes","2001","college entrance qualification","1775","0.562998108183549","0.545523280954553","0.580472935412545"
"Yes","2001","Other degree","401","0.514330660534206","0.478441648304828","0.550219672763584"
"Yes","2001","no degree/no degree yet","72","0.379783155303584","0.309272942594201","0.450293368012967"
"No","2001","lower secondary degree","2059","0.518772909381606","0.503143713948229","0.534402104814982"
"No","2001","secondary school degree","2227","0.484923124562893","0.470321058538436","0.49952519058735"
"No","2001","college entrance qualification","1320","0.437001891816451","0.419527064587455","0.454476719045447"
"No","2001","Other degree","344","0.485669339465794","0.449780327236417","0.521558351695172"
"No","2001","no degree/no degree yet","110","0.620216844696416","0.549706631987033","0.690727057405799"
"Yes","2002","lower secondary degree","","","",""
"Yes","2002","secondary school degree","","","",""
"Yes","2002","college entrance qualification","","","",""
"Yes","2002","Other degree","","","",""
"Yes","2002","no degree/no degree yet","","","",""
"No","2002","lower secondary degree","","","",""
"No","2002","secondary school degree","","","",""
"No","2002","college entrance qualification","","","",""
"No","2002","Other degree","","","",""
"No","2002","no degree/no degree yet","","","",""
"Yes","2003","lower secondary degree","","","",""
"Yes","2003","secondary school degree","","","",""
"Yes","2003","college entrance qualification","","","",""
"Yes","2003","Other degree","","","",""
"Yes","2003","no degree/no degree yet","","","",""
"No","2003","lower secondary degree","","","",""
"No","2003","secondary school degree","","","",""
"No","2003","college entrance qualification","","","",""
"No","2003","Other degree","","","",""
"No","2003","no degree/no degree yet","","","",""
"Yes","2004","lower secondary degree","","","",""
"Yes","2004","secondary school degree","","","",""
"Yes","2004","college entrance qualification","","","",""
"Yes","2004","Other degree","","","",""
"Yes","2004","no degree/no degree yet","","","",""
"No","2004","lower secondary degree","","","",""
"No","2004","secondary school degree","","","",""
"No","2004","college entrance qualification","","","",""
"No","2004","Other degree","","","",""
"No","2004","no degree/no degree yet","","","",""
"Yes","2005","lower secondary degree","","","",""
"Yes","2005","secondary school degree","","","",""
"Yes","2005","college entrance qualification","","","",""
"Yes","2005","Other degree","","","",""
"Yes","2005","no degree/no degree yet","","","",""
"No","2005","lower secondary degree","","","",""
"No","2005","secondary school degree","","","",""
"No","2005","college entrance qualification","","","",""
"No","2005","Other degree","","","",""
"No","2005","no degree/no degree yet","","","",""
"Yes","2006","lower secondary degree","1401","0.465932314798348","0.448158805093585","0.483705824503111"
"Yes","2006","secondary school degree","2149","0.509254505220843","0.494366051349783","0.524142959091903"
"Yes","2006","college entrance qualification","2214","0.55936443237088","0.543653715910284","0.575075148831476"
"Yes","2006","Other degree","293","0.463572069735938","0.423368124513414","0.503776014958462"
"Yes","2006","no degree/no degree yet","38","0.320477365865851","0.234052298958555","0.406902432773147"
"No","2006","lower secondary degree","1625","0.534067685201652","0.516294175496889","0.551841194906415"
"No","2006","secondary school degree","2182","0.490745494779157","0.475857040908097","0.505633948650217"
"No","2006","college entrance qualification","1622","0.44063556762912","0.424924851168524","0.456346284089716"
"No","2006","Other degree","298","0.536427930264062","0.496223985041539","0.576631875486586"
