"plb0050","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","66 and older","higher education","23","","","","2"
"No","2001","66 and older","inadequately","","","","","2"
"No","2001","66 and older","middle vocational","41","0.850820232324856","0.747866275426407","0.953774189223306","2"
"No","2001","66 and older","higher vocational","5","","","","2"
"No","2001","66 and older","general elemantary","6","","","","2"
"No","2001","66 and older","vocational + Abi","4","","","","2"
"No","2001","16-34 y.","in school","59","0.839628165441749","0.754868469369457","0.924387861514042","2"
"No","2001","16-34 y.","general elemantary","413","0.596613397161089","0.559982655155798","0.633244139166379","2"
"No","2001","16-34 y.","higher vocational","138","0.53239324356306","0.47162805282386","0.593158434302259","2"
"No","2001","35-65 y.","in school","","","","","2"
"No","2001","35-65 y.","middle vocational","2174","0.480514682434206","0.465845177085113","0.495184187783299","2"
"No","2001","35-65 y.","vocational + Abi","179","0.4531487817318","0.403097950668184","0.503199612795417","2"
"No","2001","35-65 y.","higher vocational","399","0.456971046144343","0.423580704030501","0.490361388258184","2"
"No","2001","35-65 y.","higher education","789","0.395230024404599","0.373862110196215","0.416597938612982","2"
"No","2001","66 and older","in school","","","","","2"
"No","2001","16-34 y.","inadequately","19","","","","2"
"No","2001","16-34 y.","middle vocational","1164","0.549028170049137","0.527891708611105","0.570164631487168","2"
"No","2001","16-34 y.","higher education","220","0.442778201237827","0.400490184179304","0.485066218296349","2"
"No","2001","35-65 y.","inadequately","29","","","","2"
"No","2001","16-34 y.","vocational + Abi","141","0.450544479844128","0.39585930084815","0.505229658840106","2"
"No","2001","35-65 y.","general elemantary","265","0.483168479392908","0.442000109695619","0.524336849090196","2"
"Yes","2001","16-34 y.","in school","13","","","","1"
"Yes","2001","16-34 y.","inadequately","15","","","","1"
"Yes","2001","16-34 y.","general elemantary","276","0.403386602838911","0.366755860833621","0.440017344844202","1"
"Yes","2001","16-34 y.","middle vocational","965","0.450971829950863","0.429835368512832","0.472108291388895","1"
"Yes","2001","16-34 y.","vocational + Abi","177","0.549455520155872","0.494770341159894","0.60414069915185","1"
"Yes","2001","16-34 y.","higher vocational","121","0.467606756436941","0.406841565697741","0.52837194717614","1"
"Yes","2001","16-34 y.","higher education","310","0.557221798762173","0.514933781703651","0.599509815820696","1"
