"plb0050","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","no migration background","1551","0.484650567824236","0.467573417321214","0.501727718327258"
"Yes","2001","lower secondary degree","direct migration background","226","0.461853292887396","0.415217625446602","0.50848896032819"
"Yes","2001","lower secondary degree","indirect migration background","90","0.449114881138158","0.379656569724243","0.518573192552073"
"Yes","2001","secondary school degree","no migration background","2094","0.513506107586982","0.498352242783123","0.528659972390842"
"Yes","2001","secondary school degree","direct migration background","99","0.52399901420593","0.450004720732536","0.597993307679323"
"Yes","2001","secondary school degree","indirect migration background","80","0.552785356062566","0.472134694181861","0.633436017943271"
"Yes","2001","college entrance qualification","no migration background","1618","0.563287408324689","0.544932824704631","0.581641991944748"
"Yes","2001","college entrance qualification","direct migration background","98","0.554133145917316","0.48326895268078","0.624997339153853"
"Yes","2001","college entrance qualification","indirect migration background","59","0.575070149197417","0.478663622410658","0.671476675984175"
"Yes","2001","Other degree","no migration background","14","","",""
"Yes","2001","Other degree","direct migration background","385","0.51444018212923","0.477703316290986","0.551177047967474"
"Yes","2001","Other degree","indirect migration background","2","","",""
"Yes","2001","no degree/no degree yet","no migration background","26","","",""
"Yes","2001","no degree/no degree yet","direct migration background","44","0.535239270526167","0.424554087615699","0.645924453436636"
"Yes","2001","no degree/no degree yet","indirect migration background","2","","",""
"No","2001","lower secondary degree","no migration background","1739","0.515349432175764","0.498272281672743","0.532426582678786"
"No","2001","lower secondary degree","direct migration background","213","0.538146707112604","0.49151103967181","0.584782374553398"
"No","2001","lower secondary degree","indirect migration background","107","0.550885118861842","0.481426807447927","0.620343430275756"
"No","2001","secondary school degree","no migration background","2085","0.486493892413018","0.471340027609158","0.501647757216877"
"No","2001","secondary school degree","direct migration background","76","0.47600098579407","0.402006692320677","0.549995279267464"
"No","2001","secondary school degree","indirect migration background","66","0.447214643937434","0.366563982056729","0.52786530581814"
"No","2001","college entrance qualification","no migration background","1187","0.436712591675311","0.418358008055252","0.455067175295369"
"No","2001","college entrance qualification","direct migration background","91","0.445866854082684","0.375002660846147","0.51673104731922"
"No","2001","college entrance qualification","indirect migration background","42","0.424929850802583","0.328523324015825","0.521336377589342"
"No","2001","Other degree","no migration background","15","","",""
"No","2001","Other degree","direct migration background","326","0.48555981787077","0.448822952032526","0.522296683709014"
"No","2001","Other degree","indirect migration background","3","","",""
"No","2001","no degree/no degree yet","no migration background","70","0.719268708120042","0.629380345410988","0.809157070829096"
"No","2001","no degree/no degree yet","direct migration background","34","0.464760729473833","0.354075546563364","0.575445912384301"
"No","2001","no degree/no degree yet","indirect migration background","6","","",""
"Yes","2002","lower secondary degree","no migration background","","","",""
"Yes","2002","lower secondary degree","direct migration background","","","",""
"Yes","2002","lower secondary degree","indirect migration background","","","",""
"Yes","2002","secondary school degree","no migration background","","","",""
"Yes","2002","secondary school degree","direct migration background","","","",""
"Yes","2002","secondary school degree","indirect migration background","","","",""
"Yes","2002","college entrance qualification","no migration background","","","",""
"Yes","2002","college entrance qualification","direct migration background","","","",""
"Yes","2002","college entrance qualification","indirect migration background","","","",""
"Yes","2002","Other degree","no migration background","","","",""
"Yes","2002","Other degree","direct migration background","","","",""
"Yes","2002","Other degree","indirect migration background","","","",""
"Yes","2002","no degree/no degree yet","no migration background","","","",""
"Yes","2002","no degree/no degree yet","direct migration background","","","",""
"Yes","2002","no degree/no degree yet","indirect migration background","","","",""
"No","2002","lower secondary degree","no migration background","","","",""
"No","2002","lower secondary degree","direct migration background","","","",""
"No","2002","lower secondary degree","indirect migration background","","","",""
"No","2002","secondary school degree","no migration background","","","",""
"No","2002","secondary school degree","direct migration background","","","",""
"No","2002","secondary school degree","indirect migration background","","","",""
"No","2002","college entrance qualification","no migration background","","","",""
"No","2002","college entrance qualification","direct migration background","","","",""
"No","2002","college entrance qualification","indirect migration background","","","",""
"No","2002","Other degree","no migration background","","","",""
"No","2002","Other degree","direct migration background","","","",""
"No","2002","Other degree","indirect migration background","","","",""
"No","2002","no degree/no degree yet","no migration background","","","",""
"No","2002","no degree/no degree yet","direct migration background","","","",""
"No","2002","no degree/no degree yet","indirect migration background","","","",""
"Yes","2003","lower secondary degree","no migration background","","","",""
"Yes","2003","lower secondary degree","direct migration background","","","",""
"Yes","2003","lower secondary degree","indirect migration background","","","",""
"Yes","2003","secondary school degree","no migration background","","","",""
"Yes","2003","secondary school degree","direct migration background","","","",""
"Yes","2003","secondary school degree","indirect migration background","","","",""
"Yes","2003","college entrance qualification","no migration background","","","",""
"Yes","2003","college entrance qualification","direct migration background","","","",""
"Yes","2003","college entrance qualification","indirect migration background","","","",""
"Yes","2003","Other degree","no migration background","","","",""
"Yes","2003","Other degree","direct migration background","","","",""
"Yes","2003","Other degree","indirect migration background","","","",""
"Yes","2003","no degree/no degree yet","no migration background","","","",""
"Yes","2003","no degree/no degree yet","direct migration background","","","",""
"Yes","2003","no degree/no degree yet","indirect migration background","","","",""
"No","2003","lower secondary degree","no migration background","","","",""
"No","2003","lower secondary degree","direct migration background","","","",""
"No","2003","lower secondary degree","indirect migration background","","","",""
"No","2003","secondary school degree","no migration background","","","",""
"No","2003","secondary school degree","direct migration background","","","",""
"No","2003","secondary school degree","indirect migration background","","","",""
"No","2003","college entrance qualification","no migration background","","","",""
"No","2003","college entrance qualification","direct migration background","","","",""
"No","2003","college entrance qualification","indirect migration background","","","",""
"No","2003","Other degree","no migration background","","","",""
"No","2003","Other degree","direct migration background","","","",""
"No","2003","Other degree","indirect migration background","","","",""
"No","2003","no degree/no degree yet","no migration background","","","",""
"No","2003","no degree/no degree yet","direct migration background","","","",""
"No","2003","no degree/no degree yet","indirect migration background","","","",""
"Yes","2004","lower secondary degree","no migration background","","","",""
"Yes","2004","lower secondary degree","direct migration background","","","",""
"Yes","2004","lower secondary degree","indirect migration background","","","",""
"Yes","2004","secondary school degree","no migration background","","","",""
"Yes","2004","secondary school degree","direct migration background","","","",""
"Yes","2004","secondary school degree","indirect migration background","","","",""
"Yes","2004","college entrance qualification","no migration background","","","",""
"Yes","2004","college entrance qualification","direct migration background","","","",""
"Yes","2004","college entrance qualification","indirect migration background","","","",""
"Yes","2004","Other degree","no migration background","","","",""
"Yes","2004","Other degree","direct migration background","","","",""
"Yes","2004","Other degree","indirect migration background","","","",""
"Yes","2004","no degree/no degree yet","no migration background","","","",""
"Yes","2004","no degree/no degree yet","direct migration background","","","",""
"Yes","2004","no degree/no degree yet","indirect migration background","","","",""
"No","2004","lower secondary degree","no migration background","","","",""
"No","2004","lower secondary degree","direct migration background","","","",""
"No","2004","lower secondary degree","indirect migration background","","","",""
"No","2004","secondary school degree","no migration background","","","",""
"No","2004","secondary school degree","direct migration background","","","",""
"No","2004","secondary school degree","indirect migration background","","","",""
"No","2004","college entrance qualification","no migration background","","","",""
"No","2004","college entrance qualification","direct migration background","","","",""
"No","2004","college entrance qualification","indirect migration background","","","",""
"No","2004","Other degree","no migration background","","","",""
"No","2004","Other degree","direct migration background","","","",""
"No","2004","Other degree","indirect migration background","","","",""
"No","2004","no degree/no degree yet","no migration background","","","",""
"No","2004","no degree/no degree yet","direct migration background","","","",""
"No","2004","no degree/no degree yet","indirect migration background","","","",""
"Yes","2005","lower secondary degree","no migration background","","","",""
"Yes","2005","lower secondary degree","direct migration background","","","",""
"Yes","2005","lower secondary degree","indirect migration background","","","",""
"Yes","2005","secondary school degree","no migration background","","","",""
"Yes","2005","secondary school degree","direct migration background","","","",""
"Yes","2005","secondary school degree","indirect migration background","","","",""
"Yes","2005","college entrance qualification","no migration background","","","",""
"Yes","2005","college entrance qualification","direct migration background","","","",""
"Yes","2005","college entrance qualification","indirect migration background","","","",""
"Yes","2005","Other degree","no migration background","","","",""
"Yes","2005","Other degree","direct migration background","","","",""
"Yes","2005","Other degree","indirect migration background","","","",""
"Yes","2005","no degree/no degree yet","no migration background","","","",""
"Yes","2005","no degree/no degree yet","direct migration background","","","",""
"Yes","2005","no degree/no degree yet","indirect migration background","","","",""
"No","2005","lower secondary degree","no migration background","","","",""
"No","2005","lower secondary degree","direct migration background","","","",""
"No","2005","lower secondary degree","indirect migration background","","","",""
"No","2005","secondary school degree","no migration background","","","",""
"No","2005","secondary school degree","direct migration background","","","",""
"No","2005","secondary school degree","indirect migration background","","","",""
"No","2005","college entrance qualification","no migration background","","","",""
"No","2005","college entrance qualification","direct migration background","","","",""
"No","2005","college entrance qualification","indirect migration background","","","",""
"No","2005","Other degree","no migration background","","","",""
"No","2005","Other degree","direct migration background","","","",""
"No","2005","Other degree","indirect migration background","","","",""
"No","2005","no degree/no degree yet","no migration background","","","",""
"No","2005","no degree/no degree yet","direct migration background","","","",""
"No","2005","no degree/no degree yet","indirect migration background","","","",""
"Yes","2006","lower secondary degree","no migration background","1177","0.470395821726426","0.451061206331255","0.489730437121597"
"Yes","2006","lower secondary degree","direct migration background","163","0.477395736883829","0.422060513875777","0.532730959891881"
"Yes","2006","lower secondary degree","indirect migration background","61","0.369756333328948","0.293264612481824","0.446248054176072"
"Yes","2006","secondary school degree","no migration background","1996","0.50555567636915","0.490136742078631","0.52097461065967"
"Yes","2006","secondary school degree","direct migration background","72","0.521348443327354","0.440039584025417","0.60265730262929"
"Yes","2006","secondary school degree","indirect migration background","81","0.577564390024707","0.497715315225592","0.657413464823821"
"Yes","2006","college entrance qualification","no migration background","2035","0.557386481113268","0.540978040402999","0.573794921823537"
"Yes","2006","college entrance qualification","direct migration background","99","0.524431068090357","0.451271266476546","0.597590869704168"
"Yes","2006","college entrance qualification","indirect migration background","80","0.655618204129558","0.576051127385309","0.735185280873807"
"Yes","2006","Other degree","no migration background","19","","",""
"Yes","2006","Other degree","direct migration background","269","0.468205859464566","0.425724309644978","0.510687409284155"
"Yes","2006","Other degree","indirect migration background","5","","",""
"Yes","2006","no degree/no degree yet","no migration background","16","","",""
"Yes","2006","no degree/no degree yet","direct migration background","22","","",""
"Yes","2006","no degree/no degree yet","indirect migration background","","","",""
"No","2006","lower secondary degree","no migration background","1383","0.529604178273574","0.510269562878403","0.548938793668745"
"No","2006","lower secondary degree","direct migration background","150","0.522604263116171","0.467269040108119","0.577939486124223"
"No","2006","lower secondary degree","indirect migration background","92","0.630243666671052","0.553751945823928","0.706735387518176"
"No","2006","secondary school degree","no migration background","2043","0.49444432363085","0.47902538934033","0.509863257921369"
"No","2006","secondary school degree","direct migration background","73","0.478651556672647","0.397342697370711","0.559960415974583"
"No","2006","secondary school degree","indirect migration background","66","0.422435609975293","0.342586535176179","0.502284684774408"
"No","2006","college entrance qualification","no migration background","1485","0.442613518886732","0.426205078176463","0.459021959597001"
"No","2006","college entrance qualification","direct migration background","80","0.475568931909643","0.402409130295832","0.548728733523454"
"No","2006","college entrance qualification","indirect migration background","57","0.344381795870442","0.264814719126193","0.423948872614691"
"No","2006","Other degree","no migration background","35","0.612514501774902","0.482576218214279","0.742452785335524"
"No","2006","Other degree","direct migration background","261","0.531794140535434","0.489312590715845","0.574275690355022"
"No","2006","Other degree","indirect migration background","2","","",""
"No","2006","no degree/no degree yet","no migration background","52","0.740266069521344","0.636045869978957","0.844486269063732"
"No","2006","no degree/no degree yet","direct migration background","17","","",""
"No","2006","no degree/no degree yet","indirect migration background","5","","",""
"Yes","2007","lower secondary degree","no migration background","","","",""
"Yes","2007","lower secondary degree","direct migration background","","","",""
"Yes","2007","lower secondary degree","indirect migration background","","","",""
"Yes","2007","secondary school degree","no migration background","","","",""
"Yes","2007","secondary school degree","direct migration background","","","",""
"Yes","2007","secondary school degree","indirect migration background","","","",""
"Yes","2007","college entrance qualification","no migration background","","","",""
"Yes","2007","college entrance qualification","direct migration background","","","",""
"Yes","2007","college entrance qualification","indirect migration background","","","",""
"Yes","2007","Other degree","no migration background","","","",""
"Yes","2007","Other degree","direct migration background","","","",""
"Yes","2007","Other degree","indirect migration background","","","",""
"Yes","2007","no degree/no degree yet","no migration background","","","",""
"Yes","2007","no degree/no degree yet","direct migration background","","","",""
"Yes","2007","no degree/no degree yet","indirect migration background","","","",""
"No","2007","lower secondary degree","no migration background","","","",""
"No","2007","lower secondary degree","direct migration background","","","",""
"No","2007","lower secondary degree","indirect migration background","","","",""
"No","2007","secondary school degree","no migration background","","","",""
"No","2007","secondary school degree","direct migration background","","","",""
"No","2007","secondary school degree","indirect migration background","","","",""
"No","2007","college entrance qualification","no migration background","","","",""
"No","2007","college entrance qualification","direct migration background","","","",""
"No","2007","college entrance qualification","indirect migration background","","","",""
"No","2007","Other degree","no migration background","","","",""
"No","2007","Other degree","direct migration background","","","",""
"No","2007","Other degree","indirect migration background","","","",""
"No","2007","no degree/no degree yet","no migration background","","","",""
"No","2007","no degree/no degree yet","direct migration background","","","",""
"No","2007","no degree/no degree yet","indirect migration background","","","",""
"Yes","2008","lower secondary degree","no migration background","","","",""
"Yes","2008","lower secondary degree","direct migration background","","","",""
"Yes","2008","lower secondary degree","indirect migration background","","","",""
"Yes","2008","secondary school degree","no migration background","","","",""
"Yes","2008","secondary school degree","direct migration background","","","",""
"Yes","2008","secondary school degree","indirect migration background","","","",""
"Yes","2008","college entrance qualification","no migration background","","","",""
"Yes","2008","college entrance qualification","direct migration background","","","",""
"Yes","2008","college entrance qualification","indirect migration background","","","",""
"Yes","2008","Other degree","no migration background","","","",""
"Yes","2008","Other degree","direct migration background","","","",""
"Yes","2008","Other degree","indirect migration background","","","",""
"Yes","2008","no degree/no degree yet","no migration background","","","",""
"Yes","2008","no degree/no degree yet","direct migration background","","","",""
"Yes","2008","no degree/no degree yet","indirect migration background","","","",""
"No","2008","lower secondary degree","no migration background","","","",""
"No","2008","lower secondary degree","direct migration background","","","",""
"No","2008","lower secondary degree","indirect migration background","","","",""
"No","2008","secondary school degree","no migration background","","","",""
"No","2008","secondary school degree","direct migration background","","","",""
"No","2008","secondary school degree","indirect migration background","","","",""
"No","2008","college entrance qualification","no migration background","","","",""
"No","2008","college entrance qualification","direct migration background","","","",""
"No","2008","college entrance qualification","indirect migration background","","","",""
"No","2008","Other degree","no migration background","","","",""
"No","2008","Other degree","direct migration background","","","",""
"No","2008","Other degree","indirect migration background","","","",""
"No","2008","no degree/no degree yet","no migration background","","","",""
"No","2008","no degree/no degree yet","direct migration background","","","",""
"No","2008","no degree/no degree yet","indirect migration background","","","",""
"Yes","2009","lower secondary degree","no migration background","","","",""
"Yes","2009","lower secondary degree","direct migration background","","","",""
"Yes","2009","lower secondary degree","indirect migration background","","","",""
"Yes","2009","secondary school degree","no migration background","","","",""
"Yes","2009","secondary school degree","direct migration background","","","",""
"Yes","2009","secondary school degree","indirect migration background","","","",""
"Yes","2009","college entrance qualification","no migration background","","","",""
"Yes","2009","college entrance qualification","direct migration background","","","",""
"Yes","2009","college entrance qualification","indirect migration background","","","",""
"Yes","2009","Other degree","no migration background","","","",""
"Yes","2009","Other degree","direct migration background","","","",""
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","","","",""
"Yes","2009","no degree/no degree yet","direct migration background","","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"No","2009","lower secondary degree","no migration background","","","",""
"No","2009","lower secondary degree","direct migration background","","","",""
"No","2009","lower secondary degree","indirect migration background","","","",""
"No","2009","secondary school degree","no migration background","","","",""
"No","2009","secondary school degree","direct migration background","","","",""
"No","2009","secondary school degree","indirect migration background","","","",""
"No","2009","college entrance qualification","no migration background","","","",""
"No","2009","college entrance qualification","direct migration background","","","",""
"No","2009","college entrance qualification","indirect migration background","","","",""
"No","2009","Other degree","no migration background","","","",""
"No","2009","Other degree","direct migration background","","","",""
"No","2009","Other degree","indirect migration background","","","",""
"No","2009","no degree/no degree yet","no migration background","","","",""
"No","2009","no degree/no degree yet","direct migration background","","","",""
"No","2009","no degree/no degree yet","indirect migration background","","","",""
