"plb0050","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Not Employed","in school","1","","",""
"Yes","2001","Not Employed","inadequately","1","","",""
"Yes","2001","Not Employed","general elemantary","5","","",""
"Yes","2001","Not Employed","middle vocational","30","0.25400592311318","0.171909199573867","0.336102646652493"
"Yes","2001","Not Employed","vocational + Abi","3","","",""
"Yes","2001","Not Employed","higher vocational","4","","",""
"Yes","2001","Not Employed","higher education","9","","",""
"Yes","2001","Employed","in school","12","","",""
"Yes","2001","Employed","inadequately","53","0.534130440629852","0.435868276357644","0.632392604902059"
"Yes","2001","Employed","general elemantary","572","0.465090569327656","0.437159411378134","0.493021727277178"
"Yes","2001","Employed","middle vocational","3222","0.498321043477841","0.486187379669665","0.510454707286018"
"Yes","2001","Employed","vocational + Abi","375","0.545108845164877","0.508007436049591","0.582210254280163"
"Yes","2001","Employed","higher vocational","575","0.525330334651934","0.495953934154306","0.554706735149562"
"Yes","2001","Employed","higher education","1528","0.589335725215394","0.570192606019843","0.608478844410945"
"No","2001","Not Employed","in school","9","","",""
"No","2001","Not Employed","inadequately","2","","",""
"No","2001","Not Employed","general elemantary","31","0.78508415652839","0.650903731408954","0.919264581647826"
"No","2001","Not Employed","middle vocational","78","0.74599407688682","0.663897353347508","0.828090800426133"
"No","2001","Not Employed","vocational + Abi","7","","",""
"No","2001","Not Employed","higher vocational","7","","",""
"No","2001","Not Employed","higher education","23","","",""
"No","2001","Employed","in school","50","0.831134779127532","0.73788279514347","0.924386763111595"
"No","2001","Employed","inadequately","46","0.465869559370148","0.367607395097941","0.564131723642356"
"No","2001","Employed","general elemantary","653","0.534909430672344","0.506978272722822","0.562840588621866"
"No","2001","Employed","middle vocational","3301","0.501678956522158","0.489545292713982","0.513812620330335"
"No","2001","Employed","vocational + Abi","317","0.454891154835123","0.417789745719837","0.491992563950409"
"No","2001","Employed","higher vocational","535","0.474669665348066","0.445293264850438","0.504046065845694"
"No","2001","Employed","higher education","1009","0.410664274784606","0.391521155589055","0.429807393980157"
"Yes","2002","Not Employed","in school","","","",""
"Yes","2002","Not Employed","inadequately","","","",""
"Yes","2002","Not Employed","general elemantary","","","",""
"Yes","2002","Not Employed","middle vocational","","","",""
"Yes","2002","Not Employed","vocational + Abi","","","",""
"Yes","2002","Not Employed","higher vocational","","","",""
"Yes","2002","Not Employed","higher education","","","",""
"Yes","2002","Employed","in school","","","",""
"Yes","2002","Employed","inadequately","","","",""
"Yes","2002","Employed","general elemantary","","","",""
"Yes","2002","Employed","middle vocational","","","",""
"Yes","2002","Employed","vocational + Abi","","","",""
"Yes","2002","Employed","higher vocational","","","",""
"Yes","2002","Employed","higher education","","","",""
"No","2002","Not Employed","in school","","","",""
"No","2002","Not Employed","inadequately","","","",""
"No","2002","Not Employed","general elemantary","","","",""
"No","2002","Not Employed","middle vocational","","","",""
"No","2002","Not Employed","vocational + Abi","","","",""
"No","2002","Not Employed","higher vocational","","","",""
"No","2002","Not Employed","higher education","","","",""
"No","2002","Employed","in school","","","",""
"No","2002","Employed","inadequately","","","",""
"No","2002","Employed","general elemantary","","","",""
"No","2002","Employed","middle vocational","","","",""
"No","2002","Employed","vocational + Abi","","","",""
"No","2002","Employed","higher vocational","","","",""
"No","2002","Employed","higher education","","","",""
"Yes","2003","Not Employed","in school","","","",""
"Yes","2003","Not Employed","inadequately","","","",""
"Yes","2003","Not Employed","general elemantary","","","",""
"Yes","2003","Not Employed","middle vocational","","","",""
"Yes","2003","Not Employed","vocational + Abi","","","",""
"Yes","2003","Not Employed","higher vocational","","","",""
"Yes","2003","Not Employed","higher education","","","",""
"Yes","2003","Employed","in school","","","",""
"Yes","2003","Employed","inadequately","","","",""
"Yes","2003","Employed","general elemantary","","","",""
"Yes","2003","Employed","middle vocational","","","",""
"Yes","2003","Employed","vocational + Abi","","","",""
"Yes","2003","Employed","higher vocational","","","",""
"Yes","2003","Employed","higher education","","","",""
"No","2003","Not Employed","in school","","","",""
"No","2003","Not Employed","inadequately","","","",""
"No","2003","Not Employed","general elemantary","","","",""
"No","2003","Not Employed","middle vocational","","","",""
"No","2003","Not Employed","vocational + Abi","","","",""
"No","2003","Not Employed","higher vocational","","","",""
"No","2003","Not Employed","higher education","","","",""
"No","2003","Employed","in school","","","",""
"No","2003","Employed","inadequately","","","",""
"No","2003","Employed","general elemantary","","","",""
"No","2003","Employed","middle vocational","","","",""
"No","2003","Employed","vocational + Abi","","","",""
"No","2003","Employed","higher vocational","","","",""
"No","2003","Employed","higher education","","","",""
"Yes","2004","Not Employed","in school","","","",""
"Yes","2004","Not Employed","inadequately","","","",""
"Yes","2004","Not Employed","general elemantary","","","",""
"Yes","2004","Not Employed","middle vocational","","","",""
"Yes","2004","Not Employed","vocational + Abi","","","",""
"Yes","2004","Not Employed","higher vocational","","","",""
"Yes","2004","Not Employed","higher education","","","",""
