"plb0050","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","in school","59","0.839628165441749","0.754868469369457","0.924387861514042","2"
"No","2001","higher education","1032","0.412741326102896","0.393703395625818","0.431779256579973","2"
"No","2001","general elemantary","684","0.542118793614298","0.514619965364759","0.569617621863837","2"
"No","2001","vocational + Abi","324","0.458356262184844","0.421497734547535","0.495214789822153","2"
"No","2001","inadequately","48","0.47179067140276","0.374912548960539","0.568668793844981","2"
"No","2001","middle vocational","3379","0.505442647546447","0.493408845859793","0.5174764492331","2"
"No","2001","higher vocational","542","0.477615158383727","0.448375006864524","0.50685530990293","2"
"Yes","2001","in school","13","","","","1"
"Yes","2001","inadequately","54","0.528209328597239","0.431331206155018","0.625087451039461","1"
"Yes","2001","general elemantary","577","0.457881206385702","0.430382378136163","0.485380034635241","1"
"Yes","2001","middle vocational","3252","0.494557352453553","0.4825235507669","0.506591154140207","1"
"Yes","2001","vocational + Abi","378","0.541643737815156","0.504785210177847","0.578502265452465","1"
"Yes","2001","higher vocational","579","0.522384841616273","0.49314469009707","0.551624993135476","1"
"Yes","2001","higher education","1537","0.587258673897105","0.568220743420027","0.606296604374182","1"
"No","2002","higher education","","","","","2"
"No","2002","higher vocational","","","","","2"
"No","2002","in school","","","","","2"
"No","2002","general elemantary","","","","","2"
"No","2002","vocational + Abi","","","","","2"
"No","2002","inadequately","","","","","2"
"No","2002","middle vocational","","","","","2"
"Yes","2002","in school","","","","","1"
"Yes","2002","inadequately","","","","","1"
"Yes","2002","general elemantary","","","","","1"
"Yes","2002","middle vocational","","","","","1"
"Yes","2002","vocational + Abi","","","","","1"
"Yes","2002","higher vocational","","","","","1"
"Yes","2002","higher education","","","","","1"
"No","2003","higher education","","","","","2"
"No","2003","in school","","","","","2"
"No","2003","general elemantary","","","","","2"
"No","2003","vocational + Abi","","","","","2"
"No","2003","higher vocational","","","","","2"
"No","2003","inadequately","","","","","2"
"No","2003","middle vocational","","","","","2"
"Yes","2003","in school","","","","","1"
"Yes","2003","inadequately","","","","","1"
"Yes","2003","general elemantary","","","","","1"
"Yes","2003","middle vocational","","","","","1"
"Yes","2003","vocational + Abi","","","","","1"
"Yes","2003","higher vocational","","","","","1"
"Yes","2003","higher education","","","","","1"
"No","2004","higher education","","","","","2"
"No","2004","in school","","","","","2"
"No","2004","general elemantary","","","","","2"
"No","2004","vocational + Abi","","","","","2"
"No","2004","higher vocational","","","","","2"
"No","2004","inadequately","","","","","2"
"No","2004","middle vocational","","","","","2"
"Yes","2004","higher vocational","","","","","1"
"Yes","2004","higher education","","","","","1"
"Yes","2004","in school","","","","","1"
"Yes","2004","inadequately","","","","","1"
"Yes","2004","general elemantary","","","","","1"
"Yes","2004","middle vocational","","","","","1"
"Yes","2004","vocational + Abi","","","","","1"
"No","2005","higher education","","","","","2"
"No","2005","vocational + Abi","","","","","2"
"No","2005","higher vocational","","","","","2"
"No","2005","in school","","","","","2"
"No","2005","general elemantary","","","","","2"
"No","2005","middle vocational","","","","","2"
"No","2005","inadequately","","","","","2"
"Yes","2005","higher vocational","","","","","1"
"Yes","2005","higher education","","","","","1"
"Yes","2005","in school","","","","","1"
"Yes","2005","inadequately","","","","","1"
"Yes","2005","general elemantary","","","","","1"
"Yes","2005","middle vocational","","","","","1"
"Yes","2005","vocational + Abi","","","","","1"
"No","2006","higher education","1260","0.409208636938226","0.392100507809962","0.42631676606649","2"
"No","2006","vocational + Abi","407","0.508928667790342","0.474918420223766","0.542938915356919","2"
"No","2006","higher vocational","535","0.51926999691808","0.489206629258916","0.549333364577244","2"
"No","2006","in school","34","0.963269366970566","0.9034634196379","1.02307531430323","2"
"No","2006","general elemantary","499","0.568925979820776","0.536499642656135","0.601352316985417","2"
"No","2006","middle vocational","3074","0.50936398192155","0.49662412513319","0.52210383870991","2"
