"plb0050","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Hamburg","indirect migration background","4","","","","2"
"No","2001","Berlin","direct migration background","18","","","","2"
"No","2001","Hamburg","direct migration background","7","","","","2"
"No","2001","Bavaria","direct migration background","101","0.417829664917949","0.354905601399818","0.48075372843608","2"
"No","2001","Bavaria","indirect migration background","40","0.570744589411138","0.460899769740716","0.680589409081561","2"
"No","2001","Berlin","no migration background","181","0.470212368698111","0.421663064945364","0.518761672450858","2"
"No","2001","Schleswig-Holstein","no migration background","169","0.492156014044407","0.438379133754011","0.545932894334804","2"
"No","2001","Schleswig-Holstein","direct migration background","20","","","","2"
"No","2001","Schleswig-Holstein","indirect migration background","1","","","","2"
"No","2001","Hamburg","no migration background","54","0.345253187625364","0.266775882788302","0.423730492462426","2"
"No","2001","Lower Saxony","no migration background","416","0.471086384691574","0.438273843937141","0.503898925446007","2"
"No","2001","Lower Saxony","direct migration background","57","0.507279379389049","0.422313169886458","0.59224558889164","2"
"No","2001","Baden-Württemberg","direct migration background","161","0.42017823599882","0.371001846302344","0.469354625695295","2"
"No","2001","Baden-Württemberg","indirect migration background","55","0.434323061622065","0.348788050190042","0.519858073054088","2"
"No","2001","Bavaria","no migration background","770","0.50944828293253","0.484423549206147","0.534473016658914","2"
"No","2001","Berlin","indirect migration background","8","","","","2"
"No","2001","Lower Saxony","indirect migration background","9","","","","2"
"No","2001","Bremen","no migration background","31","0.41908286108167","0.303496626528056","0.534669095635285","2"
"No","2001","Bremen","indirect migration background","2","","","","2"
"No","2001","North Rhine-Westphalia","no migration background","960","0.457368969952043","0.435980245056139","0.478757694847946","2"
"No","2001","Brandenburg","no migration background","255","0.481888606865108","0.438351683731827","0.525425529998389","2"
"No","2001","Brandenburg","direct migration background","2","","","","2"
"No","2001","Brandenburg","indirect migration background","","","","","2"
"No","2001","Bremen","direct migration background","5","","","","2"
"No","2001","North Rhine-Westphalia","direct migration background","208","0.527827055008199","0.480531254608303","0.575122855408095","2"
"No","2001","North Rhine-Westphalia","indirect migration background","72","0.534092705050054","0.448994734352485","0.619190675747623","2"
"No","2001","Hesse","no migration background","269","0.398263937715462","0.360658893098654","0.43586898233227","2"
"No","2001","Hesse","direct migration background","76","0.502483127005781","0.4257259599558","0.579240294055762","2"
"No","2001","Hesse","indirect migration background","24","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","direct migration background","72","0.562454100343453","0.477825632518389","0.647082568168517","2"
"No","2001","Rhineland-Palatinate,Saarland","indirect migration background","10","","","","2"
"No","2001","Baden-Württemberg","no migration background","515","0.479279812157349","0.449177349039806","0.509382275274892","2"
"No","2001","Rhineland-Palatinate,Saarland","no migration background","285","0.523102862735927","0.482454786133945","0.563750939337909","2"
"No","2001","Mecklenburg-Western Pomerania","no migration background","155","0.516235947621476","0.459112377257305","0.573359517985646","2"
"No","2001","Mecklenburg-Western Pomerania","direct migration background","2","","","","2"
"No","2001","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"No","2001","Saxony","no migration background","499","0.576538446708704","0.543818154921223","0.609258738496184","2"
"No","2001","Saxony","direct migration background","9","","","","2"
"No","2001","Saxony","indirect migration background","1","","","","2"
"No","2001","Saxony-Anhalt","no migration background","291","0.610368343941395","0.568168336618375","0.652568351264416","2"
"No","2001","Saxony-Anhalt","direct migration background","5","","","","2"
"No","2001","Thuringia","direct migration background","3","","","","2"
"No","2001","Thuringia","indirect migration background","1","","","","2"
"No","2001","Saxony-Anhalt","indirect migration background","2","","","","2"
"No","2001","Thuringia","no migration background","273","0.556015349115591","0.512766806242409","0.599263891988774","2"
"Yes","2001","Schleswig-Holstein","no migration background","163","0.507843985955593","0.454067105665196","0.561620866245989","1"
"Yes","2001","Schleswig-Holstein","direct migration background","17","","","","1"
"Yes","2001","Schleswig-Holstein","indirect migration background","2","","","","1"
"Yes","2001","Hamburg","no migration background","87","0.654746812374636","0.576269507537574","0.733224117211698","1"
"Yes","2001","Hamburg","direct migration background","5","","","","1"
"Yes","2001","Hamburg","indirect migration background","3","","","","1"
"Yes","2001","Lower Saxony","no migration background","473","0.528913615308426","0.496101074553993","0.561726156062859","1"
"Yes","2001","Lower Saxony","direct migration background","76","0.492720620610951","0.40775441110836","0.577686830113542","1"
"Yes","2001","Lower Saxony","indirect migration background","13","","","","1"
"Yes","2001","Bremen","no migration background","39","0.58091713891833","0.465330904364715","0.696503373471944","1"
"Yes","2001","Bremen","direct migration background","8","","","","1"
"Yes","2001","Bremen","indirect migration background","2","","","","1"
"Yes","2001","North Rhine-Westphalia","no migration background","1124","0.542631030047957","0.521242305152054","0.564019754943861","1"
"Yes","2001","North Rhine-Westphalia","direct migration background","220","0.472172944991801","0.424877144591905","0.519468745391697","1"
"Yes","2001","North Rhine-Westphalia","indirect migration background","60","0.465907294949946","0.380809324252377","0.551005265647515","1"
