"plb0050","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","in school","","","",""
"Yes","2001","lower secondary degree","inadequately","","","",""
"Yes","2001","lower secondary degree","general elemantary","294","0.446917200682982","0.409631153033748","0.484203248332216"
"Yes","2001","lower secondary degree","middle vocational","1392","0.486915657226123","0.468654682846022","0.505176631606224"
"Yes","2001","lower secondary degree","vocational + Abi","8","","",""
"Yes","2001","lower secondary degree","higher vocational","140","0.512279418905029","0.453627127345311","0.570931710464747"
"Yes","2001","lower secondary degree","higher education","33","0.475975531131692","0.356389958774137","0.595561103489247"
"Yes","2001","secondary school degree","in school","","","",""
"Yes","2001","secondary school degree","inadequately","","","",""
"Yes","2001","secondary school degree","general elemantary","167","0.455951977407843","0.40587542027888","0.506028534536806"
"Yes","2001","secondary school degree","middle vocational","1553","0.5153730890976","0.497763364323939","0.53298281387126"
"Yes","2001","secondary school degree","vocational + Abi","12","","",""
"Yes","2001","secondary school degree","higher vocational","269","0.472279038409654","0.430745100705605","0.513812976113704"
"Yes","2001","secondary school degree","higher education","272","0.620439342524234","0.575800757034885","0.665077928013583"
"Yes","2001","college entrance qualification","in school","","","",""
"Yes","2001","college entrance qualification","inadequately","","","",""
"Yes","2001","college entrance qualification","general elemantary","","","",""
"Yes","2001","college entrance qualification","middle vocational","150","0.406741447991988","0.35527842568628","0.458204470297697"
"Yes","2001","college entrance qualification","vocational + Abi","311","0.548841842189045","0.508062699557058","0.589620984821032"
"Yes","2001","college entrance qualification","higher vocational","149","0.624274041397682","0.563629978760852","0.684918104034511"
"Yes","2001","college entrance qualification","higher education","1165","0.586452235279428","0.564469904527637","0.608434566031219"
"Yes","2001","Other degree","in school","","","",""
"Yes","2001","Other degree","inadequately","7","","",""
"Yes","2001","Other degree","general elemantary","116","0.507956659100424","0.438321190209749","0.577592127991099"
"Yes","2001","Other degree","middle vocational","145","0.48678842577471","0.42875957042747","0.544817281121949"
"Yes","2001","Other degree","vocational + Abi","47","0.506122607192246","0.405052760739651","0.607192453644841"
"Yes","2001","Other degree","higher vocational","19","","",""
"Yes","2001","Other degree","higher education","67","0.572732582621334","0.483096886976669","0.662368278265999"
"Yes","2001","no degree/no degree yet","in school","13","","",""
"Yes","2001","no degree/no degree yet","inadequately","47","0.515352042810644","0.410934865425442","0.619769220195847"
"Yes","2001","no degree/no degree yet","general elemantary","","","",""
"Yes","2001","no degree/no degree yet","middle vocational","10","","",""
"Yes","2001","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2001","no degree/no degree yet","higher vocational","2","","",""
"Yes","2001","no degree/no degree yet","higher education","","","",""
"No","2001","lower secondary degree","in school","","","",""
"No","2001","lower secondary degree","inadequately","","","",""
