"plb0050","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","Male","1238","0.521274419027832","0.50119650040027","0.541352337655394"
"Yes","2001","lower secondary degree","Female","629","0.420365503368103","0.39577580170824","0.444955205027965"
"Yes","2001","secondary school degree","Male","1158","0.548274061212843","0.527291568927265","0.569256553498422"
"Yes","2001","secondary school degree","Female","1115","0.481499791792908","0.46125070231329","0.501748881272527"
"Yes","2001","college entrance qualification","Male","1056","0.581027889382157","0.558145656010902","0.603910122753413"
"Yes","2001","college entrance qualification","Female","719","0.535986731077564","0.508970765961324","0.563002696193804"
"Yes","2001","Other degree","Male","232","0.514387529227415","0.466417476634954","0.562357581819875"
"Yes","2001","Other degree","Female","169","0.514260772134399","0.460172331990949","0.56834921227785"
"Yes","2001","no degree/no degree yet","Male","44","0.465746791440895","0.365438971021311","0.566054611860479"
"Yes","2001","no degree/no degree yet","Female","28","","",""
"No","2001","lower secondary degree","Male","1140","0.478725580972168","0.458647662344606","0.49880349959973"
"No","2001","lower secondary degree","Female","919","0.579634496631897","0.555044794972035","0.60422419829176"
"No","2001","secondary school degree","Male","1003","0.451725938787157","0.430743446501578","0.472708431072735"
"No","2001","secondary school degree","Female","1224","0.518500208207092","0.498251118727473","0.53874929768671"
"No","2001","college entrance qualification","Male","730","0.418972110617843","0.396089877246588","0.441854343989098"
"No","2001","college entrance qualification","Female","590","0.464013268922436","0.436997303806195","0.491029234038676"
"No","2001","Other degree","Male","185","0.485612470772585","0.437642418180125","0.533582523365046"
"No","2001","Other degree","Female","159","0.485739227865601","0.43165078772215","0.539827668009051"
"No","2001","no degree/no degree yet","Male","51","0.534253208559105","0.433945388139521","0.634561028978689"
"No","2001","no degree/no degree yet","Female","59","0.734296817939538","0.641480856950221","0.827112778928854"
"Yes","2002","lower secondary degree","Male","","","",""
"Yes","2002","lower secondary degree","Female","","","",""
"Yes","2002","secondary school degree","Male","","","",""
"Yes","2002","secondary school degree","Female","","","",""
"Yes","2002","college entrance qualification","Male","","","",""
"Yes","2002","college entrance qualification","Female","","","",""
"Yes","2002","Other degree","Male","","","",""
"Yes","2002","Other degree","Female","","","",""
"Yes","2002","no degree/no degree yet","Male","","","",""
"Yes","2002","no degree/no degree yet","Female","","","",""
"No","2002","lower secondary degree","Male","","","",""
"No","2002","lower secondary degree","Female","","","",""
"No","2002","secondary school degree","Male","","","",""
"No","2002","secondary school degree","Female","","","",""
"No","2002","college entrance qualification","Male","","","",""
"No","2002","college entrance qualification","Female","","","",""
"No","2002","Other degree","Male","","","",""
"No","2002","Other degree","Female","","","",""
"No","2002","no degree/no degree yet","Male","","","",""
"No","2002","no degree/no degree yet","Female","","","",""
"Yes","2003","lower secondary degree","Male","","","",""
"Yes","2003","lower secondary degree","Female","","","",""
"Yes","2003","secondary school degree","Male","","","",""
"Yes","2003","secondary school degree","Female","","","",""
"Yes","2003","college entrance qualification","Male","","","",""
"Yes","2003","college entrance qualification","Female","","","",""
"Yes","2003","Other degree","Male","","","",""
"Yes","2003","Other degree","Female","","","",""
"Yes","2003","no degree/no degree yet","Male","","","",""
"Yes","2003","no degree/no degree yet","Female","","","",""
"No","2003","lower secondary degree","Male","","","",""
"No","2003","lower secondary degree","Female","","","",""
"No","2003","secondary school degree","Male","","","",""
"No","2003","secondary school degree","Female","","","",""
"No","2003","college entrance qualification","Male","","","",""
"No","2003","college entrance qualification","Female","","","",""
"No","2003","Other degree","Male","","","",""
"No","2003","Other degree","Female","","","",""
"No","2003","no degree/no degree yet","Male","","","",""
"No","2003","no degree/no degree yet","Female","","","",""
"Yes","2004","lower secondary degree","Male","","","",""
"Yes","2004","lower secondary degree","Female","","","",""
"Yes","2004","secondary school degree","Male","","","",""
"Yes","2004","secondary school degree","Female","","","",""
"Yes","2004","college entrance qualification","Male","","","",""
"Yes","2004","college entrance qualification","Female","","","",""
"Yes","2004","Other degree","Male","","","",""
"Yes","2004","Other degree","Female","","","",""
"Yes","2004","no degree/no degree yet","Male","","","",""
"Yes","2004","no degree/no degree yet","Female","","","",""
"No","2004","lower secondary degree","Male","","","",""
"No","2004","lower secondary degree","Female","","","",""
"No","2004","secondary school degree","Male","","","",""
"No","2004","secondary school degree","Female","","","",""
"No","2004","college entrance qualification","Male","","","",""
"No","2004","college entrance qualification","Female","","","",""
"No","2004","Other degree","Male","","","",""
"No","2004","Other degree","Female","","","",""
"No","2004","no degree/no degree yet","Male","","","",""
"No","2004","no degree/no degree yet","Female","","","",""
"Yes","2005","lower secondary degree","Male","","","",""
"Yes","2005","lower secondary degree","Female","","","",""
"Yes","2005","secondary school degree","Male","","","",""
"Yes","2005","secondary school degree","Female","","","",""
"Yes","2005","college entrance qualification","Male","","","",""
"Yes","2005","college entrance qualification","Female","","","",""
"Yes","2005","Other degree","Male","","","",""
"Yes","2005","Other degree","Female","","","",""
"Yes","2005","no degree/no degree yet","Male","","","",""
"Yes","2005","no degree/no degree yet","Female","","","",""
"No","2005","lower secondary degree","Male","","","",""
"No","2005","lower secondary degree","Female","","","",""
"No","2005","secondary school degree","Male","","","",""
"No","2005","secondary school degree","Female","","","",""
"No","2005","college entrance qualification","Male","","","",""
"No","2005","college entrance qualification","Female","","","",""
"No","2005","Other degree","Male","","","",""
"No","2005","Other degree","Female","","","",""
"No","2005","no degree/no degree yet","Male","","","",""
"No","2005","no degree/no degree yet","Female","","","",""
"Yes","2006","lower secondary degree","Male","900","0.49373523803617","0.470612948409804","0.516857527662537"
"Yes","2006","lower secondary degree","Female","501","0.423290653562072","0.395678939341718","0.450902367782425"
"Yes","2006","secondary school degree","Male","1022","0.528197399109457","0.506330140103051","0.550064658115864"
"Yes","2006","secondary school degree","Female","1127","0.489860826104985","0.46955858227697","0.510163069933"
"Yes","2006","college entrance qualification","Male","1219","0.564805533395744","0.543535017653112","0.586076049138376"
"Yes","2006","college entrance qualification","Female","995","0.552329531307668","0.529025473894564","0.575633588720773"
"Yes","2006","Other degree","Male","160","0.460563484427758","0.404987933951488","0.516139034904028"
"Yes","2006","Other degree","Female","133","0.466842538183301","0.408613918724553","0.525071157642049"
