"plb0050","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2001","no migration background","Urban Area","3096","0.466744826008666","0.454683179156343","0.478806472860989","2"
"No","2001","indirect migration background","Urban Area","198","0.499724162098983","0.45102847281046","0.548419851387507","2"
"No","2001","no migration background","Rural Area","2027","0.524249997708893","0.50851149270549","0.539988502712297","2"
"No","2001","indirect migration background","Rural Area","31","0.467904032658394","0.338369953821396","0.597438111495391","2"
"No","2001","direct migration background","Urban Area","599","0.472956679088155","0.446224797400878","0.499688560775432","2"
"No","2001","direct migration background","Rural Area","147","0.603512832293588","0.544167623831928","0.662858040755248","2"
"Yes","2001","no migration background","Urban Area","3476","0.533255173991334","0.521193527139011","0.545316820843657","1"
"Yes","2001","no migration background","Rural Area","1841","0.475750002291106","0.460011497287703","0.49148850729451","1"
"Yes","2001","direct migration background","Urban Area","741","0.527043320911845","0.500311439224568","0.553775202599122","1"
"Yes","2001","direct migration background","Rural Area","114","0.396487167706412","0.337141959244752","0.455832376168072","1"
"Yes","2001","indirect migration background","Urban Area","207","0.500275837901017","0.451580148612493","0.54897152718954","1"
"Yes","2001","indirect migration background","Rural Area","26","","","","1"
"No","2002","no migration background","Urban Area","","","","","2"
"No","2002","no migration background","Rural Area","","","","","2"
"No","2002","indirect migration background","Urban Area","","","","","2"
"No","2002","indirect migration background","Rural Area","","","","","2"
"No","2002","direct migration background","Urban Area","","","","","2"
"No","2002","direct migration background","Rural Area","","","","","2"
"Yes","2002","no migration background","Urban Area","","","","","1"
"Yes","2002","no migration background","Rural Area","","","","","1"
"Yes","2002","direct migration background","Urban Area","","","","","1"
"Yes","2002","direct migration background","Rural Area","","","","","1"
"Yes","2002","indirect migration background","Urban Area","","","","","1"
"Yes","2002","indirect migration background","Rural Area","","","","","1"
"No","2003","no migration background","Urban Area","","","","","2"
"No","2003","no migration background","Rural Area","","","","","2"
"No","2003","indirect migration background","Urban Area","","","","","2"
"No","2003","indirect migration background","Rural Area","","","","","2"
"No","2003","direct migration background","Urban Area","","","","","2"
"No","2003","direct migration background","Rural Area","","","","","2"
"Yes","2003","no migration background","Urban Area","","","","","1"
"Yes","2003","no migration background","Rural Area","","","","","1"
"Yes","2003","direct migration background","Urban Area","","","","","1"
"Yes","2003","direct migration background","Rural Area","","","","","1"
"Yes","2003","indirect migration background","Urban Area","","","","","1"
"Yes","2003","indirect migration background","Rural Area","","","","","1"
"No","2004","no migration background","Urban Area","","","","","2"
"No","2004","no migration background","Rural Area","","","","","2"
"No","2004","indirect migration background","Urban Area","","","","","2"
"No","2004","indirect migration background","Rural Area","","","","","2"
"No","2004","direct migration background","Urban Area","","","","","2"
"No","2004","direct migration background","Rural Area","","","","","2"
"Yes","2004","no migration background","Urban Area","","","","","1"
"Yes","2004","no migration background","Rural Area","","","","","1"
"Yes","2004","direct migration background","Urban Area","","","","","1"
"Yes","2004","direct migration background","Rural Area","","","","","1"
"Yes","2004","indirect migration background","Urban Area","","","","","1"
"Yes","2004","indirect migration background","Rural Area","","","","","1"
"No","2005","no migration background","Urban Area","","","","","2"
"No","2005","no migration background","Rural Area","","","","","2"
"No","2005","indirect migration background","Urban Area","","","","","2"
"No","2005","indirect migration background","Rural Area","","","","","2"
"No","2005","direct migration background","Urban Area","","","","","2"
"No","2005","direct migration background","Rural Area","","","","","2"
"Yes","2005","no migration background","Urban Area","","","","","1"
"Yes","2005","no migration background","Rural Area","","","","","1"
"Yes","2005","direct migration background","Urban Area","","","","","1"
"Yes","2005","direct migration background","Rural Area","","","","","1"
"Yes","2005","indirect migration background","Urban Area","","","","","1"
"Yes","2005","indirect migration background","Rural Area","","","","","1"
"No","2006","indirect migration background","Urban Area","197","0.460114971965585","0.41187134094179","0.508358602989379","2"
"No","2006","no migration background","Urban Area","3133","0.474971405490355","0.462998830351945","0.486943980628765","2"
"No","2006","no migration background","Rural Area","1967","0.533698344115358","0.517691088762179","0.549705599468537","2"
"No","2006","indirect migration background","Rural Area","46","0.62276210162605","0.511574744569077","0.733949458683022","2"
"No","2006","direct migration background","Urban Area","488","0.516774512253769","0.486286177670529","0.54726284683701","2"
"No","2006","direct migration background","Rural Area","108","0.537863464142255","0.468593856545455","0.607133071739055","2"
"Yes","2006","no migration background","Urban Area","3550","0.525028594509645","0.513056019371235","0.537001169648055","1"
"Yes","2006","no migration background","Rural Area","1764","0.466301655884642","0.450294400531463","0.482308911237821","1"
"Yes","2006","direct migration background","Urban Area","544","0.483225487746231","0.45273715316299","0.513713822329472","1"
"Yes","2006","direct migration background","Rural Area","91","0.462136535857745","0.392866928260945","0.531406143454545","1"
"Yes","2006","indirect migration background","Urban Area","213","0.539885028034415","0.491641397010621","0.58812865905821","1"
"Yes","2006","indirect migration background","Rural Area","27","","","","1"
"No","2007","indirect migration background","Urban Area","","","","","2"
"No","2007","indirect migration background","Rural Area","","","","","2"
"No","2007","no migration background","Urban Area","","","","","2"
"No","2007","no migration background","Rural Area","","","","","2"
"No","2007","direct migration background","Urban Area","","","","","2"
"No","2007","direct migration background","Rural Area","","","","","2"
"Yes","2007","no migration background","Urban Area","","","","","1"
"Yes","2007","no migration background","Rural Area","","","","","1"
"Yes","2007","direct migration background","Urban Area","","","","","1"
"Yes","2007","direct migration background","Rural Area","","","","","1"
"Yes","2007","indirect migration background","Urban Area","","","","","1"
"Yes","2007","indirect migration background","Rural Area","","","","","1"
"No","2008","indirect migration background","Urban Area","","","","","2"
"No","2008","indirect migration background","Rural Area","","","","","2"
"No","2008","no migration background","Urban Area","","","","","2"
"No","2008","no migration background","Rural Area","","","","","2"
"No","2008","direct migration background","Urban Area","","","","","2"
"No","2008","direct migration background","Rural Area","","","","","2"
"Yes","2008","direct migration background","Urban Area","","","","","1"
"Yes","2008","direct migration background","Rural Area","","","","","1"
"Yes","2008","no migration background","Urban Area","","","","","1"
"Yes","2008","no migration background","Rural Area","","","","","1"
"Yes","2008","indirect migration background","Urban Area","","","","","1"
"Yes","2008","indirect migration background","Rural Area","","","","","1"
"No","2009","no migration background","Urban Area","","","","","2"
"No","2009","indirect migration background","Urban Area","","","","","2"
"No","2009","indirect migration background","Rural Area","","","","","2"
"No","2009","no migration background","Rural Area","","","","","2"
"No","2009","direct migration background","Urban Area","","","","","2"
"No","2009","direct migration background","Rural Area","","","","","2"
"Yes","2009","direct migration background","Urban Area","","","","","1"
"Yes","2009","direct migration background","Rural Area","","","","","1"
"Yes","2009","no migration background","Urban Area","","","","","1"
"Yes","2009","no migration background","Rural Area","","","","","1"
"Yes","2009","indirect migration background","Urban Area","","","","","1"
"Yes","2009","indirect migration background","Rural Area","","","","","1"
"No","2010","no migration background","Urban Area","","","","","2"
"No","2010","no migration background","Rural Area","","","","","2"
"No","2010","indirect migration background","Urban Area","","","","","2"
"No","2010","indirect migration background","Rural Area","","","","","2"
"No","2010","direct migration background","Urban Area","","","","","2"
"No","2010","direct migration background","Rural Area","","","","","2"
"Yes","2010","direct migration background","Urban Area","","","","","1"
"Yes","2010","direct migration background","Rural Area","","","","","1"
"Yes","2010","no migration background","Urban Area","","","","","1"
"Yes","2010","no migration background","Rural Area","","","","","1"
"Yes","2010","indirect migration background","Urban Area","","","","","1"
"Yes","2010","indirect migration background","Rural Area","","","","","1"
"No","2011","no migration background","Urban Area","2712","0.442693647569047","0.430180648973884","0.45520664616421","2"
"No","2011","no migration background","Rural Area","1760","0.49025124399525","0.473857437469431","0.506645050521069","2"
"No","2011","indirect migration background","Urban Area","183","0.443434777081804","0.395923538320377","0.490946015843232","2"
"No","2011","indirect migration background","Rural Area","45","0.521009714080921","0.416037410443688","0.625982017718154","2"
"No","2011","direct migration background","Urban Area","365","0.469076089323636","0.433666278034065","0.504485900613207","2"
"No","2011","direct migration background","Rural Area","119","0.552765549208763","0.488368130585716","0.617162967831809","2"
"Yes","2011","direct migration background","Urban Area","398","0.530923910676364","0.495514099386793","0.566333721965935","1"
"Yes","2011","direct migration background","Rural Area","110","0.447234450791238","0.382837032168191","0.511631869414284","1"
"Yes","2011","indirect migration background","Urban Area","237","0.556565222918196","0.509053984156769","0.604076461679623","1"
"Yes","2011","no migration background","Urban Area","3341","0.557306352430953","0.54479335383579","0.569819351026116","1"
"Yes","2011","no migration background","Rural Area","1812","0.50974875600475","0.493354949478931","0.526142562530569","1"
"Yes","2011","indirect migration background","Rural Area","42","0.478990285919079","0.374017982281846","0.583962589556312","1"
"No","2012","no migration background","Urban Area","","","","","2"
"No","2012","no migration background","Rural Area","","","","","2"
"No","2012","indirect migration background","Urban Area","","","","","2"
"No","2012","indirect migration background","Rural Area","","","","","2"
"No","2012","direct migration background","Urban Area","","","","","2"
"No","2012","direct migration background","Rural Area","","","","","2"
"Yes","2012","direct migration background","Urban Area","","","","","1"
"Yes","2012","direct migration background","Rural Area","","","","","1"
"Yes","2012","indirect migration background","Urban Area","","","","","1"
"Yes","2012","indirect migration background","Rural Area","","","","","1"
"Yes","2012","no migration background","Urban Area","","","","","1"
"Yes","2012","no migration background","Rural Area","","","","","1"
"No","2013","no migration background","Urban Area","","","","","2"
"No","2013","no migration background","Rural Area","","","","","2"
"No","2013","direct migration background","Urban Area","","","","","2"
"No","2013","direct migration background","Rural Area","","","","","2"
"No","2013","indirect migration background","Urban Area","","","","","2"
"No","2013","indirect migration background","Rural Area","","","","","2"
"Yes","2013","direct migration background","Urban Area","","","","","1"
"Yes","2013","direct migration background","Rural Area","","","","","1"
"Yes","2013","indirect migration background","Urban Area","","","","","1"
"Yes","2013","indirect migration background","Rural Area","","","","","1"
"Yes","2013","no migration background","Urban Area","","","","","1"
"Yes","2013","no migration background","Rural Area","","","","","1"
"No","2014","no migration background","Urban Area","","","","","2"
