"plb0050","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Lower Saxony","vocational + Abi","24","","","","2"
"No","2001","Lower Saxony","middle vocational","299","0.505474500539008","0.465634955085959","0.545314045992056","2"
"No","2001","Schleswig-Holstein","vocational + Abi","8","","","","2"
"No","2001","Hamburg","in school","","","","","2"
"No","2001","Schleswig-Holstein","in school","4","","","","2"
"No","2001","Schleswig-Holstein","higher vocational","18","","","","2"
"No","2001","Schleswig-Holstein","higher education","27","","","","2"
"No","2001","Hamburg","higher education","21","","","","2"
"No","2001","Lower Saxony","in school","7","","","","2"
"No","2001","Lower Saxony","inadequately","1","","","","2"
"No","2001","Lower Saxony","general elemantary","54","0.465825238502919","0.369490556406072","0.562159920599766","2"
"No","2001","Schleswig-Holstein","inadequately","","","","","2"
"No","2001","Schleswig-Holstein","general elemantary","24","","","","2"
"No","2001","Schleswig-Holstein","middle vocational","109","0.469545557995813","0.402206075141065","0.536885040850561","2"
"No","2001","Hamburg","inadequately","1","","","","2"
"No","2001","Hamburg","general elemantary","4","","","","2"
"No","2001","Hamburg","middle vocational","32","0.370474263434859","0.261178525697963","0.479770001171755","2"
"No","2001","Hamburg","vocational + Abi","5","","","","2"
"No","2001","Hamburg","higher vocational","2","","","","2"
"No","2001","Bremen","higher vocational","3","","","","2"
"No","2001","Bremen","higher education","7","","","","2"
"No","2001","North Rhine-Westphalia","in school","16","","","","2"
"No","2001","North Rhine-Westphalia","inadequately","23","","","","2"
"No","2001","North Rhine-Westphalia","general elemantary","151","0.562603330942761","0.504290439246955","0.620916222638568","2"
"No","2001","North Rhine-Westphalia","middle vocational","636","0.474631096283719","0.447904480026541","0.501357712540898","2"
"No","2001","North Rhine-Westphalia","vocational + Abi","99","0.414088644798284","0.34958463689717","0.478592652699397","2"
"No","2001","North Rhine-Westphalia","higher vocational","106","0.436155697778286","0.373932324568305","0.498379070988268","2"
"No","2001","North Rhine-Westphalia","higher education","204","0.437712821917876","0.393786607672348","0.481639036163404","2"
"No","2001","Hesse","in school","6","","","","2"
"No","2001","Hesse","inadequately","1","","","","2"
"No","2001","Hesse","general elemantary","44","0.542478350097394","0.438389602037752","0.646567098157036","2"
"No","2001","Hesse","middle vocational","198","0.420806391081398","0.375344025070715","0.46626875709208","2"
"No","2001","Hesse","vocational + Abi","32","0.428481250626464","0.317225505275134","0.539736995977795","2"
"No","2001","Hesse","higher vocational","22","","","","2"
"No","2001","Hesse","higher education","65","0.36713173172706","0.295303915750168","0.438959547703953","2"
"No","2001","Rhineland-Palatinate,Saarland","in school","4","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","inadequately","4","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","general elemantary","48","0.591376989824787","0.481578504514548","0.701175475135027","2"
"No","2001","Rhineland-Palatinate,Saarland","middle vocational","208","0.528523337861355","0.480496252932108","0.576550422790602","2"
"No","2001","Rhineland-Palatinate,Saarland","vocational + Abi","22","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","higher vocational","41","0.561561658129918","0.449264065427121","0.673859250832715","2"
"No","2001","Rhineland-Palatinate,Saarland","higher education","36","0.386381363913142","0.292800127801699","0.479962600024585","2"
"No","2001","Baden-Württemberg","in school","8","","","","2"
