"plh0217","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","82","0.0142460802111184","0.0116247752387538","0.0168673851834829","1"
"1 Strongly disagree","2005","Employed","81","0.00789550591401953","0.00636411336895792","0.00942689845908114","1"
"2 on scale 1-7 ","2005","Employed","274","0.0212150841837027","0.0187217307048159","0.0237084376625894","2"
"2 on scale 1-7 ","2005","Not Employed","194","0.0261202625986242","0.0225922751067387","0.0296482500905097","2"
"3 on scale 1-7 ","2005","Not Employed","385","0.0500331798984695","0.0452107172390061","0.054855642557933","3"
"3 on scale 1-7 ","2005","Employed","685","0.0560773950419554","0.0520965071490085","0.0600582829349023","3"
"4 on scale 1-7","2005","Employed","1649","0.126315524172912","0.120567434796408","0.132063613549415","4"
"4 on scale 1-7","2005","Not Employed","966","0.116813271252929","0.109708371368268","0.12391817113759","4"
"5 on scale 1-7","2005","Not Employed","1603","0.197106954987185","0.188307304461426","0.205906605512944","5"
"5 on scale 1-7","2005","Employed","2731","0.211023092454971","0.203962925418378","0.218083259491565","5"
"6 on scale 1-7","2005","Employed","4365","0.328649987386996","0.320522446757406","0.336777528016586","6"
"6 on scale 1-7","2005","Not Employed","2474","0.298438119180424","0.288316599093016","0.308559639267831","6"
"7 Strongly agree","2005","Employed","3046","0.248823410845443","0.241342844479178","0.256303977211709","7"
"7 Strongly agree","2005","Not Employed","2147","0.29724213187125","0.287132306723082","0.307351957019419","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
"1 Strongly disagree","2007","Not Employed","","","","","1"
"1 Strongly disagree","2007","Employed","","","","","1"
"2 on scale 1-7 ","2007","Employed","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","Employed","","","","","3"
"4 on scale 1-7","2007","Employed","","","","","4"
"4 on scale 1-7","2007","Not Employed","","","","","4"
"5 on scale 1-7","2007","Employed","","","","","5"
"5 on scale 1-7","2007","Not Employed","","","","","5"
"6 on scale 1-7","2007","Employed","","","","","6"
"6 on scale 1-7","2007","Not Employed","","","","","6"
"7 Strongly agree","2007","Not Employed","","","","","7"
"7 Strongly agree","2007","Employed","","","","","7"
"1 Strongly disagree","2008","Not Employed","","","","","1"
"1 Strongly disagree","2008","Employed","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","","","","","2"
"2 on scale 1-7 ","2008","Employed","","","","","2"
"3 on scale 1-7 ","2008","Employed","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","","","","","3"
"4 on scale 1-7","2008","Not Employed","","","","","4"
"4 on scale 1-7","2008","Employed","","","","","4"
"5 on scale 1-7","2008","Employed","","","","","5"
"5 on scale 1-7","2008","Not Employed","","","","","5"
"6 on scale 1-7","2008","Employed","","","","","6"
"6 on scale 1-7","2008","Not Employed","","","","","6"
"7 Strongly agree","2008","Not Employed","","","","","7"
"7 Strongly agree","2008","Employed","","","","","7"
"1 Strongly disagree","2009","Not Employed","68","0.0124088295769916","0.00977689302739337","0.0150407661265898","1"
"1 Strongly disagree","2009","Employed","92","0.00957867102949416","0.00777489623606665","0.0113824458229217","1"
"2 on scale 1-7 ","2009","Employed","312","0.0332333963582855","0.0299139330251336","0.0365528596914373","2"
"2 on scale 1-7 ","2009","Not Employed","184","0.0292745689943009","0.0252666875671375","0.0332824504214643","2"
"3 on scale 1-7 ","2009","Not Employed","378","0.0573554301158726","0.0518272439291331","0.0628836163026121","3"
"3 on scale 1-7 ","2009","Employed","710","0.0723922664924023","0.0675932973242986","0.077191235660506","3"
"4 on scale 1-7","2009","Employed","1657","0.151668454597704","0.14502567058867","0.158311238606737","4"
"4 on scale 1-7","2009","Not Employed","894","0.138151715938918","0.129947917938598","0.146355513939238","4"
"5 on scale 1-7","2009","Employed","2580","0.227477814005803","0.219714543915878","0.235241084095728","5"
"5 on scale 1-7","2009","Not Employed","1539","0.214477346377221","0.204718657396026","0.224236035358417","5"
"6 on scale 1-7","2009","Employed","3603","0.310014908748871","0.301449840345723","0.31857997715202","6"
"6 on scale 1-7","2009","Not Employed","2144","0.299281691687607","0.288394065202887","0.310169318172327","6"
"7 Strongly agree","2009","Not Employed","1589","0.249050417309089","0.238768586977736","0.259332247640442","7"
"7 Strongly agree","2009","Employed","2247","0.19563448876744","0.18828818093162","0.20298079660326","7"
"1 Strongly disagree","2010","Not Employed","","","","","1"
"1 Strongly disagree","2010","Employed","","","","","1"
"2 on scale 1-7 ","2010","Not Employed","","","","","2"
"2 on scale 1-7 ","2010","Employed","","","","","2"
"3 on scale 1-7 ","2010","Employed","","","","","3"
"3 on scale 1-7 ","2010","Not Employed","","","","","3"
"4 on scale 1-7","2010","Employed","","","","","4"
"4 on scale 1-7","2010","Not Employed","","","","","4"
"5 on scale 1-7","2010","Employed","","","","","5"
"5 on scale 1-7","2010","Not Employed","","","","","5"
"6 on scale 1-7","2010","Not Employed","","","","","6"
"6 on scale 1-7","2010","Employed","","","","","6"
"7 Strongly agree","2010","Not Employed","","","","","7"
"7 Strongly agree","2010","Employed","","","","","7"
"1 Strongly disagree","2011","Not Employed","","","","","1"
"1 Strongly disagree","2011","Employed","","","","","1"
"2 on scale 1-7 ","2011","Employed","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","","","","","2"
"3 on scale 1-7 ","2011","Not Employed","","","","","3"
"3 on scale 1-7 ","2011","Employed","","","","","3"
"4 on scale 1-7","2011","Employed","","","","","4"
"4 on scale 1-7","2011","Not Employed","","","","","4"
"5 on scale 1-7","2011","Employed","","","","","5"
"5 on scale 1-7","2011","Not Employed","","","","","5"
"6 on scale 1-7","2011","Employed","","","","","6"
"6 on scale 1-7","2011","Not Employed","","","","","6"
"7 Strongly agree","2011","Not Employed","","","","","7"
"7 Strongly agree","2011","Employed","","","","","7"
"1 Strongly disagree","2012","Not Employed","18","","","","1"
"1 Strongly disagree","2012","Employed","39","0.00667551614214913","0.00449958599887285","0.0088514462854254","1"
"2 on scale 1-7 ","2012","Not Employed","41","0.0257739367967553","0.0183412433202845","0.0332066302732261","2"
"2 on scale 1-7 ","2012","Employed","113","0.0229207031235866","0.0189218465574415","0.0269195596897318","2"
"3 on scale 1-7 ","2012","Employed","248","0.0478264522715865","0.0421241650004804","0.0535287395426925","3"
"3 on scale 1-7 ","2012","Not Employed","94","0.0513789181111758","0.0410235668540956","0.0617342693682559","3"
"4 on scale 1-7","2012","Employed","609","0.111489873521536","0.10307968258841","0.119900064454662","4"
"4 on scale 1-7","2012","Not Employed","185","0.111577996248686","0.0968098867613522","0.126346105736019","4"
"5 on scale 1-7","2012","Employed","1166","0.216560116429221","0.205553621704","0.227566611154442","5"
"5 on scale 1-7","2012","Not Employed","355","0.206312754324255","0.187331989398171","0.225293519250339","5"
"6 on scale 1-7","2012","Not Employed","578","0.321388461564095","0.299483034145636","0.343293888982553","6"
"6 on scale 1-7","2012","Employed","1922","0.352204237241895","0.339440634079931","0.364967840403858","6"
"7 Strongly agree","2012","Not Employed","475","0.270616908095114","0.249777696662736","0.291456119527492","7"
"7 Strongly agree","2012","Employed","1283","0.242323101270026","0.230873341218309","0.253772861321743","7"
"1 Strongly disagree","2013","Not Employed","69","0.0122246108373218","0.0097034950996209","0.0147457265750228","1"
"1 Strongly disagree","2013","Employed","101","0.0091561488502048","0.00742028552138463","0.010892012179025","1"
"2 on scale 1-7 ","2013","Employed","299","0.0275594948263184","0.0245760113049793","0.0305429783476575","2"
"2 on scale 1-7 ","2013","Not Employed","163","0.0217755017590876","0.0184270078411098","0.0251239956770654","2"
"3 on scale 1-7 ","2013","Employed","694","0.0605279318559054","0.0561820656602086","0.0648737980516021","3"
"3 on scale 1-7 ","2013","Not Employed","379","0.055332143576421","0.0500867935033703","0.0605774936494716","3"
"4 on scale 1-7","2013","Employed","1508","0.130656005004593","0.1245139031545","0.136798106854687","4"
"4 on scale 1-7","2013","Not Employed","913","0.1268832635435","0.119246937053068","0.134519590033932","4"
"5 on scale 1-7","2013","Not Employed","1532","0.212018967051135","0.202641373602323","0.221396560499947","5"
"5 on scale 1-7","2013","Employed","2619","0.22684456556314","0.219212289103196","0.234476842023084","5"
"6 on scale 1-7","2013","Employed","3986","0.337086531563069","0.328471524881706","0.345701538244431","6"
"6 on scale 1-7","2013","Not Employed","2465","0.319296278312479","0.308600259643423","0.329992296981534","6"
"7 Strongly agree","2013","Not Employed","1777","0.252469234920056","0.242502224116731","0.262436245723381","7"
"7 Strongly agree","2013","Employed","2359","0.208169322336769","0.200770186114597","0.215568458558941","7"
"1 Strongly disagree","2014","Not Employed","","","","","1"
"1 Strongly disagree","2014","Employed","","","","","1"
"2 on scale 1-7 ","2014","Not Employed","","","","","2"
