"plh0217","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","36","0.00627632961945202","0.00437074769477057","0.00818191154413348","1"
"1 Strongly disagree","2005","Urban Area","Female","65","0.0112506717540632","0.00882221007957079","0.0136791334285557","1"
"1 Strongly disagree","2005","Rural Area","Male","32","0.0147951796745111","0.010664683840097","0.0189256755089253","1"
"1 Strongly disagree","2005","Rural Area","Female","30","0.013299122071144","0.00953406591287684","0.0170641782294111","1"
"2 on scale 1-7 ","2005","Urban Area","Female","150","0.0180228148525217","0.0149597165429298","0.0210859131621136","2"
"2 on scale 1-7 ","2005","Rural Area","Male","70","0.0232536283883891","0.0180976027304742","0.028409654046304","2"
"2 on scale 1-7 ","2005","Rural Area","Female","74","0.0193810957104176","0.0148499658544842","0.023912225566351","2"
"2 on scale 1-7 ","2005","Urban Area","Male","174","0.0304784479915157","0.0263306548093248","0.0346262411737065","2"
"3 on scale 1-7 ","2005","Urban Area","Female","319","0.0386592108001503","0.0342204258696111","0.0430979957306894","3"
"3 on scale 1-7 ","2005","Rural Area","Male","184","0.0604120721547498","0.052261100498167","0.0685630438113326","3"
"3 on scale 1-7 ","2005","Rural Area","Female","179","0.0524180474078342","0.0450929057989632","0.0597431890167051","3"
"3 on scale 1-7 ","2005","Urban Area","Male","388","0.0671031452603311","0.0610660199797008","0.0731402705409614","3"
"4 on scale 1-7","2005","Rural Area","Female","425","0.112875815098218","0.102475179650541","0.123276450545894","4"
"4 on scale 1-7","2005","Urban Area","Female","844","0.112553757074881","0.105276797673745","0.119830716476016","4"
"4 on scale 1-7","2005","Rural Area","Male","460","0.147539508803976","0.135406455676213","0.159672561931738","4"
"4 on scale 1-7","2005","Urban Area","Male","886","0.126385608290526","0.118367892879978","0.134403323701074","4"
"5 on scale 1-7","2005","Rural Area","Male","755","0.22045569520368","0.20627296421252","0.234638426194839","5"
"5 on scale 1-7","2005","Urban Area","Female","1431","0.195416317497491","0.186286440028772","0.20454619496621","5"
"5 on scale 1-7","2005","Urban Area","Male","1459","0.217333102347885","0.20738149211161","0.22728471258416","5"
