"plh0217","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","no migration background","25","","","","1"
"1 Strongly disagree","2005","16-34 y.","direct migration background","7","","","","1"
"1 Strongly disagree","2005","16-34 y.","indirect migration background","6","","","","1"
"1 Strongly disagree","2005","35-65 y.","no migration background","71","0.00997477957554167","0.0080239521200183","0.011925607031065","1"
"1 Strongly disagree","2005","35-65 y.","direct migration background","9","","","","1"
"1 Strongly disagree","2005","35-65 y.","indirect migration background","2","","","","1"
"1 Strongly disagree","2005","66 and older","no migration background","38","0.0164658498356247","0.0121889254487359","0.0207427742225134","1"
"1 Strongly disagree","2005","66 and older","direct migration background","5","","","","1"
"1 Strongly disagree","2005","66 and older","indirect migration background","","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","3","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","no migration background","68","0.0159496623279827","0.0121269828675889","0.0197723417883765","2"
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","14","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","no migration background","238","0.0256327233469789","0.0225302875948553","0.0287351590991024","2"
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","37","0.0203326145095857","0.013112883756125","0.0275523452630463","2"
"2 on scale 1-7 ","2005","66 and older","no migration background","84","0.0229391898332896","0.0179077230510732","0.027970656615506","2"
"2 on scale 1-7 ","2005","66 and older","direct migration background","14","","","","2"
"2 on scale 1-7 ","2005","66 and older","indirect migration background","1","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","9","","","","2"
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","25","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","no migration background","197","0.0483028377360692","0.041760707443104","0.0548449680290344","3"
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","8","","","","3"
"3 on scale 1-7 ","2005","66 and older","no migration background","164","0.0531467609132921","0.045607574006393","0.0606859478201912","3"
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","31","0.0475845485304438","0.0313799782137755","0.0637891188471121","3"
"3 on scale 1-7 ","2005","35-65 y.","no migration background","519","0.05319071704869","0.0487852368608334","0.0575961972365465","3"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","100","0.0664908373070687","0.0537462652609784","0.0792354093531589","3"
"3 on scale 1-7 ","2005","66 and older","direct migration background","23","","","","3"
