"plh0217","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","38","0.00721758028301987","0.00494164364750155","0.00949351691853818","1"
"1 Strongly disagree","2005","35-65 y.","82","0.00929369206640669","0.00754684758773897","0.0110405365450744","1"
"1 Strongly disagree","2005","66 and older","43","0.0169958319134603","0.0128736847538473","0.0211179790730733","1"
"2 on scale 1-7 ","2005","16-34 y.","91","0.0190733371865371","0.0153956996040258","0.0227509747690483","2"
"2 on scale 1-7 ","2005","66 and older","99","0.0245813595035391","0.0196431094942273","0.0295196095128509","2"
"2 on scale 1-7 ","2005","35-65 y.","278","0.0245951471604706","0.0217754348084137","0.0274148595125276","2"
"3 on scale 1-7 ","2005","16-34 y.","253","0.049907497790036","0.044052817834196","0.0557621777458759","3"
"3 on scale 1-7 ","2005","35-65 y.","627","0.0552718070666576","0.0511118111155781","0.059431803017737","3"
"3 on scale 1-7 ","2005","66 and older","190","0.0540650797076165","0.046852947961057","0.0612772114541759","3"
"4 on scale 1-7","2005","16-34 y.","736","0.130838160589012","0.121771343466619","0.139904977711405","4"
"4 on scale 1-7","2005","66 and older","407","0.101159056486289","0.0915425261252325","0.110775586847345","4"
"4 on scale 1-7","2005","35-65 y.","1472","0.127322000202458","0.121253709490822","0.133390290914094","4"
"5 on scale 1-7","2005","16-34 y.","1229","0.233387813982912","0.222015096168675","0.244760531797149","5"
"5 on scale 1-7","2005","35-65 y.","2353","0.196067865638208","0.18884015856684","0.203295572709575","5"
"5 on scale 1-7","2005","66 and older","752","0.195485888939884","0.182838550557949","0.208133227321818","5"
"6 on scale 1-7","2005","66 and older","1177","0.292815792872081","0.278303430185232","0.30732815555893","6"
"6 on scale 1-7","2005","35-65 y.","3917","0.327180871026394","0.318639437694646","0.335722304358141","6"
"6 on scale 1-7","2005","16-34 y.","1745","0.314699263703004","0.302213193322505","0.327185334083502","6"
"7 Strongly agree","2005","66 and older","1109","0.314896990577131","0.30008420312182","0.329709778032441","7"
"7 Strongly agree","2005","16-34 y.","1222","0.24487634646548","0.233314697700845","0.256437995230115","7"
"7 Strongly agree","2005","35-65 y.","2862","0.260268616839405","0.252280662711824","0.268256570966987","7"
"1 Strongly disagree","2006","16-34 y.","","","","","1"
"1 Strongly disagree","2006","35-65 y.","","","","","1"
"1 Strongly disagree","2006","66 and older","","","","","1"
"2 on scale 1-7 ","2006","66 and older","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","","","","","3"
"3 on scale 1-7 ","2006","66 and older","","","","","3"
"4 on scale 1-7","2006","66 and older","","","","","4"
"4 on scale 1-7","2006","16-34 y.","","","","","4"
"4 on scale 1-7","2006","35-65 y.","","","","","4"
"5 on scale 1-7","2006","66 and older","","","","","5"
"5 on scale 1-7","2006","16-34 y.","","","","","5"
"5 on scale 1-7","2006","35-65 y.","","","","","5"
"6 on scale 1-7","2006","66 and older","","","","","6"
"6 on scale 1-7","2006","35-65 y.","","","","","6"
"6 on scale 1-7","2006","16-34 y.","","","","","6"
"7 Strongly agree","2006","66 and older","","","","","7"
"7 Strongly agree","2006","16-34 y.","","","","","7"
"7 Strongly agree","2006","35-65 y.","","","","","7"
"1 Strongly disagree","2007","35-65 y.","","","","","1"
"1 Strongly disagree","2007","66 and older","","","","","1"
"1 Strongly disagree","2007","16-34 y.","","","","","1"
"2 on scale 1-7 ","2007","16-34 y.","","","","","2"
"2 on scale 1-7 ","2007","66 and older","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","","","","","3"
"3 on scale 1-7 ","2007","66 and older","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","","","","","3"
"4 on scale 1-7","2007","66 and older","","","","","4"
"4 on scale 1-7","2007","16-34 y.","","","","","4"
"4 on scale 1-7","2007","35-65 y.","","","","","4"
"5 on scale 1-7","2007","66 and older","","","","","5"
"5 on scale 1-7","2007","35-65 y.","","","","","5"
